,years_competed,finish_placements,finish_marks,country
Yelena Topchina,"['1995', '1993']","['10', '11']","['1.93', '1.88']",RUS
Viktoriya Fyodorova,['1995'],['11'],['1.90'],RUS
Tatyana Khramova,['1995'],['12'],['1.85'],BLR
Ioamnet Quintero,['1993'],['1'],['1.99'],CUB
Silvia Costa,['1993'],['2'],['1.97'],CUB
Sigrid Kirchmann,['1993'],['3'],['1.97'],AUT
Tanya Hughes,['1993'],['7'],['1.91'],USA
Valentina Gotovska,['1993'],['8'],['1.91'],LAT
Katarzyna Majchrzak,['1993'],['9'],['1.88'],POL
Heike Henkel,"['1993', '1991']","['', '1']","['DNS', '2.05']",GER
Beata Holub,['1991'],['4'],['1.96'],POL
Birgit Kähler,['1991'],['5'],['1.93'],GER
Tamara Bykova,['1991'],['7'],['1.93'],URS
Judit Kovacs,['1991'],['8'],['1.90'],HUN
Sárka Nováková-Makowkova,['1991'],['9'],['1.90'],TCH
Vanessa Browne-Ward,['1991'],['10'],['1.90'],AUS
Alison Inverarity,['1991'],['11'],['1.87'],AUS
