,years_competed,finish_placements,finish_marks,country
Noah LYLES,"['2023', '2022']","['1', '1']","['19.52', '19.31']",USA
Erriyon KNIGHTON,"['2023', '2022']","['2', '3']","['19.75', '19.80']",USA
Letsile TEBOGO,['2023'],['3'],['19.81'],BOT
Zharnel HUGHES,['2023'],['4'],['20.02'],GBR
Kenneth BEDNAREK,"['2023', '2022']","['5', '2']","['20.07', '19.77']",USA
Andre DE GRASSE,['2023'],['6'],['20.14'],CAN
Alexander OGANDO,"['2023', '2022']","['7', '5']","['20.23', '19.93']",DOM
Andrew HUDSON,['2023'],['8'],['20.40'],JAM
Joseph FAHNBULLEH,"['2023', '2022']","['9', '4']","['20.57', '19.84']",LBR
Jereem RICHARDS,['2022'],['6'],['20.08'],TTO
Aaron BROWN,['2022'],['7'],['20.18'],CAN
Luxolo ADAMS,['2022'],['8'],['20.47'],RSA
Usain Bolt,"['2011', '2005']","['1', '8']","['19.40', '26.27']",JAM
Walter Dix,['2011'],['2'],['19.70'],USA
Christophe Lemaitre,['2011'],['3'],['19.80'],FRA
Jaysuma Saidy Ndure,['2011'],['4'],['19.95'],NOR
Nickel Ashmeade,['2011'],['5'],['20.29'],JAM
Bruno de Barros,['2011'],['6'],['20.31'],BRA
Rondel Sorrillo,['2011'],['7'],['20.34'],TTO
Alonso Edward,['2011'],[''],['DNF'],PAN
Usain BOLT,"['2009', '2007']","['1', '2']","['19.19', '19.91']",JAM
Alonso EDWARD,['2009'],['2'],['19.81'],PAN
Wallace Spearmon,"['2009', '2007', '2005']","['3', '3', '2']","['19.85', '20.05', '20.20']",USA
Shawn Crawford,"['2009', '2001']","['4', '3']","['19.89', '20.20']",USA
Steve Mullings,['2009'],['5'],['19.98'],JAM
Charles Clark,['2009'],['6'],['20.39'],USA
Ramil GULIYEV,['2009'],['7'],['20.61'],AZE
David Alerte,['2009'],['8'],['20.68'],FRA
Tyson GAY,['2007'],['1'],['19.76'],USA
Rodney Martin,['2007'],['4'],['20.06'],USA
Churandy MARTINA,['2007'],['5'],['20.28'],AHO
Marvin Anderson,['2007'],['6'],['20.28'],JAM
Christopher Williams,"['2007', '2001']","['7', '2']","['20.57', '20.20']",JAM
Anastásios Goúsis,['2007'],['8'],['20.75'],GRE
Justin Gatlin,['2005'],['1'],['20.04'],USA
John Capel,"['2005', '2003']","['3', '1']","['20.31', '20.30']",USA
Tyson Gay,['2005'],['4'],['20.34'],USA
Stéphane Buckland,"['2005', '2003', '2001']","['5', '5', '6']","['20.41', '20.41', '20.24']",MRI
Patrick Johnson,['2005'],['6'],['20.58'],AUS
Tobias Unger,['2005'],['7'],['20.81'],GER
Darvis Patton,['2003'],['2'],['20.31'],USA
Shingo Suetsugu,['2003'],['3'],['20.38'],JPN
Darren Campbell,['2003'],['4'],['20.39'],GBR
Joshua J. Johnson,['2003'],['6'],['20.47'],USA
Frank Fredericks,"['2003', '1999', '1997', '1995', '1993', '1991']","['7', '', '2', '2', '1', '2']","['20.47', 'DNS', '20.23', '20.12', '19.85', '20.34']",NAM
Uchenna Emedolu,['2003'],['8'],['20.62'],NGR
Konstadínos Kedéris,['2001'],['1'],['20.04'],GRE
Kim Collins,['2001'],['3'],['20.20'],SKN
Christian Malcolm,['2001'],['5'],['20.22'],GBR
Kevin Little,"['2001', '1999']","['7', '6']","['20.25', '20.37']",USA
Marlon Devonish,['2001'],['8'],['20.38'],GBR
Maurice Greene,['1999'],['1'],['19.90'],USA
Claudinei da Silva,"['1999', '1997', '1995']","['2', '3', '5']","['20.00', '20.26', '20.40']",BRA
Francis Obikwelu,['1999'],['3'],['20.11'],NGR
Obadele Thompson,"['1999', '1997']","['4', '6']","['20.23', '20.37']",BAR
Marcin Urbas,['1999'],['5'],['20.30'],POL
Julian Golding,['1999'],['7'],['20.48'],GBR
Ato Boldon,['1997'],['1'],['20.04'],TTO
Iván García,"['1997', '1995']","['4', '8']","['20.31', '20.77']",CUB
Yeóryios Panayiotópoulos,['1997'],['5'],['20.32'],GRE
Jon Drummond,['1997'],['7'],['20.44'],USA
Patrick Stevens,['1997'],['8'],['20.44'],BEL
Michael Johnson,"['1995', '1991']","['1', '1']","['19.79', '20.01']",USA
Jeff Williams,['1995'],['3'],['20.18'],USA
Robson da Silva,"['1995', '1991']","['4', '4']","['20.21', '20.49']",BRA
Geir Moen,['1995'],['6'],['20.51'],NOR
John Regis,"['1995', '1993']","['7', '2']","['20.67', '19.94']",GBR
Carl Lewis,['1993'],['3'],['19.99'],USA
Michael Marsh,['1993'],['4'],['20.18'],USA
Dean Capobianco,['1993'],['5'],['20.18'],AUS
Jean-Charles Trouabal,"['1993', '1991']","['6', '6']","['20.20', '20.58']",FRA
Emmanuel Tuffour,['1993'],['7'],['20.49'],GHA
Damien Marsh,['1993'],['8'],['20.56'],AUS
Atlee Mahorn,['1991'],['3'],['20.49'],CAN
Olapade Adeniken,['1991'],['5'],['20.51'],NGR
Nikolay Antonov,['1991'],['7'],['20.59'],BUL
Aleksandr SOKOLOV,['1991'],['8'],['20.78'],URS
