,years_competed,finish_placements,finish_marks,country
Josh KERR,"['2023', '2022']","['1', '5']","['3:29.38', '3:30.60']",GBR
Jakob INGEBRIGTSEN,"['2023', '2022']","['2', '2']","['3:29.65', '3:29.47']",NOR
Narve Gilje NORDÅS,['2023'],['3'],['3:29.68'],NOR
Abel KIPSANG,"['2023', '2022']","['4', '7']","['3:29.89', '3:31.21']",KEN
Yared NUGUSE,['2023'],['5'],['3:30.25'],USA
Mario GARCÍA,"['2023', '2022']","['6', '4']","['3:30.26', '3:30.20']",ESP
Cole HOCKER,['2023'],['7'],['3:30.70'],USA
Reynold Kipkorir CHERUIYOT,['2023'],['8'],['3:30.78'],KEN
Neil GOURLEY,['2023'],['9'],['3:31.10'],GBR
Niels LAROS,['2023'],['10'],['3:31.25'],NED
Azeddine HABZ,['2023'],['11'],['3:33.14'],FRA
Isaac NADER,['2023'],['12'],['3:35.41'],POR
Jake WIGHTMAN,['2022'],['1'],['3:29.23'],GBR
Mohamed KATIR,['2022'],['3'],['3:29.90'],ESP
Timothy CHERUIYOT,['2022'],['6'],['3:30.69'],KEN
Teddese LEMI,['2022'],['8'],['3:32.98'],ETH
Stewart MCSWEYN,['2022'],['9'],['3:33.24'],AUS
Michał ROZMYS,['2022'],['10'],['3:34.58'],POL
Ignacio FONTES,['2022'],['11'],['3:34.71'],ESP
Joshua THOMPSON,['2022'],['12'],['3:35.57'],USA
Asbel Kiprop,"['2011', '2009', '2007']","['1', '4', '4']","['3:35.69', '3:36.47', '3:35.24']",KEN
Silas Kiplagat,['2011'],['2'],['3:35.92'],KEN
Matthew Centrowitz,['2011'],['3'],['3:36.08'],USA
Manuel Olmedo,['2011'],['4'],['3:36.33'],ESP
Abdelaati Iguider,"['2011', '2009']","['5', '11']","['3:36.56', '3:38.35']",MAR
Mohamed Moustaoui,"['2011', '2009']","['6', '6']","['3:36.80', '3:36.57']",MAR
Mekonnen Gebremedhin,['2011'],['7'],['3:36.81'],ETH
Eduar Villanueva,['2011'],['8'],['3:37.31'],VEN
Mehdi Baala,"['2011', '2009', '2003', '2001']","['9', '7', '2', '12']","['3:37.46', '3:36.99', '3:32.31', '3:55.36']",FRA
Ciaran O'Lionaird,['2011'],['10'],['3:37.81'],IRL
Tarek Boukensa,"['2011', '2007', '2005']","['11', '5', '8']","['3:38.05', '3:35.26', '3:41.01']",ALG
Nick Willis,"['2011', '2007']","['12', '10']","['3:38.69', '3:36.13']",NZL
Yusuf Saad Kamel,['2009'],['1'],['3:35.93'],BRN
Deresse Mekonnen,['2009'],['2'],['3:36.01'],ETH
Bernard Lagat,"['2009', '2007', '2001']","['3', '1', '2']","['3:36.20', '3:34.77', '3:31.10']",USA
Augustine Kiprono Choge,['2009'],['5'],['3:36.53'],KEN
Lopez Lomong,['2009'],['8'],['3:37.62'],USA
Belal Ali Mansoor,"['2009', '2007']","['9', '11']","['3:37.72', '3:36.44']",BRN
Amine Laalou,['2009'],['10'],['3:37.83'],MAR
Leonel Manzano,['2009'],['12'],['3:40.05'],USA
Rashid Ramzi,"['2007', '2005']","['2', '1']","['3:35.00', '3:37.88']",BRN
Shedrack Kibet Korir,['2007'],['3'],['3:35.04'],KEN
Anter Zerguelaine,['2007'],['6'],['3:35.29'],ALG
Arturo Casado,"['2007', '2005']","['7', '5']","['3:35.62', '3:39.45']",ESP
Alan Webb,"['2007', '2005']","['8', '9']","['3:35.69', '3:41.04']",USA
Andrew Baddeley,['2007'],['9'],['3:35.95'],GBR
Sergio Gallardo,['2007'],['12'],['3:37.03'],ESP
Juan Carlos Higuero,"['2007', '2005', '2003']","['13', '6', '11']","['3:38.43', '3:40.34', '3:38.49']",ESP
Youssef Baba,['2007'],['14'],['3:38.78'],MAR
Adil Kaouch,"['2005', '2001', '1999']","['2', '11', '11']","['3:38.00', '3:48.45', '3:47.05']",MAR
