,years_competed,finish_placements,finish_marks,country
Mary MORAA,"['2023', '2022']","['1', '3']","['1:56.03', '1:56.71']",KEN
Keely HODGKINSON,"['2023', '2022']","['2', '2']","['1:56.34', '1:56.38']",GBR
Athing MU,"['2023', '2022']","['3', '1']","['1:56.61', '1:56.30']",USA
Raevyn ROGERS,"['2023', '2022']","['4', '6']","['1:57.45', '1:58.26']",USA
Jemma REEKIE,['2023'],['5'],['1:57.72'],GBR
Nia AKINS,['2023'],['6'],['1:57.73'],USA
Adelle TRACEY,['2023'],['7'],['1:58.41'],JAM
Halimah NAKAAYI,['2023'],['8'],['1:59.18'],UGA
Diribe WELTEJI,['2022'],['4'],['1:57.02'],ETH
Natoya GOULE,['2022'],['5'],['1:57.90'],JAM
Anita HORVAT,['2022'],['7'],['1:59.83'],SLO
Ajee WILSON,['2022'],['8'],['2:00.19'],USA
Caster SEMENYA,['2011'],['1'],['1:56.35'],RSA
Janeth Jepkosgei Busienei,"['2011', '2009', '2007']","['2', '2', '1']","['1:57.42', '1:57.90', '1:56.04']",KEN
Alysia Montaño,['2011'],['3'],['1:57.48'],USA
Maggie Vessey,['2011'],['4'],['1:58.50'],USA
Kenia Sinclair,['2011'],['5'],['1:58.66'],JAM
Mariya Savinova,"['2011', '2009']","['', '5']","['DQ', '1:58.68']",RUS
Ekaterina Kostetskaya,['2011'],[''],['DQ'],RUS
Yuliya Stepanova,['2011'],[''],['DQ'],RUS
Caster Semenya,['2009'],['1'],['1:55.45'],RSA
Jennifer Meadows,['2009'],['3'],['1:57.93'],GBR
Yuliya Krevsun,['2009'],['4'],['1:58.00'],UKR
Elisa Cusma Piccione,['2009'],['6'],['1:58.81'],ITA
Mayte Martínez,"['2009', '2007', '2005', '2001']","['7', '3', '5', '7']","['1:58.81', '1:57.62', '1:59.99', '2:00.09']",ESP
Marilyn Okoro,['2009'],['8'],['2:00.32'],GBR
Hasna Benhassi,"['2007', '2005']","['2', '2']","['1:56.99', '1:59.42']",MAR
Olga Kotlyarova,['2007'],['4'],['1:58.22'],RUS
Brigita Langerholc,['2007'],['5'],['1:58.52'],SLO
Sviatlana Usovich,['2007'],['6'],['1:58.92'],BLR
Svetlana Klyuka,['2007'],['7'],['2:00.90'],RUS
Maria de Lurdes Mutola,"['2007', '2005', '2003', '2001', '1999', '1997', '1993', '1991']","['', '4', '1', '1', '2', '3', '1', '4']","['DNF', '1:59.71', '1:59.89', '1:57.17', '1:56.72', '1:57.59', '1:55.43', '1:57.63']",MOZ
Zulia Calatayud,['2005'],['1'],['1:58.82'],CUB
Tatyana Andrianova,['2005'],['3'],['1:59.60'],RUS
Larisa Chzhao,['2005'],['6'],['2:00.25'],RUS
Svetlana Cherkasova,['2005'],['7'],['2:00.71'],RUS
Hazel Clark,['2005'],['8'],['2:01.52'],USA
Kelly Holmes,"['2003', '2001', '1995']","['2', '6', '3']","['2:00.18', '1:59.76', '1:56.95']",GBR
Natalya Khrushcheleva,['2003'],['3'],['2:00.29'],RUS
Mina Aït Hammou,['2003'],['4'],['2:01.09'],MAR
Claudia Gesell,['2003'],['5'],['2:01.84'],GER
Diane Cummins,"['2003', '2001']","['6', '5']","['2:02.48', '1:59.49']",CAN
Akosua Serwaa,['2003'],['7'],['2:03.24'],GHA
Stephanie Graf,"['2003', '2001', '1999']","['', '2', '7']","['DNS', '1:57.20', '1:57.92']",AUT
Letitia Vriesde,"['2001', '1997', '1995', '1991']","['3', '4', '2', '5']","['1:57.35', '1:58.12', '1:56.68', '1:58.25']",SUR
Faith Macharia,['2001'],['4'],['1:58.98'],KEN
Ivonne Teichmann,['2001'],['8'],['2:04.33'],GER
Ludmila Formanová,"['1999', '1997']","['1', '5']","['1:56.68', '1:59.52']",CZE
Svetlana Masterkova,"['1999', '1991']","['3', '8']","['1:56.93', '2:02.92']",RUS
Jearl Miles Clark,['1999'],['4'],['1:57.40'],USA
Natalya Tsyganova,['1999'],['5'],['1:57.81'],RUS
Natalya Gorelova,['1999'],['6'],['1:57.90'],RUS
Natalya Dukhnova,['1999'],['8'],['1:58.69'],BLR
Ana Fidelia Quirot,"['1997', '1995', '1991']","['1', '1', '2']","['1:57.14', '1:56.11', '1:57.55']",CUB
Yelena Afanasyeva,['1997'],['2'],['1:57.56'],RUS
Toni Hodgkinson,['1997'],['6'],['2:00.40'],NZL
Joetta Clark-Diggs,['1997'],['7'],['2:02.05'],USA
Stella Jongmans,['1997'],['8'],['2:05.50'],NED
Patricia Djaté-Taillard,['1995'],['4'],['1:57.04'],FRA
Meredith Rainey-Valmon,"['1995', '1993']","['5', '5']","['1:58.20', '1:59.57']",USA
Ellen van Langen,['1995'],['6'],['1:58.98'],NED
Lyubov Gurina,"['1995', '1993']","['7', '2']","['1:59.16', '1:57.10']",RUS
Tatyana Grigoryeva,['1995'],['8'],['2:05.55'],RUS
Ella Kovacs,"['1993', '1991']","['3', '3']","['1:57.92', '1:57.58']",ROU
Diane Modahl,['1993'],['4'],['1:59.42'],GBR
Li Liu,['1993'],['6'],['2:04.45'],CHN
Tina Paulino,['1993'],['7'],['3:19.89'],MOZ
Liliya Nurutdinova,"['1993', '1991']","['', '1']","['DQ', '1:57.50']",RUS
Christine Wachtel,['1991'],['6'],['1:58.90'],GER
Ann Griffiths,['1991'],['7'],['2:01.01'],GBR
