,years_competed,finish_placements,finish_marks,country
Brahim Lahlafi,"['1999', '1995']","['4', '5']","['12:59.09', '13:18.89']",MAR
Daniel Komen,"['1999', '1997']","['5', '1']","['13:04.71', '13:07.38']",KEN
Fita Bayisa,"['1999', '1997', '1995', '1993', '1991']","['6', '10', '8', '3', '2']","['13:13.86', '13:25.98', '13:34.52', '13:05.40', '13:16.64']",ETH
Bob Kennedy,"['1999', '1997', '1995', '1991']","['9', '6', '7', '12']","['13:23.52', '13:19.45', '13:32.10', '13:54.47']",USA
Pablo Olmedo,"['1999', '1997']","['10', '15']","['13:27.74', '14:05.59']",MEX
Manuel Pancorbo,"['1999', '1997']","['11', '9']","['13:32.12', '13:25.78']",ESP
Mark Carroll,"['1999', '1995']","['14', '12']","['13:52.23', '13:46.80']",IRL
Brahim Jabbour,"['1999', '1993']","['', '6']","['DNF', '13:18.87']",MAR
Khalid Boulami,"['1997', '1995']","['2', '2']","['13:09.34', '13:17.15']",MAR
Tom Mongare Nyariki,['1997'],['3'],['13:11.09'],KEN
Dieter Baumann,"['1997', '1995', '1991']","['5', '9', '4']","['13:17.64', '13:39.98', '13:28.67']",GER
El Hassan Lahssini,['1997'],['7'],['13:20.52'],MAR
Enrique Molina,['1997'],['8'],['13:24.54'],ESP
Abdellah Béhar,"['1997', '1995']","['11', '15']","['13:29.10', '14:19.04']",FRA
Worku Bikila,"['1997', '1995', '1993']","['12', '6', '4']","['13:30.02', '13:20.12', '13:06.64']",ETH
Paul Bitok,"['1997', '1993']","['13', '8']","['13:30.25', '13:23.41']",KEN
Dionisio Castro,"['1997', '1991']","['14', '8']","['13:31.74', '13:35.39']",POR
Ismael Kirui,"['1995', '1993']","['1', '1']","['13:16.77', '13:02.75']",KEN
Shem Kororia,['1995'],['3'],['13:17.59'],KEN
Philemon Hanneck,['1995'],['10'],['13:41.28'],ZIM
Gennaro Di Napoli,['1995'],['11'],['13:46.51'],ITA
Anacleto Jiménez,['1995'],['13'],['13:48.53'],ESP
John Nuttall,['1995'],['14'],['13:49.25'],GBR
Haile Gebrselassie,['1993'],['2'],['13:03.17'],ETH
Khalid Skah,"['1993', '1991']","['5', '6']","['13:07.18', '13:32.90']",MAR
Aloÿs Nizigama,['1993'],['7'],['13:20.59'],BDI
Robert Denmark,"['1993', '1991']","['9', '9']","['13:27.09', '13:36.24']",GBR
Mathias Ntawulikura,['1993'],['10'],['13:28.58'],RWA
Abel Antón,"['1993', '1991']","['11', '11']","['13:40.21', '13:39.00']",ESP
Jonny Danielson,['1993'],['12'],['13:40.59'],SWE
Zoltán Káldy,['1993'],['13'],['13:43.02'],HUN
Michael Chesire,['1993'],['14'],['13:44.11'],KEN
Aissa Belaout,['1993'],[''],['DNF'],ALG
Yobes Ondieki,['1991'],['1'],['13:14.45'],KEN
Brahim Boutayeb,['1991'],['3'],['13:22.70'],MAR
Domingos Castro,['1991'],['5'],['13:28.88'],POR
Risto Ulmala,['1991'],['7'],['13:33.46'],FIN
Ibrahim Kinuthia,['1991'],['10'],['13:38.96'],KEN
Gary Staines,['1991'],['13'],['13:58.26'],GBR
Doug Padilla,['1991'],['14'],['14:36.18'],USA
Stefano Mei,['1991'],[''],['DNF'],ITA
