,years_competed,finish_placements,finish_marks,country
Jakob INGEBRIGTSEN,"['2023', '2022']","['1', '1']","['13:11.30', '13:09.24']",NOR
Mohamed KATIR,['2023'],['2'],['13:11.44'],ESP
Jacob KROP,"['2023', '2022']","['3', '2']","['13:12.28', '13:09.98']",KEN
Luis GRIJALVA,"['2023', '2022']","['4', '4']","['13:12.50', '13:10.44']",GUA
Yomif KEJELCHA,"['2023', '2022']","['5', '8']","['13:12.51', '13:12.09']",ETH
Hagos GEBRHIWET,['2023'],['6'],['13:12.65'],ETH
Mohammed AHMED,"['2023', '2022']","['7', '5']","['13:12.92', '13:10.46']",CAN
Berihu AREGAWI,['2023'],['8'],['13:12.99'],ETH
Jimmy GRESSIER,['2023'],['9'],['13:17.20'],FRA
Ishmael Rokitto KIPKURUI,['2023'],['10'],['13:21.20'],KEN
Mohamed ISMAIL,['2023'],['11'],['13:23.89'],DJI
Abdihamid NUR,"['2023', '2022']","['12', '11']","['13:23.90', '13:18.05']",USA
Stewart MCSWEYN,['2023'],['13'],['13:26.58'],AUS
Narve Gilje NORDÅS,['2023'],['14'],['13:28.73'],NOR
Paul CHELIMO,['2023'],['15'],['13:30.88'],USA
Ouassim OUMAIZ,['2023'],['16'],['13:31.99'],ESP
Oscar CHELIMO,"['2023', '2022']","['', '3']","['DNF', '13:10.20']",UGA
Grant FISHER,['2022'],['6'],['13:11.65'],USA
Nicholas KIPKORIR,['2022'],['7'],['13:11.97'],KEN
Joshua CHEPTEGEI,['2022'],['9'],['13:13.12'],UGA
Daniel Simiu EBENYO,['2022'],['10'],['13:16.64'],KEN
Selemon BAREGA,['2022'],['12'],['13:19.62'],ETH
Muktar EDRIS,['2022'],['13'],['13:24.67'],ETH
Marc SCOTT,['2022'],['14'],['13:41.04'],GBR
Sam PARSONS,['2022'],['15'],['13:45.89'],GER
Mo Farah,"['2011', '2009', '2007']","['1', '7', '6']","['13:23.36', '13:19.69', '13:47.54']",GBR
Bernard Lagat,"['2011', '2009', '2007']","['2', '2', '1']","['13:23.64', '13:17.33', '13:45.87']",USA
Dejen Gebremeskel,['2011'],['3'],['13:23.92'],ETH
Isiah Kiplangat Koech,['2011'],['4'],['13:24.95'],KEN
Abera Kuma,['2011'],['5'],['13:25.50'],ETH
Thomas Pkemei Longosiwa,['2011'],['6'],['13:26.73'],KEN
Eliud Kipchoge,"['2011', '2009', '2007', '2005', '2003']","['7', '5', '2', '4', '1']","['13:27.27', '13:18.95', '13:46.00', '13:33.04', '12:52.79']",KEN
Bilisuma Shugi,['2011'],['8'],['13:27.67'],BRN
Galen Rupp,['2011'],['9'],['13:28.64'],USA
Daniele Meucci,['2011'],['10'],['13:29.11'],ITA
Amanuel Mesel,['2011'],['11'],['13:33.99'],ERI
Jesús España,"['2011', '2009', '2007']","['12', '10', '7']","['13:33.99', '13:22.07', '13:50.55']",ESP
Alistair Ian Cragg,['2011'],['13'],['13:45.33'],IRL
Jake Robertson,['2011'],['14'],['14:03.09'],NZL
Hussain Jamaan Alhamdah,['2011'],[''],['DQ'],KSA
Imane Merga,['2011'],[''],['DQ'],ETH
Kenenisa Bekele,"['2009', '2003']","['1', '3']","['13:17.09', '12:53.12']",ETH
James Kwalia C'Kurui,"['2009', '2005']","['3', '13']","['13:17.78', '13:38.90']",QAT
Moses Ndiema Kipsiro,"['2009', '2007']","['4', '3']","['13:18.11', '13:46.75']",UGA
Ali Abdosh,['2009'],['6'],['13:19.11'],ETH
Matthew Tegenkamp,"['2009', '2007']","['8', '4']","['13:20.23', '13:46.78']",USA
Vincent Kiprop Chepkok,['2009'],['9'],['13:21.31'],KEN
Chakir Boujattaoui,['2009'],['11'],['13:23.05'],MAR
Chris Solinsky,['2009'],['12'],['13:25.87'],USA
Joseph Ebuya,['2009'],['13'],['13:39.59'],KEN
Anis Selmouni,['2009'],['14'],['13:44.59'],MAR
Teklemariam Medhin,['2009'],['15'],['13:44.65'],ERI
Collis Birmingham,['2009'],['16'],['13:55.58'],AUS
Tariku Bekele,"['2007', '2005']","['5', '7']","['13:47.33', '13:34.76']",ETH
Abreham Cherkos,['2007'],['8'],['13:51.01'],ETH
Felix Kikwai Kibore,['2007'],['9'],['13:51.18'],QAT
Ali Abdalla,['2007'],['10'],['13:52.69'],ERI
Adam Goucher,"['2007', '2001', '1999']","['11', '10', '12']","['13:53.17', '13:24.00', '13:39.24']",USA
Hicham Bellani,['2007'],['12'],['13:55.44'],MAR
Craig Mottram,"['2007', '2005']","['13', '3']","['13:56.24', '13:32.96']",AUS
Juan Luis Barrios,['2007'],['14'],['13:59.86'],MEX
Benjamin Kipkoech Limo,"['2007', '2005', '1999']","['15', '1', '2']","['14:01.25', '13:32.55', '12:58.72']",KEN
Sileshi Sihine,['2005'],['2'],['13:32.81'],ETH
Ali Saïdi-Sief,"['2005', '2001']","['5', '']","['13:33.25', 'DQ']",ALG
John Kemboi Kibowen,"['2005', '2003', '2001']","['6', '4', '3']","['13:33.77', '12:54.07', '13:05.20']",KEN
Dejene Berhanu,['2005'],['8'],['13:34.98'],ETH
Mukhlid Alotaibi,"['2005', '2003']","['9', '14']","['13:35.29', '13:38.92']",KSA
Isaac Kiprono Songok,['2005'],['10'],['13:37.10'],KEN
Boniface Toroitich Kiprop,['2005'],['11'],['13:37.73'],UGA
Marius Bakken,"['2005', '2001']","['12', '9']","['13:38.63', '13:22.07']",NOR
Zersenay Tadese,"['2005', '2003']","['14', '8']","['13:40.27', '13:05.57']",ERI
Fabiano Joseph,['2005'],['15'],['13:42.50'],TAN
Hicham El Guerrouj,['2003'],['2'],['12:52.83'],MAR
Abraham Chebii,['2003'],['5'],['12:57.74'],KEN
Gebregziabher Gebremariam,['2003'],['6'],['12:58.08'],ETH
Richard Kipkemei Limo,"['2003', '2001']","['7', '1']","['13:01.13', '13:00.77']",KEN
Juan Carlos de la Ossa,['2003'],['9'],['13:21.04'],ESP
Abderrahim Goumri,['2003'],['10'],['13:23.67'],MAR
Abiyote Abate,"['2003', '2001']","['11', '7']","['13:23.81', '13:14.07']",ETH
Alejandro Suárez,['2003'],['12'],['13:24.51'],MEX
Christian Belz,['2003'],['13'],['13:26.02'],SUI
Jorge Torres,['2003'],['15'],['13:43.37'],USA
Million Wolde,"['2001', '1999']","['2', '8']","['13:03.47', '13:20.81']",ETH
Alberto García,['2001'],['4'],['13:05.60'],ESP
Ismaïl Sghyr,"['2001', '1997', '1995']","['5', '4', '4']","['13:07.71', '13:17.45', '13:17.86']",FRA
Sammy Kipketer Cheruiyot,['2001'],['6'],['13:08.46'],KEN
Hailu Mekonnen,"['2001', '1999']","['8', '7']","['13:20.24', '13:18.97']",ETH
Driss El Himer,['2001'],['11'],['13:28.14'],FRA
Mohammed Amyn,['2001'],['12'],['13:28.90'],MAR
Mohamed Saïd El Wardi,['2001'],['13'],['13:43.40'],MAR
Isaac Viciosa,"['2001', '1999']","['14', '13']","['14:01.32', '13:49.59']",ESP
Salah Hissou,['1999'],['1'],['12:58.13'],MAR
Mohammed Mourhit,['1999'],['3'],['12:58.80'],BEL
