,years_competed,finish_placements,finish_marks,country
Noah LYLES,['2023'],['1'],['9.83'],USA
Letsile TEBOGO,['2023'],['2'],['9.88'],BOT
Zharnel HUGHES,['2023'],['3'],['9.88'],GBR
Oblique SEVILLE,"['2023', '2022']","['4', '4']","['9.88', '9.97']",JAM
Christian COLEMAN,"['2023', '2022']","['5', '6']","['9.92', '10.01']",USA
Abdul Hakim SANI BROWN,"['2023', '2022']","['6', '7']","['10.04', '10.06']",JPN
Ferdinand OMANYALA,['2023'],['7'],['10.07'],KEN
Ryiem FORDE,['2023'],['8'],['10.08'],JAM
Fred KERLEY,['2022'],['1'],['9.86'],USA
Marvin BRACY,['2022'],['2'],['9.88'],USA
Trayvon BROMELL,['2022'],['3'],['9.88'],USA
Akani SIMBINE,['2022'],['5'],['10.01'],RSA
Aaron BROWN,['2022'],['8'],['10.07'],CAN
Yohan Blake,['2011'],['1'],['9.92'],JAM
Walter Dix,['2011'],['2'],['10.08'],USA
Kim Collins,"['2011', '2005', '2003', '2001']","['3', '3', '1', '5']","['10.09', '10.05', '10.07', '10.07']",SKN
Christophe Lemaitre,['2011'],['4'],['10.19'],FRA
Daniel Bailey,"['2011', '2009']","['5', '4']","['10.26', '9.93']",ANT
Jimmy Vicaut,['2011'],['6'],['10.27'],FRA
Nesta Carter,['2011'],['7'],['10.95'],JAM
Usain Bolt,"['2011', '2009']","['', '1']","['DQ', '9.58']",JAM
Tyson Gay,['2009'],['2'],['9.71'],USA
Asafa Powell,['2009'],['3'],['9.84'],JAM
Richard Thompson,['2009'],['5'],['9.93'],TTO
Dwain Chambers,"['2009', '2003', '2001', '1999']","['6', '', '4', '3']","['10.00', 'DQ', '9.99', '9.97']",GBR
Marc Burns,"['2009', '2007', '2005']","['7', '8', '7']","['10.00', '10.29', '10.14']",TTO
Darvis Patton,['2009'],['8'],['10.34'],USA
Tyson GAY,['2007'],['1'],['9.85'],USA
Derrick Atkins,['2007'],['2'],['9.91'],BAH
Asafa POWELL,['2007'],['3'],['9.96'],JAM
Olusoji A. Fasuba,['2007'],['4'],['10.07'],NGR
Churandy MARTINA,['2007'],['5'],['10.08'],AHO
Marlon Devonish,['2007'],['6'],['10.14'],GBR
Matic Osovnikar,['2007'],['7'],['10.23'],SLO
Justin Gatlin,['2005'],['1'],['9.88'],USA
Michael Frater,['2005'],['2'],['10.05'],JAM
Francis Obikwelu,['2005'],['4'],['10.07'],POR
Dwight Thomas,['2005'],['5'],['10.09'],JAM
Leonard Scott,['2005'],['6'],['10.13'],USA
Aziz Zakari,"['2005', '2001']","['8', '7']","['10.20', '10.24']",GHA
Darrel Brown,['2003'],['2'],['10.08'],TTO
Darren Campbell,['2003'],['3'],['10.08'],GBR
Bernard Williams,"['2003', '2001']","['4', '2']","['10.13', '9.94']",USA
Deji Aliu,['2003'],['5'],['10.21'],NGR
Uchenna Emedolu,['2003'],['6'],['10.22'],NGR
Tim Montgomery,"['2003', '2001', '1999', '1997']","['', '', '6', '3']","['DQ', 'DQ', '10.04', '9.94']",USA
Maurice Greene,"['2001', '1999', '1997']","['1', '1', '1']","['9.82', '9.80', '9.86']",USA
Ato Boldon,"['2001', '1997', '1995']","['3', '5', '3']","['9.98', '10.02', '10.03']",TTO
Christian Malcolm,['2001'],['6'],['10.11'],GBR
Bruny Surin,"['1999', '1997', '1995', '1993', '1991']","['2', '7', '2', '5', '8']","['9.84', '10.12', '10.03', '10.02', '10.14']",CAN
Obadele Thompson,['1999'],['4'],['10.00'],BAR
Tim Harden,['1999'],['5'],['10.02'],USA
Jason Gardener,['1999'],['7'],['10.07'],GBR
Kareem Streete-Thompson,['1999'],['8'],['10.24'],CAY
Donovan Bailey,"['1997', '1995']","['2', '1']","['9.91', '9.97']",CAN
Frank Fredericks,"['1997', '1995', '1993', '1991']","['4', '4', '6', '5']","['9.95', '10.07', '10.03', '9.95']",NAM
Davidson Ezinwa,['1997'],['6'],['10.10'],NGR
Michael Marsh,"['1997', '1995']","['8', '5']","['10.29', '10.10']",USA
Linford Christie,"['1995', '1993', '1991']","['6', '1', '4']","['10.12', '9.87', '9.92']",GBR
Olapade Adeniken,['1995'],['7'],['10.20'],NGR
Raymond Stewart,"['1995', '1993', '1991']","['8', '8', '6']","['10.29', '10.18', '9.96']",JAM
Andre Cason,['1993'],['2'],['9.92'],USA
Dennis Mitchell,"['1993', '1991']","['3', '3']","['9.99', '9.91']",USA
Carl Lewis,"['1993', '1991']","['4', '1']","['10.02', '9.86']",USA
Daniel Effiong,['1993'],['7'],['10.04'],NGR
Leroy Burrell,['1991'],['2'],['9.88'],USA
Robson da Silva,['1991'],['7'],['10.12'],BRA
