,years_competed,finish_placements,finish_marks,country
Christopher Koskei,"['1999', '1995']","['1', '2']","['8:11.76', '8:09.30']",KEN
Wilson Boit Kipketer,"['1999', '1997']","['2', '1']","['8:12.09', '8:05.84']",KEN
Damian Kallabis,['1999'],['4'],['8:13.11'],GER
Paul Kosgei Malakwen,['1999'],['7'],['8:17.55'],KEN
Florin Ionescu,"['1999', '1997', '1995']","['8', '12', '6']","['8:18.17', '8:39.67', '8:15.44']",ROU
Giuseppe Maffei,['1999'],['10'],['8:22.65'],ITA
Elarbi Khattabi,"['1999', '1997', '1993']","['11', '11', '7']","['8:24.62', '8:29.43', '8:17.96']",MAR
Moses Kiptanui,"['1997', '1995', '1993', '1991']","['2', '1', '1', '1']","['8:06.04', '8:04.16', '8:06.36', '8:12.59']",KEN
Saad Shaddad Al-Asmari,"['1997', '1995']","['4', '3']","['8:13.87', '8:12.95']",KSA
Hicham Bouaouiche,['1997'],['5'],['8:14.04'],MAR
Mark Croghan,"['1997', '1993']","['6', '5']","['8:14.09', '8:09.76']",USA
Jim Svenøy,['1997'],['7'],['8:14.80'],NOR
Angelo Carosi,"['1997', '1995', '1993', '1991']","['8', '5', '8', '7']","['8:16.01', '8:14.85', '8:23.42', '8:20.80']",ITA
Mark Ostendarp,['1997'],['9'],['8:18.49'],GER
Steffen Brand,"['1995', '1993']","['4', '6']","['8:14.37', '8:15.33']",GER
Vladimir Pronin,['1995'],['7'],['8:16.59'],RUS
Martin Strege,"['1995', '1993']","['8', '14']","['8:18.57', '8:34.31']",GER
Matthew Kiprotich Birir,"['1995', '1993']","['9', '4']","['8:21.15', '8:09.42']",KEN
Alessandro Lambruschini,"['1995', '1993']","['10', '3']","['8:22.64', '8:08.78']",ITA
Vladimir Golyas,['1995'],['11'],['8:27.59'],RUS
Javier Rodríguez,['1995'],['12'],['8:30.96'],ESP
Patrick Sang,"['1993', '1991']","['2', '2']","['8:07.53', '8:13.44']",KEN
Shaun Creighton,['1993'],['9'],['8:23.45'],AUS
Michael Buchleitner,['1993'],['10'],['8:25.88'],AUT
Marc Davis,['1993'],['11'],['8:28.74'],USA
Ricardo Vera,['1993'],['12'],['8:29.00'],URU
Abdelaziz Sahere,"['1993', '1991']","['13', '6']","['8:29.65', '8:19.40']",MAR
Tom Hanlon,"['1993', '1991']","['15', '11']","['8:45.62', '8:41.14']",GBR
Azzedine Brahmi,"['1993', '1991']","['', '3']","['DNF', '8:15.54']",ALG
Julius Kariuki,['1991'],['4'],['8:16.81'],KEN
Brian Diemer,['1991'],['5'],['8:17.76'],USA
Francesco Panetta,['1991'],['8'],['8:26.79'],ITA
William Van Dijck,['1991'],['9'],['8:30.46'],BEL
Joseph Mahmoud,['1991'],['10'],['8:37.09'],FRA
Hagen Melzer,['1991'],['12'],['8:45.58'],GER
Thierry Brusseau,['1991'],['13'],['8:47.46'],FRA
Graeme Fell,['1991'],['14'],['9:01.73'],CAN
Gábor Markó,['1991'],['15'],['9:11.53'],HUN
