,years_competed,finish_placements,finish_marks,country
Valérie Reggel,['2015'],[''],['DNF'],SUI
Salcia Slack,['2015'],[''],['DNF'],JAM
Hanna Kasyanova,"['2015', '2013', '2007']","['', '1', '']","['DNS', '6586', 'DNF']",UKR
Dafne Schippers,['2013'],['3'],['6477'],NED
Ellen Sprunger,['2013'],['13'],['6081'],SUI
Linda Züblin,"['2013', '2007']","['16', '20']","['6057', '5995']",SUI
Julia Mächtig,"['2013', '2011']","['17', '15']","['6021', '6095']",GER
Yasmina Omrani,['2013'],['19'],['5983'],ALG
Yana Maksimava,['2013'],['20'],['5982'],BLR
Mari Klaup-McColl,['2013'],['21'],['5924'],EST
Katsiaryna Netsviatayeva,['2013'],['22'],['5902'],BLR
Sofia Linde,['2013'],['25'],['5822'],SWE
Aleksandra Butvina,['2013'],['26'],['5809'],RUS
Bettie Wade,['2013'],['27'],['5768'],USA
Makeba Alcide,['2013'],['28'],['5751'],LCA
Wassana Winatho,"['2013', '2011']","['29', '']","['5671', 'DNF']",THA
Irina Karpova,"['2013', '2007', '2005', '2003']","['', '24', '14', '15']","['DNF', '5848', '5991', '5971']",KAZ
Kristina Savitskaya,['2013'],[''],['DNF'],RUS
Kira Biesenbach,['2013'],[''],['DNF'],GER
Natallia Dobrynska,"['2011', '2007', '2005']","['4', '8', '9']","['6539', '6327', '6144']",UKR
Lilli Schwarzkopf,"['2011', '2007', '2005']","['5', '5', '13']","['6321', '6439', '5993']",GER
Austra Skujyté,"['2011', '2007', '2005', '2003', '2001']","['7', '6', '4', '9', '6']","['6297', '6380', '6360', '6077', '6112']",LTU
Jessica Zelinka,"['2011', '2005']","['8', '11']","['6268', '6097']",CAN
Anna Bogdanova,"['2011', '2007']","['9', '10']","['6242', '6243']",RUS
Aiga Grabuste,"['2011', '2007']","['10', '17']","['6229', '6019']",LAT
Ruky Abdulai,['2011'],['11'],['6212'],CAN
Margaret Simpson,"['2011', '2007', '2005', '2003', '2001']","['12', '', '3', '', '13']","['6183', 'DNF', '6375', 'DNF', '5748']",GHA
Louise Hazel,['2011'],['13'],['6149'],GBR
Jessica Samuelsson,"['2011', '2007']","['14', '28']","['6119', '5745']",SWE
Remona Fransen,['2011'],['17'],['6027'],NED
Francesca Doveri,['2011'],['21'],['5786'],ITA
Hyleas Fountain,"['2011', '2007', '2005']","['23', '', '12']","['5611', 'DNF', '6055']",USA
Tatyana Chernova,"['2011', '2007']","['', '']","['DQ', 'DNF']",RUS
Lyudmyla Yosypenko,['2011'],[''],['DQ'],UKR
Sara Aerts,['2011'],[''],['DNF'],BEL
Carolina Klüft,"['2007', '2005', '2003']","['1', '1', '1']","['7032', '6887', '7001']",SWE
Lyudmila Blonska,['2007'],['2'],['6832'],UKR
Kelly Sotherton,"['2007', '2005']","['3', '5']","['6510', '6325']",GBR
Marie Collonvillé,"['2007', '2005', '2001', '1999', '1997']","['9', '6', '11', '9', '12']","['6244', '6248', '5887', '6188', '6179']",FRA
Kylie Wheeler,"['2007', '2005']","['12', '15']","['6184', '5919']",AUS
Sonja Kesselschläger,"['2007', '2005', '2003']","['13', '10', '8']","['6149', '6113', '6134']",GER
Jolanda Keizer,['2007'],['14'],['6102'],NED
Yvonne van Langen,['2007'],['16'],['6056'],NED
Aryiró Stratáki,"['2007', '2005', '2003']","['18', '17', '10']","['5999', '5884', '6077']",GRE
Olga Kurban,['2007'],['19'],['5998'],RUS
Kamila Chudzik,['2007'],['21'],['5926'],POL
