,years_competed,finish_placements,finish_marks,country
Lábros Papakóstas,['1997'],['6'],['2.32'],GRE
Konstantin Matusevich,['1997'],['7'],['2.29'],ISR
Jan Janku,['1997'],['12'],['2.25'],CZE
Troy Kemp,"['1995', '1993', '1991']","['1', '5', '5']","['2.37', '2.34', '2.34']",BAH
Patrik Sjöberg,"['1995', '1991']","['6', '7']","['2.32', '2.31']",SWE
Tony Barton,"['1995', '1993']","['7', '8']","['2.29', '2.31']",USA
Jaroslaw Kotewicz,['1995'],['8'],['2.25'],POL
Ian Thompson,['1995'],['11'],['2.25'],BAH
Hongyong Bi,['1995'],['12'],['2.15'],CHN
Ralf Sonn,['1993'],['4'],['2.34'],GER
Hollis Conway,"['1993', '1991']","['6', '3']","['2.34', '2.36']",USA
Arturo Ortíz,"['1993', '1991']","['7', '10']","['2.31', '2.24']",ESP
Oleg Zhukovskiy,['1993'],['10'],['2.28'],BLR
Jean-Charles Gicquel,['1993'],['11'],['2.25'],FRA
Róbert Ruffini,['1993'],['11'],['2.25'],SVK
Marino Drake,['1991'],['5'],['2.34'],CUB
Rick Noji,['1991'],['8'],['2.28'],USA
Igor Paklin,['1991'],['10'],['2.24'],URS
Rudolf Povarnitsyn,['1991'],['13'],['2.24'],URS
