,years_competed,finish_placements,finish_marks,country
Shericka JACKSON,"['2023', '2022']","['1', '1']","['21.41', '21.45']",JAM
Gabrielle THOMAS,['2023'],['2'],['21.81'],USA
Sha'Carri RICHARDSON,['2023'],['3'],['21.92'],USA
Julien ALFRED,['2023'],['4'],['22.05'],LCA
Daryll NEITA,['2023'],['5'],['22.16'],GBR
Anthonique STRACHAN,['2023'],['6'],['22.29'],BAH
Dina ASHER-SMITH,"['2023', '2022']","['7', '3']","['22.34', '22.02']",GBR
Marie-Josée TA LOU,['2023'],['8'],['22.64'],CIV
Shelly-Ann FRASER-PRYCE,['2022'],['2'],['21.81'],JAM
Aminatou SEYNI,['2022'],['4'],['22.12'],NIG
Abby STEINER,['2022'],['5'],['22.26'],USA
Tamara CLARK,['2022'],['6'],['22.32'],USA
Elaine THOMPSON-HERAH,['2022'],['7'],['22.39'],JAM
Mujinga KAMBUNDJI,['2022'],['8'],['22.55'],SUI
Veronica Campbell-Brown,"['2011', '2009', '2007', '2005']","['1', '2', '2', '4']","['22.22', '22.35', '22.34', '22.38']",JAM
Carmelita Jeter,['2011'],['2'],['22.37'],USA
Allyson Felix,"['2011', '2009', '2007', '2005']","['3', '1', '1', '1']","['22.42', '22.02', '21.81', '22.16']",USA
Shalonda Solomon,['2011'],['4'],['22.61'],USA
Kerron Stewart,['2011'],['5'],['22.70'],JAM
Debbie Ferguson-McKenzie,"['2011', '2009', '2001', '1999']","['6', '3', '1', '5']","['22.96', '22.41', '22.52', '22.28']",BAH
Hrystyna Stuy,['2011'],['7'],['23.02'],UKR
Sherone Simpson,['2011'],['8'],['23.17'],JAM
Muna Lee,['2009'],['4'],['22.48'],USA
Anneisha McLaughlin-Whilby,['2009'],['5'],['22.62'],JAM
Simone Facey,['2009'],['6'],['22.80'],JAM
Emily Freeman,['2009'],['7'],['22.98'],GBR
Eleni Artymata,['2009'],['8'],['23.05'],CYP
Susanthika Jayasinghe,"['2007', '1997']","['3', '2']","['22.63', '22.39']",SRI
Torri Edwards,"['2007', '2003']","['4', '2']","['22.65', '22.47']",USA
Sanya Richards-Ross,['2007'],['5'],['22.70'],USA
Aleen Bailey,['2007'],['6'],['22.72'],JAM
LaShauntea Moore,['2007'],['7'],['22.97'],USA
Cydonie Mothersille,"['2007', '2005', '2001']","['8', '8', '3']","['23.08', '23.00', '22.88']",CAY
Rachelle Boone-Smith,['2005'],['2'],['22.31'],USA
Christine Arron,['2005'],['3'],['22.31'],FRA
LaTasha Colander,['2005'],['5'],['22.66'],USA
Yuliya Gushchina,['2005'],['6'],['22.75'],RUS
Kim Gevaert,['2005'],['7'],['22.86'],BEL
Anastasiya Kapachinskaya,['2003'],['1'],['22.38'],RUS
Muriel Hurtis,['2003'],['3'],['22.59'],FRA
Beverly McDonald,"['2003', '1999']","['4', '2']","['22.95', '22.22']",JAM
Natallia Safronnikava,['2003'],['5'],['22.98'],BLR
Anzhela Kravchenko,['2003'],['6'],['23.00'],UKR
Kelli White,"['2003', '2001']","['', '']","['DQ', 'DQ']",USA
Zhanna Block,"['2003', '1997']","['', '1']","['DQ', '22.32']",UKR
LaTasha Jenkins,['2001'],['2'],['22.85'],USA
Juliet Campbell,"['2001', '1999']","['4', '8']","['22.99', '22.64']",JAM
Alenka Bikar,['2001'],['5'],['23.00'],SLO
Myriam Léonie Mani,['2001'],['6'],['23.15'],CMR
Marion Jones,['2001'],[''],['DQ'],USA
Inger Miller,"['1999', '1997']","['1', '5']","['21.77', '22.52']",USA
Merlene Frazer,['1999'],['3'],['22.26'],JAM
Andrea Philipp,['1999'],['3'],['22.26'],GER
Fatima Yusuf,['1999'],['6'],['22.42'],NGR
Lauren Hewitt,['1999'],['7'],['22.53'],AUS
Merlene Ottey,"['1997', '1995', '1993', '1991']","['3', '1', '1', '3']","['22.40', '22.12', '21.98', '22.21']",JAM
Ekaterina Grigorieva,['1997'],['4'],['22.50'],RUS
Marina Trandenkova,"['1997', '1995']","['6', '7']","['22.65', '22.84']",RUS
Melinda Gainsford-Taylor,['1997'],['7'],['22.73'],AUS
Sylviane Félix,['1997'],['8'],['22.81'],FRA
Irina Privalova,"['1995', '1993', '1991']","['2', '3', '4']","['22.12', '22.13', '22.28']",RUS
Galina Malchugina,"['1995', '1993', '1991']","['3', '7', '5']","['22.37', '22.50', '22.66']",RUS
Melanie Paschke,['1995'],['4'],['22.60'],GER
Silke-Beate Knoll,['1995'],['5'],['22.66'],GER
Mary Onyali-Omagbemi,"['1995', '1993']","['6', '5']","['22.71', '22.32']",NGR
Gwen Torrence,"['1995', '1993', '1991']","['', '2', '2']","['DQ', '22.00', '22.16']",USA
Marie-José Pérec,['1993'],['4'],['22.20'],FRA
Natalya Pomoshchnikova-Voronova,['1993'],['6'],['22.50'],RUS
Dannette Young-Stone,"['1993', '1991']","['8', '6']","['23.04', '22.87']",USA
Katrin Krabbe,['1991'],['1'],['22.09'],GER
Pauline Davis-Thompson,['1991'],['7'],['22.90'],BAH
Yelena Vinogradova,['1991'],['8'],['23.10'],URS
