,years_competed,finish_placements,finish_marks,country
Joshua CHEPTEGEI,"['2023', '2022']","['1', '1']","['27:51.42', '27:27.43']",UGA
Daniel Simiu EBENYO,['2023'],['2'],['27:52.60'],KEN
Selemon BAREGA,"['2023', '2022']","['3', '5']","['27:52.72', '27:28.39']",ETH
Berihu AREGAWI,"['2023', '2022']","['4', '7']","['27:55.71', '27:31.00']",ETH
Benard KIBET,['2023'],['5'],['27:56.27'],KEN
Mohammed AHMED,"['2023', '2022']","['6', '6']","['27:56.43', '27:30.27']",CAN
Rodrigue KWIZERA,"['2023', '2022']","['7', '16']","['28:00.29', '28:01.49']",BDI
Nicholas KIPKORIR,['2023'],['8'],['28:03.38'],KEN
Yann SCHRUB,['2023'],['9'],['28:07.42'],FRA
Birhanu BALEW,['2023'],['10'],['28:08.03'],BRN
William KINCAID,['2023'],['11'],['28:08.71'],USA
Yemaneberhan CRIPPA,['2023'],['12'],['28:16.40'],ITA
Isaac KIMELI,"['2023', '2022']","['13', '10']","['28:20.77', '27:43.50']",BEL
Adriaan WILDSCHUTT,['2023'],['14'],['28:21.40'],RSA
Ren TAZAWA,"['2023', '2022']","['15', '20']","['28:25.85', '28:24.25']",JPN
Sean MCGORTY,"['2023', '2022']","['16', '12']","['28:27.54', '27:46.30']",USA
Santiago CATROFE,['2023'],['17'],['28:28.49'],URU
Zerei Kbrom MEZNGI,['2023'],['18'],['28:30.76'],NOR
Merhawi MEBRAHTU,['2023'],['19'],['28:50.62'],ERI
Joe KLECKER,"['2023', '2022']","['20', '9']","['29:03.41', '27:38.73']",USA
Nils VOIGT,['2023'],['21'],['29:06.79'],GER
Rogers KIBET,['2023'],['22'],['29:10.07'],UGA
Carlos Martín DÍAZ DEL RIO,['2023'],[''],['DNF'],CHI
Yismaw DILLU,['2023'],[''],['DNF'],ETH
Joel AYEKO,['2023'],[''],['DNF'],UGA
Stanley Waithaka MBURU,['2022'],['2'],['27:27.90'],KEN
Jacob KIPLIMO,['2022'],['3'],['27:27.97'],UGA
Grant FISHER,['2022'],['4'],['27:28.14'],USA
Daniel MATEIKO,['2022'],['8'],['27:33.57'],KEN
Jimmy GRESSIER,['2022'],['11'],['27:44.55'],FRA
