,years_competed,finish_placements,finish_marks,country
Carlos MAYO,['2022'],['13'],['27:50.61'],ESP
Tadese WORKU,['2022'],['14'],['27:51.25'],ETH
Rodgers KWEMOI,['2022'],['15'],['27:52.26'],KEN
Habtom SAMUEL,['2022'],['17'],['28:01.81'],ERI
Egide NTAKARUTIMANA,['2022'],['18'],['28:24.07'],BDI
Jack RAYNER,['2022'],['19'],['28:24.12'],AUS
Zouhair TALBI,['2022'],['21'],['28:28.69'],MAR
Tatsuhiko ITO,['2022'],['22'],['28:57.85'],JPN
Patrick DEVER,['2022'],['23'],['29:13.88'],GBR
Stephen KISSA,['2022'],['24'],['29:21.10'],UGA
Ibrahim Jeilan,['2011'],['1'],['27:13.81'],ETH
Mo Farah,['2011'],['2'],['27:14.07'],GBR
Imane Merga,"['2011', '2009']","['3', '4']","['27:19.14', '27:15.94']",ETH
Zersenay Tadese,"['2011', '2009', '2007', '2005']","['4', '2', '4', '6']","['27:22.57', '26:50.12', '27:21.37', '27:12.82']",ERI
Martin Irungu Mathathi,"['2011', '2007', '2005']","['5', '3', '5']","['27:23.87', '27:12.17', '27:12.51']",KEN
Peter Cheruiyot Kirui,['2011'],['6'],['27:25.63'],KEN
Galen Rupp,"['2011', '2009']","['7', '8']","['27:26.84', '27:37.99']",USA
Sileshi Sihine,"['2011', '2007', '2005', '2003']","['8', '2', '2', '3']","['27:34.11', '27:09.03', '27:08.87', '27:01.44']",ETH
Paul Kipngetich Tanui,['2011'],['9'],['27:54.03'],KEN
Matthew Tegenkamp,['2011'],['10'],['28:41.62'],USA
Rui Silva,['2011'],['11'],['28:48.62'],POR
Daniele Meucci,['2011'],['12'],['28:50.28'],ITA
Stephen Mokoka,['2011'],['13'],['28:51.97'],RSA
Scott Bauhs,['2011'],['14'],['29:03.92'],USA
Yuki Sato,['2011'],['15'],['29:04.15'],JPN
Juan Carlos Romero,"['2011', '2009']","['16', '14']","['29:38.38', '28:09.78']",MEX
Kenenisa Bekele,"['2011', '2009', '2005']","['', '1', '1']","['DNF', '26:46.31', '27:08.33']",ETH
Ali Hasan Mahbood,"['2011', '2007']","['', '']","['DNF', 'DNS']",BRN
Bayron Piedra,['2011'],[''],['DNF'],ECU
Teklemariam Medhin,"['2011', '2009']","['', '12']","['DNS', '27:58.89']",ERI
Moses Ndiema Masai,['2009'],['3'],['26:57.39'],KEN
Bernard Kiprop Kipyego,['2009'],['5'],['27:18.47'],KEN
Dathan Ritzenhein,"['2009', '2007']","['6', '9']","['27:22.28', '28:28.59']",USA
Micah Kipkemboi Kogo,['2009'],['7'],['27:26.33'],KEN
Kidane Tadasse,['2009'],['9'],['27:41.50'],ERI
Gebregziabher Gebremariam,"['2009', '2007', '2005']","['10', '6', '15']","['27:44.04', '27:44.58', '27:53.19']",ETH
Ahmad Hassan Abdullah,"['2009', '2007', '2003']","['11', '', '4']","['27:45.03', 'DNF', '27:18.28']",QAT
Fabiano Joseph,"['2009', '2003']","['13', '13']","['28:04.32', '28:06.36']",TAN
Carles Castillejo,['2009'],['15'],['28:09.89'],ESP
Dickson Marwa,"['2009', '2007']","['16', '16']","['28:18.00', '29:25.91']",TAN
Tim Nelson,['2009'],['17'],['28:18.04'],USA
Juan Luis Barrios,['2009'],['18'],['28:31.40'],MEX
Surendra Kumar Singh,['2009'],['19'],['28:35.51'],IND
Anatoliy Rybakov,['2009'],['20'],['28:42.28'],RUS
Ezekiel Jafary Ngimba,['2009'],['21'],['28:45.34'],TAN
Martin Toroitich,['2009'],['22'],['28:49.49'],UGA
Rui Pedro Silva,['2009'],['23'],['28:51.40'],POR
David McNeill,['2009'],['24'],['29:18.59'],AUS
Yuki Iwai,['2009'],['25'],['29:24.12'],JPN
Abebe Dinkesa,"['2009', '2005']","['', '7']","['DNF', '27:13.09']",ETH
Collis Birmingham,['2009'],[''],['DNF'],AUS
Ayad Lamdassem,['2009'],[''],['DNF'],ESP
Manuel Ángel Penas,['2009'],[''],['DNF'],ESP
Nicholas Kemboi,"['2009', '2005']","['', '9']","['DNF', '27:16.22']",QAT
Martin Fagan,['2009'],[''],['DNS'],IRL
Kenenisa BEKELE,"['2007', '2003']","['1', '1']","['27:05.90', '26:49.57']",ETH
Josphat Muchiri Ndambiri,['2007'],['5'],['27:31.41'],KEN
Abdi ABDIRAHMAN,"['2007', '2001']","['7', '19']","['27:56.62', '28:34.38']",USA
Josphat Kiprono Menjo,['2007'],['8'],['28:25.67'],KEN
Boniface Toroitich Kiprop,"['2007', '2005']","['10', '4']","['28:30.99', '27:10.98']",UGA
Galen RUPP,['2007'],['11'],['28:41.71'],USA
Kensuke Takezawa,['2007'],['12'],['28:51.69'],JPN
Tadese Tola,['2007'],['13'],['28:51.75'],ETH
Alejandro Suárez,['2007'],['14'],['28:52.19'],MEX
Wilson Kipkemei Busienei,['2007'],['15'],['29:24.72'],UGA
Kazuhiro Maeda,['2007'],['17'],['29:48.17'],JPN
Michael Aish,"['2007', '2003']","['18', '']","['30:34.16', 'DNF']",NZL
Khalid El Aamri,"['2007', '2005']","['', '21']","['DNF', '28:37.72']",MAR
Essa Ismail Rashed,['2007'],[''],['DNF'],QAT
Simon Bairu,['2007'],[''],['DNF'],CAN
David Galván,"['2007', '2003']","['', '11']","['DNS', '27:55.31']",MEX
Moses Cheruiyot Mosop,['2005'],['3'],['27:08.96'],KEN
Abderrahim Goumri,"['2005', '2001']","['8', '16']","['27:14.64', '28:14.06']",MAR
Juan Carlos de la Ossa,['2005'],['10'],['27:33.42'],ESP
Yonas Kifle,['2005'],['11'],['27:35.72'],ERI
Charles Waweru Kamathi,"['2005', '2003', '2001']","['12', '7', '1']","['27:37.82', '27:45.05', '27:53.25']",KEN
Abdihakem Abdirahman,['2005'],['13'],['27:52.01'],USA
Christian Belz,['2005'],['14'],['27:53.16'],SUI
Sultan Khamis Zaman,['2005'],['16'],['27:53.33'],QAT
Dieudonné Disi,['2005'],['17'],['27:53.51'],RWA
John Yuda Msuri,"['2005', '2003']","['18', '12']","['27:57.31', '27:56.21']",TAN
Yu Mitsuya,['2005'],['19'],['27:57.67'],JPN
Mohammed Amyn,['2005'],['20'],['28:12.59'],MAR
Terukazu Omori,['2005'],['22'],['28:59.46'],JPN
Mebrahtom Keflezighi,"['2005', '2003', '2001']","['', '16', '23']","['DNF', '28:35.08', '28:44.48']",USA
Haile Gebrselassie,"['2003', '2001', '1999', '1997', '1995', '1993']","['2', '3', '1', '1', '1', '1']","['26:50.77', '27:54.41', '27:57.27', '27:24.58', '27:12.95', '27:46.02']",ETH
John Cheruiyot Korir,"['2003', '2001']","['5', '8']","['27:19.94', '27:58.06']",KEN
Wilberforce Talel,['2003'],['6'],['27:33.60'],KEN
Kamiel Maase,"['2003', '2001', '1999', '1997']","['8', '10', '8', '11']","['27:45.46', '28:05.41', '28:15.58', '28:23.20']",NED
Karl Keska,['2003'],['9'],['27:47.89'],GBR
Ismaïl Sghyr,"['2003', '1999']","['10', '15']","['27:54.87', '28:41.49']",FRA
Alan Culpepper,"['2003', '2001', '1999']","['14', '18', '']","['28:14.92', '28:18.44', 'DNF']",USA
Teodoro Vega,"['2003', '2001']","['15', '17']","['28:31.71', '28:14.77']",MEX
Cathal Lombard,['2003'],['17'],['28:36.43'],IRL
Tomoo Tsubota,['2003'],['18'],['28:37.10'],JPN
Daniel Browne,['2003'],['19'],['29:01.60'],USA
Dieter Baumann,['2003'],[''],['DNF'],GER
Salim Kipsang,['2003'],[''],['DNF'],KEN
José Manuel Martínez,"['2003', '2001', '1999']","['', '12', '19']","['DNS', '28:06.33', '28:55.87']",ESP
Assefa Mezgebu,"['2001', '1999', '1997', '1995']","['2', '3', '5', '14']","['27:53.97', '27:59.15', '27:32.48', '27:56.06']",ETH
Yibeltal Admassu,['2001'],['4'],['27:55.24'],ETH
Fabián Roncero,['2001'],['5'],['27:56.07'],ESP
José Ríos,['2001'],['6'],['27:56.58'],ESP
Paul Kosgei Malakwen,['2001'],['7'],['27:57.56'],KEN
Habte Jifar,"['2001', '1999', '1997']","['9', '6', '7']","['28:02.71', '28:08.82', '28:00.29']",ETH
Jaouad Gharib,['2001'],['11'],['28:05.45'],MAR
Jeff Schiebler,['2001'],['13'],['28:07.06'],CAN
Marco Mazza,['2001'],['14'],['28:08.00'],ITA
Toshinari Takaoka,"['2001', '1999', '1997']","['15', '12', '']","['28:13.99', '28:30.73', 'DNS']",JPN
João N'Tyamba,"['2001', '1999']","['20', '13']","['28:38.31', '28:31.09']",ANG
Saïd Berioui,"['2001', '1999', '1997']","['21', '16', '17']","['28:38.80', '28:46.77', '29:22.05']",MAR
Naoki Mishiro,['2001'],['22'],['28:42.68'],JPN
Kamel Kohil,['2001'],['24'],['28:52.47'],ALG
John Henwood,['2001'],['25'],['29:01.62'],NZL
José Ramos,"['2001', '1997']","['', '18']","['DNF', '29:49.00']",POR
Aloÿs Nizigama,"['2001', '1993', '1991']","['', '5', '6']","['DNF', '28:13.43', '28:03.03']",BDI
Mohammed Mourhit,"['2001', '1997']","['', '']","['DNF', 'DNS']",BEL
Paul Tergat,"['1999', '1997', '1995']","['2', '2', '3']","['27:58.56', '27:25.62', '27:14.70']",KEN
Girma Tolla,['1999'],['4'],['28:02.08'],ETH
António Pinto,"['1999', '1995']","['5', '19']","['28:03.42', '28:26.42']",POR
Benjamin Maiyo,['1999'],['7'],['28:14.98'],KEN
David Kipkorir Chelule,['1999'],['9'],['28:17.77'],KEN
Khalid Skah,"['1999', '1995', '1991']","['10', '2', '3']","['28:25.10', '27:14.53', '27:41.74']",MAR
Hendrick Ramaala,"['1999', '1997', '1995']","['11', '14', '17']","['28:25.57', '28:33.48', '28:00.08']",RSA
Enrique Molina,['1999'],['14'],['28:37.19'],ESP
Mohamed Ezzher,['1999'],['17'],['28:47.01'],FRA
Kenji Takao,['1999'],['18'],['28:49.95'],JPN
Satoshi Irifune,['1999'],['20'],['29:04.09'],JPN
Bradley Hauser,['1999'],['21'],['29:18.21'],USA
Peter Julian,['1999'],['22'],['29:20.31'],USA
Enoch Skosana,['1999'],['23'],['29:30.51'],RSA
Alejandro Salvador,['1999'],['24'],['29:36.58'],MEX
Bruno Toledo,['1999'],['25'],['29:39.28'],ESP
Sean Kaley,['1999'],['26'],['29:52.35'],CAN
Samir Moussaoui,['1999'],['27'],['30:20.24'],ALG
Jon Brown,['1999'],[''],['DNF'],GBR
Shadrack Hoff,['1999'],[''],['DNF'],RSA
Mohammed Al-Khawlani,['1999'],[''],['DNF'],YEM
Ali Mabrouk El Zaidi,['1999'],[''],['DNF'],LBA
Salah Hissou,"['1997', '1995']","['3', '4']","['27:28.67', '27:19.30']",MAR
Paul Kipsigich Koech,['1997'],['4'],['27:30.39'],KEN
Domingos Castro,"['1997', '1995']","['6', '11']","['27:36.52', '27:53.42']",POR
Julio Rey,['1997'],['8'],['28:07.06'],ESP
Stefano Baldini,"['1997', '1995']","['9', '18']","['28:11.97', '28:08.39']",ITA
Darren Wilson,['1997'],['10'],['28:20.16'],AUS
Dominic Kirui,['1997'],['12'],['28:28.13'],KEN
Abderrahim Zitouna,['1997'],['13'],['28:29.09'],MAR
Tendai Chimusasa,['1997'],['15'],['28:55.29'],ZIM
Carsten Eich,['1997'],['16'],['28:59.34'],GER
Josephat Machuka,['1995'],['5'],['27:23.72'],KEN
Joseph Kimani,['1995'],['6'],['27:30.02'],KEN
Stéphane Franke,"['1995', '1993', '1991']","['7', '4', '12']","['27:48.88', '28:10.69', '28:20.00']",GER
Paulo Guerra,['1995'],['8'],['27:52.55'],POR
Todd Williams,"['1995', '1993']","['9', '7']","['27:52.87', '28:30.49']",USA
Toshiyuki Hayata,['1995'],['10'],['27:53.12'],JPN
Yasuyuki Watanabe,['1995'],['12'],['27:53.82'],JPN
Gérman Silva,"['1995', '1993']","['13', '9']","['27:55.34', '28:39.47']",MEX
Mathias Ntawulikura,"['1995', '1991']","['15', '7']","['27:57.92', '28:10.38']",RWA
Alejandro Gómez,"['1995', '1991']","['16', '9']","['27:59.38', '28:13.14']",ESP
Abel Antón,['1995'],[''],['DNF'],ESP
Moses Tanui,"['1993', '1991']","['2', '1']","['27:46.54', '27:38.74']",KEN
Richard Chelimo,"['1993', '1991']","['3', '2']","['28:06.02', '27:39.41']",KEN
Francesco Panetta,['1993'],['6'],['28:27.05'],ITA
Antonio Fabián Silio,['1993'],['8'],['28:36.88'],ARG
William Sigei,['1993'],['10'],['28:54.39'],KEN
Antonio Serrano,['1993'],['11'],['29:04.10'],ESP
Salvatore Antibo,"['1993', '1991']","['12', '20']","['29:10.83', '28:52.41']",ITA
Boay Akonay,['1993'],['13'],['29:15.13'],TAN
Armando Quintanilla,['1993'],['14'],['29:32.34'],MEX
Tadashi Fukushima,['1993'],['15'],['29:46.70'],JPN
José Carlos Adán,['1993'],['16'],['30:04.34'],ESP
Dan Nelson,['1993'],['17'],['30:41.72'],USA
Rolando Vera,['1993'],[''],['DNF'],ECU
Fita Bayisa,['1993'],[''],['DNF'],ETH
Oleg Strizhakov,['1993'],[''],['DNF'],RUS
Thomas Osano,['1991'],['4'],['27:53.66'],KEN
Richard Nerurkar,['1991'],['5'],['27:57.14'],GBR
Hammou Boutayeb,['1991'],['8'],['28:12.77'],MAR
Koichi Morishita,['1991'],['10'],['28:13.71'],JPN
Haruo Urata,['1991'],['11'],['28:18.15'],JPN
Addis Abebe,['1991'],['13'],['28:33.44'],ETH
Marti ten Kate,['1991'],['14'],['28:33.49'],NED
Eamonn Martin,['1991'],['15'],['28:35.82'],GBR
Andy Bristow,['1991'],['16'],['28:47.01'],GBR
Aaron Ramirez,['1991'],['17'],['28:47.56'],USA
Fernando Couto,['1991'],['18'],['28:48.05'],POR
Katsumi Ikeda,['1991'],['19'],['28:50.25'],JPN
