,years_competed,finish_placements,finish_marks,country
Sha'Carri RICHARDSON,['2023'],['1'],['10.65'],USA
Shericka JACKSON,"['2023', '2022']","['2', '2']","['10.72', '10.73']",JAM
Shelly-Ann FRASER-PRYCE,"['2023', '2022']","['3', '1']","['10.77', '10.67']",JAM
Marie-Josée TA LOU,"['2023', '2022']","['4', '7']","['10.81', '10.93']",CIV
Julien ALFRED,['2023'],['5'],['10.93'],LCA
Ewa SWOBODA,['2023'],['6'],['10.97'],POL
Brittany BROWN,['2023'],['7'],['10.97'],USA
Dina ASHER-SMITH,"['2023', '2022']","['8', '4']","['11.00', '10.83']",GBR
Tamari DAVIS,['2023'],['9'],['11.03'],USA
Elaine THOMPSON-HERAH,['2022'],['3'],['10.81'],JAM
Mujinga KAMBUNDJI,['2022'],['5'],['10.91'],SUI
Aleia HOBBS,['2022'],['6'],['10.92'],USA
Melissa JEFFERSON,['2022'],['8'],['11.03'],USA
Carmelita Jeter,"['2011', '2009', '2007']","['1', '3', '3']","['10.90', '10.90', '11.02']",USA
Veronica Campbell-Brown,"['2011', '2009', '2007', '2005']","['2', '4', '1', '2']","['10.97', '10.95', '11.01', '10.95']",JAM
Kelly-Ann Baptiste,['2011'],['3'],['10.98'],TTO
Shelly-Ann Fraser-Pryce,"['2011', '2009']","['4', '1']","['10.99', '10.73']",JAM
Blessing Okagbare,['2011'],['5'],['11.12'],NGR
Kerron Stewart,"['2011', '2009', '2007']","['6', '2', '7']","['11.15', '10.75', '11.12']",JAM
Ivet Lalova-Collio,['2011'],['7'],['11.27'],BUL
Marshevet Myers,['2011'],['8'],['11.33'],USA
Lauryn Williams,"['2009', '2007', '2005']","['5', '2', '1']","['11.01', '11.01', '10.93']",USA
Debbie Ferguson-McKenzie,"['2009', '2001']","['6', '5']","['11.05', '11.13']",BAH
Chandra Sturrup,"['2009', '2005', '2003', '2001', '1999']","['7', '4', '2', '3', '7']","['11.05', '11.09', '11.02', '11.02', '11.06']",BAH
Aleen Bailey,"['2009', '2003']","['8', '5']","['11.16', '11.07']",JAM
Torri Edwards,"['2007', '2003']","['4', '1']","['11.05', '10.93']",USA
Kim Gevaert,['2007'],['5'],['11.05'],BEL
Christine Arron,"['2007', '2005', '2003', '1999', '1997']","['6', '3', '4', '6', '4']","['11.08', '10.98', '11.06', '10.97', '11.05']",FRA
Oludamola Osayomi,['2007'],['8'],['11.26'],NGR
Me'Lisa Barber,['2005'],['5'],['11.09'],USA
Sherone Simpson,['2005'],['6'],['11.09'],JAM
Muna Lee,['2005'],['7'],['11.09'],USA
Yuliya Nestsiarenka,['2005'],['8'],['11.13'],BLR
Ekateríni Thánou,"['2003', '2001', '1999']","['3', '2', '3']","['11.03', '10.91', '10.84']",GRE
Gail Devers,"['2003', '1999', '1993']","['6', '5', '1']","['11.11', '10.95', '10.82']",USA
Kelli White,"['2003', '2001']","['', '']","['DQ', 'DQ']",USA
Zhanna Block,"['2003', '2001', '1999', '1997', '1995']","['', '1', '4', '2', '5']","['DQ', '10.82', '10.95', '10.85', '11.07']",UKR
Chryste Gaines,"['2001', '1997']","['4', '8']","['11.06', '11.32']",USA
Mercy Nku,"['2001', '1999']","['6', '8']","['11.17', '11.16']",NGR
Marion Jones,"['2001', '1999', '1997']","['', '1', '1']","['DQ', '10.70', '10.83']",USA
Inger Miller,"['1999', '1997']","['2', '5']","['10.79', '11.18']",USA
Savatheda Fynes,['1997'],['3'],['11.03'],BAH
Melanie Paschke,"['1997', '1995']","['6', '6']","['11.19', '11.10']",GER
Merlene Ottey,"['1997', '1995', '1993', '1991']","['7', '2', '2', '3']","['11.29', '10.94', '10.82', '11.06']",JAM
Gwen Torrence,"['1995', '1993', '1991']","['1', '3', '2']","['10.85', '10.89', '11.03']",USA
Irina Privalova,"['1995', '1993', '1991']","['3', '4', '4']","['10.96', '10.96', '11.16']",RUS
Carlette Guidry-White,"['1995', '1991']","['4', '8']","['11.07', '11.52']",USA
Mary Onyali-Omagbemi,"['1995', '1993', '1991']","['7', '5', '7']","['11.15', '11.05', '11.39']",NGR
Juliet Cuthbert,"['1995', '1991']","['8', '6']","['11.44', '11.33']",JAM
Natalya Pomoshchnikova-Voronova,['1993'],['6'],['11.20'],RUS
Nicole Mitchell,['1993'],['7'],['11.20'],JAM
Liliana Allen,['1993'],['8'],['11.23'],CUB
Katrin Krabbe,['1991'],['1'],['10.99'],GER
Evelyn Ashford,['1991'],['5'],['11.30'],USA
