,years_competed,finish_placements,finish_marks,country
Marileidy PAULINO,"['2023', '2022']","['1', '2']","['48.76', '49.60']",DOM
Natalia KACZMAREK,['2023'],['2'],['49.57'],POL
Sada WILLIAMS,"['2023', '2022']","['3', '3']","['49.60', '49.75']",BAR
Rhasidat ADELEKE,['2023'],['4'],['50.13'],IRL
Cynthia BOLINGO,['2023'],['5'],['50.33'],BEL
Lieke KLAVER,"['2023', '2022']","['6', '4']","['50.33', '50.33']",NED
Candice MCLEOD,"['2023', '2022']","['7', '7']","['51.08', '50.78']",JAM
Talitha DIGGS,['2023'],['8'],['51.25'],USA
Shaunae MILLER-UIBO,['2022'],['1'],['49.11'],BAH
Stephenie Ann MCPHERSON,['2022'],['5'],['50.36'],JAM
Fiordaliza COFIL,['2022'],['6'],['50.57'],DOM
Anna KIEŁBASIŃSKA,['2022'],['8'],['50.81'],POL
Amantle Montsho,"['2011', '2009']","['1', '7']","['49.56', '50.65']",BOT
Allyson Felix,['2011'],['2'],['49.59'],USA
Francena McCorory,['2011'],['3'],['50.45'],USA
Antonina Krivoshapka,"['2011', '2009']","['4', '3']","['50.66', '49.71']",RUS
Shericka Williams,"['2011', '2009']","['5', '2']","['50.79', '49.32']",JAM
Sanya Richards-Ross,"['2011', '2009', '2005']","['6', '1', '2']","['51.32', '49.00', '49.74']",USA
Novlene Williams-Mills,"['2011', '2009', '2007']","['7', '4', '3']","['52.89', '49.77', '49.66']",JAM
Anastasiya Kapachinskaya,"['2011', '2009']","['', '']","['DQ', 'DQ']",RUS
Christine Ohuruogu,"['2009', '2007']","['5', '1']","['50.21', '49.61']",GBR
Debbie Dunn,['2009'],['6'],['50.35'],USA
Nicola Sanders,['2007'],['2'],['49.65'],GBR
Ana Guevara,"['2007', '2005', '2003', '2001']","['4', '3', '1', '3']","['50.16', '49.81', '48.89', '49.97']",MEX
Deedee Trotter,"['2007', '2005']","['5', '5']","['50.17', '51.14']",USA
Natalya Antyukh,['2007'],['6'],['50.33'],RUS
Ilona Usovich,['2007'],['7'],['50.54'],BLR
Mary Wineberg,['2007'],['8'],['50.96'],USA
Tonique Williams-Darling,"['2005', '2003']","['1', '5']","['49.55', '50.38']",BAH
Svetlana Pospelova,"['2005', '2003']","['4', '8']","['50.11', '51.30']",RUS
Olesya Zykina,"['2005', '2003', '2001']","['6', '6', '6']","['51.24', '50.59', '50.93']",RUS
Monique Henderson,['2005'],['7'],['51.77'],USA
Amy Mbacke Thiam,"['2005', '2003', '2001']","['8', '3', '1']","['52.22', '49.95', '49.86']",SEN
Lorraine Fenton,"['2003', '2001', '1999']","['2', '2', '3']","['49.43', '49.88', '49.92']",JAM
Natalya Nazarova,"['2003', '1999']","['4', '6']","['49.98', '50.61']",RUS
Lee McConnell,['2003'],['7'],['51.07'],GBR
Grit Breuer,"['2001', '1999', '1997', '1991']","['4', '7', '4', '2']","['50.49', '50.67', '50.06', '49.42']",GER
Kaltouma Nadjina,['2001'],['5'],['50.80'],CHA
Mireille Nguimgo,['2001'],['7'],['51.97'],CMR
Falilat Ogunkoya,"['2001', '1999', '1997', '1995']","['', '4', '5', '6']","['DNF', '50.03', '50.27', '50.77']",NGR
Cathy Freeman,"['1999', '1997', '1995']","['1', '1', '4']","['49.67', '49.77', '50.60']",AUS
Anja Rücker,['1999'],['2'],['49.74'],GER
Katharine Merry,['1999'],['5'],['50.52'],GBR
Olga Kotlyarova,['1999'],['8'],['50.72'],RUS
Sandie Richards,"['1997', '1995', '1993']","['2', '8', '3']","['49.79', '51.13', '50.44']",JAM
Jearl Miles Clark,"['1997', '1995', '1993', '1991']","['3', '3', '1', '5']","['49.90', '50.00', '49.82', '50.50']",USA
Helena Fuchsová,['1997'],['6'],['50.66'],CZE
Pauline Davis-Thompson,"['1997', '1995']","['7', '2']","['50.68', '49.96']",BAH
Tatyana Alekseyeva,"['1997', '1993']","['8', '4']","['51.37', '50.52']",RUS
Marie-José Pérec,"['1995', '1991']","['1', '1']","['49.28', '49.13']",FRA
Fatima Yusuf,['1995'],['5'],['50.70'],NGR
Maicel Malone-Wallace,['1995'],['7'],['50.99'],USA
Natasha Kaiser-Brown,['1993'],['2'],['50.17'],USA
Ximena Restrepo,"['1993', '1991']","['5', '6']","['50.91', '50.79']",COL
Sandra Myers,"['1993', '1991']","['6', '3']","['51.22', '49.78']",ESP
Juliet Campbell,['1993'],['7'],['51.40'],JAM
Norfalia Carabali,['1993'],[''],['DQ'],COL
Olga Vladykina-Bryzgina,['1991'],['4'],['49.82'],URS
Lillie Leatherwood,['1991'],['7'],['51.53'],USA
Diane Dixon,['1991'],['8'],['51.73'],USA
