,years_competed,finish_placements,finish_marks,country
Marco AROP,"['2023', '2022']","['1', '3']","['1:44.24', '1:44.28']",CAN
Emmanuel WANYONYI,"['2023', '2022']","['2', '4']","['1:44.53', '1:44.54']",KEN
Ben PATTISON,['2023'],['3'],['1:44.83'],GBR
Adrián BEN,['2023'],['4'],['1:44.91'],ESP
Slimane MOULA,"['2023', '2022']","['5', '5']","['1:44.95', '1:44.85']",ALG
Tshepiso MASALELA,['2023'],['6'],['1:45.57'],BOT
Bryce HOPPEL,['2023'],['7'],['1:46.02'],USA
Djamel SEDJATI,"['2023', '2022']","['', '2']","['DQ', '1:44.14']",ALG
Emmanuel Kipkurui KORIR,['2022'],['1'],['1:43.71'],KEN
Gabriel TUAL,['2022'],['6'],['1:45.49'],FRA
Peter BOL,['2022'],['7'],['1:45.51'],AUS
Wyclife Kinyamal KISASY,['2022'],['8'],['1:47.07'],KEN
David Rudisha,['2011'],['1'],['1:43.91'],KEN
Abubaker Kaki,['2011'],['2'],['1:44.41'],SUD
Yuriy Borzakovskiy,"['2011', '2009', '2007', '2005', '2003']","['3', '4', '3', '2', '2']","['1:44.49', '1:45.57', '1:47.39', '1:44.51', '1:44.84']",RUS
Marcin Lewandowski,"['2011', '2009']","['4', '8']","['1:44.80', '1:46.17']",POL
Nick Symmonds,"['2011', '2009']","['5', '6']","['1:45.12', '1:45.71']",USA
Adam Kszczot,['2011'],['6'],['1:45.25'],POL
Alfred Kirwa Yego,"['2011', '2009', '2007']","['7', '2', '1']","['1:45.83', '1:45.35', '1:47.09']",KEN
Mohammed Aman,['2011'],['8'],['1:45.93'],ETH
Mbulaeni Mulaudzi,"['2009', '2007', '2003', '2001']","['1', '7', '3', '6']","['1:45.29', '1:47.52', '1:44.90', '1:45.01']",RSA
Yusuf Saad Kamel,['2009'],['3'],['1:45.35'],BRN
Amine Laalou,"['2009', '2007']","['5', '6']","['1:45.66', '1:47.45']",MAR
Bram Som,['2009'],['7'],['1:45.86'],NED
Jackson Mumbwa Kivuva,['2009'],['9'],['1:46.39'],KEN
Yeimer López,['2009'],['10'],['1:47.80'],CUB
Gary Reed,"['2007', '2005']","['2', '8']","['1:47.10', '1:46.20']",CAN
Abraham Chepkirwok,['2007'],['4'],['1:47.41'],UGA
Wilfred Bungei,"['2007', '2005', '2001']","['5', '4', '2']","['1:47.42', '1:44.98', '1:44.55']",KEN
Mohammed Obaid Al-Salhi,['2007'],['8'],['1:47.58'],KSA
Rashid Ramzi,['2005'],['1'],['1:44.24'],BRN
William Yiampoy,"['2005', '2001']","['3', '4']","['1:44.55', '1:44.96']",KEN
Djabir Saïd-Guerni,"['2005', '2003', '1999']","['5', '1', '3']","['1:45.31', '1:44.81', '1:44.18']",ALG
Mehdi Baala,['2005'],['6'],['1:45.32'],FRA
Belal Ali Mansoor,['2005'],['7'],['1:45.55'],BRN
Wilson Kipketer,"['2003', '1999', '1997', '1995']","['4', '1', '1', '1']","['1:45.23', '1:43.30', '1:43.38', '1:45.08']",DEN
Andrea Longo,"['2003', '1999']","['5', '6']","['1:45.43', '1:45.33']",ITA
Justus Koech,['2003'],['6'],['1:45.63'],KEN
Hezekiél Sepeng,"['2003', '2001', '1999', '1993']","['7', '8', '2', '5']","['1:45.74', '1:46.68', '1:43.32', '1:45.64']",RSA
Osmar dos Santos,['2003'],['8'],['1:46.28'],BRA
André Bucher,['2001'],['1'],['1:43.70'],SUI
Pawel Czapiewski,['2001'],['3'],['1:44.63'],POL
Nils Schumann,"['2001', '1999']","['5', '8']","['1:45.00', '1:46.79']",GER
Khalid Tighazouine,['2001'],['7'],['1:45.58'],MAR
Norberto Téllez,"['1999', '1997']","['4', '2']","['1:45.03', '1:44.00']",CUB
Japheth Kimutai,['1999'],['5'],['1:45.18'],KEN
Kennedy Kimwetich,['1999'],['7'],['1:46.27'],KEN
Rich Kenah,['1997'],['3'],['1:44.25'],USA
Patrick Konchellah,['1997'],['4'],['1:44.26'],KEN
Vebjørn Rodal,"['1997', '1995']","['5', '3']","['1:44.53', '1:45.68']",NOR
Marko Koers,['1997'],['6'],['1:44.85'],NED
Patrick Ndururi,['1997'],['7'],['1:45.24'],KEN
Mark Everett,"['1997', '1995', '1991']","['8', '8', '3']","['1:49.02', '1:53.12', '1:44.67']",USA
Arthémon Hatungimana,['1995'],['2'],['1:45.64'],BDI
Nico Motchebon,['1995'],['4'],['1:45.97'],GER
Brandon Rock,['1995'],['5'],['1:46.42'],USA
Jose Parrilla,['1995'],['6'],['1:46.44'],USA
Andrea Giocondi,['1995'],['7'],['1:47.78'],ITA
Paul Ruto,['1993'],['1'],['1:44.71'],KEN
Giuseppe D'Urso,['1993'],['2'],['1:44.86'],ITA
Billy Konchellah,"['1993', '1991']","['3', '1']","['1:44.89', '1:43.99']",KEN
Curtis Robb,['1993'],['4'],['1:45.54'],GBR
Freddie Williams,['1993'],['6'],['1:45.79'],CAN
William Tanui,['1993'],['7'],['1:45.80'],KEN
Tom McKean,['1993'],['8'],['1:46.17'],GBR
José Luíz Barbosa,['1991'],['2'],['1:44.24'],BRA
Paul Ereng,['1991'],['4'],['1:44.75'],KEN
Piotr Piekarski,['1991'],['5'],['1:45.44'],POL
Johnny Gray,['1991'],['6'],['1:45.67'],USA
Andrey Sudnik,['1991'],['7'],['1:46.36'],URS
Tomás de Teresa,['1991'],['8'],['1:47.65'],ESP
