,years_competed,finish_placements,finish_marks,country
Femke BOL,"['2023', '2022']","['1', '2']","['51.70', '52.27']",NED
Shamier LITTLE,"['2023', '2022']","['2', '4']","['52.80', '53.76']",USA
Rushell CLAYTON,"['2023', '2022']","['3', '6']","['52.81', '54.36']",JAM
Kemi ADEKOYA,['2023'],['4'],['53.09'],BRN
Anna COCKRELL,['2023'],['5'],['53.34'],USA
Ayomide FOLORUNSO,['2023'],['6'],['54.19'],ITA
Janieve RUSSELL,['2023'],['7'],['54.28'],JAM
Andrenette KNIGHT,['2023'],['8'],['55.20'],JAM
Sydney MCLAUGHLIN,['2022'],['1'],['50.68'],USA
Dalilah MUHAMMAD,['2022'],['3'],['53.13'],USA
Britton WILSON,['2022'],['5'],['54.02'],USA
Gianna WOODRUFF,['2022'],['7'],['54.75'],PAN
Anna RYZHYKOVA,['2022'],['8'],['54.93'],UKR
Lashinda Demus,"['2011', '2009', '2005']","['1', '2', '2']","['52.47', '52.96', '53.27']",USA
Melaine Walker,"['2011', '2009']","['2', '1']","['52.73', '52.42']",JAM
Natalya Antyukh,"['2011', '2009']","['3', '6']","['53.85', '54.11']",RUS
Kaliese Spencer,"['2011', '2009']","['4', '4']","['54.01', '53.56']",JAM
Anastasiya Rabchenyuk,"['2011', '2009']","['5', '7']","['54.18', '54.78']",UKR
Vania Stambolova,['2011'],['6'],['54.23'],BUL
Zuzana Hejnová,['2011'],['7'],['54.23'],CZE
Elena Churakova,['2011'],['8'],['55.17'],RUS
Josanne Lucas,['2009'],['3'],['53.20'],TTO
Tiffany Williams,"['2009', '2007']","['5', '7']","['53.83', '54.63']",USA
Angela Morosanu,['2009'],['8'],['55.04'],ROU
Jana Pittman,"['2007', '2003']","['1', '1']","['53.31', '53.22']",AUS
Yuliya Pechonkina,"['2007', '2005', '2003', '2001']","['2', '1', '3', '2']","['53.50', '52.90', '53.71', '54.27']",RUS
Anna Jesien,"['2007', '2005']","['3', '4']","['53.92', '54.17']",POL
Nickiesha Wilson,['2007'],['4'],['54.10'],JAM
Xiaoxiao Huang,"['2007', '2005']","['5', '5']","['54.15', '54.57']",CHN
Yevgeniya Isakova,['2007'],['6'],['54.50'],RUS
Tasha Danvers,['2007'],['8'],['54.94'],GBR
Sandra Glover,"['2005', '2003', '2001', '1999']","['3', '2', '8', '5']","['53.32', '53.65', '57.42', '53.65']",USA
Andrea Blackett,"['2005', '2003', '1999', '1997']","['6', '6', '4', '8']","['55.06', '54.79', '53.36', '55.63']",BAR
Tetiana Tereschuk-Antipova,"['2005', '2003', '1999', '1997', '1995']","['7', '5', '7', '4', '5']","['55.09', '54.61', '54.33', '53.81', '54.94']",UKR
Malgorzata Pskit,['2005'],['8'],['55.58'],POL
Ionela Târlea,"['2003', '2001', '1995']","['4', '6', '7']","['54.41', '55.36', '55.46']",ROU
Heike Meissner,"['2003', '1995', '1991']","['7', '4', '7']","['55.60', '54.86', '55.26']",GER
Surita Febbraio,['2003'],['8'],['55.90'],RSA
Nezha Bidouane,"['2001', '1999', '1997']","['1', '2', '1']","['53.34', '52.90', '52.97']",MAR
Daimí Pernía,"['2001', '1999']","['3', '1']","['54.51', '52.89']",CUB
Tonja Buford-Bailey,"['2001', '1997', '1995', '1993']","['4', '6', '2', '5']","['54.55', '54.77', '52.62', '54.55']",USA
Debbie-Ann Parris-Thymes,"['2001', '1999', '1997']","['5', '8', '5']","['54.68', '56.24', '54.19']",JAM
Deon Hemmings,"['2001', '1999', '1997', '1995', '1993']","['7', '3', '2', '3', '6']","['55.83', '53.16', '53.09', '53.48', '54.99']",JAM
Michelle Johnson,['1999'],['6'],['54.23'],USA
Kim Batten,"['1997', '1995', '1993', '1991']","['3', '1', '4', '5']","['53.52', '52.61', '53.84', '53.98']",USA
Susan Smith-Walsh,['1997'],['7'],['55.25'],IRL
Silvia Rieger,['1995'],['6'],['55.01'],GER
Natalya Torshina-Alimzhanova,"['1995', '1993']","['8', '8']","['56.75', '55.78']",KAZ
Sally Gunnell,"['1993', '1991']","['1', '2']","['52.74', '53.16']",GBR
Sandra Farmer-Patrick,"['1993', '1991']","['2', '4']","['52.79', '53.95']",USA
Margarita Khromova-Ponomaryova,"['1993', '1991']","['3', '8']","['53.48', '55.27']",RUS
Rosey Edeh,['1993'],['7'],['55.19'],CAN
Tatyana Ledovskaya,['1991'],['1'],['53.11'],URS
Janeene Vickers,['1991'],['3'],['53.47'],USA
Anita Protti,['1991'],['6'],['54.25'],SUI
