,years_competed,finish_placements,finish_marks,country
Igor Trandenkov,"['1995', '1993']","['7', '3']","['5.70', '5.80']",RUS
Andrei Tivontschik,['1995'],['9'],['5.60'],GER
Valeri Bukrejev,"['1995', '1993']","['', '7']","['NM', '5.75']",EST
Grigoriy Yegorov,['1993'],['2'],['5.90'],KAZ
Denis Petushinskiy,['1993'],['6'],['5.80'],RUS
Vasiliy Bubka,['1993'],['9'],['5.70'],UKR
István Bagyula,"['1993', '1991']","['10', '2']","['5.70', '5.90']",HUN
Peter Widén,"['1993', '1991']","['11', '5']","['5.60', '5.75']",SWE
Mårten Ulvsbäck,['1993'],[''],['NM'],SWE
Daniel Martí,['1993'],[''],['DNS'],ESP
Tim Bright,['1991'],['6'],['5.75'],USA
Hermann Fehringer,['1991'],['7'],['5.60'],AUT
Thierry Vigneron,['1991'],['8'],['5.60'],FRA
Bernhard Zintl,['1991'],['9'],['5.50'],GER
Doug Wood,['1991'],['11'],['5.40'],CAN
Galin Nikov,['1991'],['12'],['5.30'],BUL
Philippe Collet,['1991'],[''],['NM'],FRA
