,years_competed,finish_placements,finish_marks,country
Gudaf TSEGAY,['2023'],['1'],['31:27.18'],ETH
Letesenbet GIDEY,"['2023', '2022']","['2', '1']","['31:28.16', '30:09.94']",ETH
Ejgayehu TAYE,"['2023', '2022']","['3', '6']","['31:28.31', '30:12.45']",ETH
Irine Jepchumba KIMAIS,['2023'],['4'],['31:32.19'],KEN
Alicia MONSON,"['2023', '2022']","['5', '13']","['31:32.29', '30:59.85']",USA
Agnes Jebet NGETICH,['2023'],['6'],['31:34.83'],KEN
Ririka HIRONAKA,"['2023', '2022']","['7', '12']","['31:35.12', '30:39.71']",JPN
Jessica WARNER-JUDD,['2023'],['8'],['31:35.38'],GBR
Grace Loibach NAWOWUNA,['2023'],['9'],['31:38.17'],KEN
Sarah CHELANGAT,['2023'],['10'],['31:40.04'],UGA
Sifan HASSAN,"['2023', '2022']","['11', '4']","['31:53.35', '30:10.56']",NED
Elise CRANNY,['2023'],['12'],['31:57.51'],USA
Diane VAN ES,['2023'],['13'],['32:05.85'],NED
Natosha ROGERS,"['2023', '2022']","['14', '15']","['32:08.05', '31:10.57']",USA
Camilla RICHARDSSON,['2023'],['15'],['32:15.74'],FIN
Stella CHESANG,"['2023', '2022']","['16', '14']","['32:38.90', '31:01.04']",UGA
Lemlem HAILU,['2023'],['17'],['32:42.78'],ETH
Sarah LAHTI,['2023'],['18'],['33:09.22'],SWE
Luz Mery ROJAS,['2023'],['19'],['33:19.61'],PER
Rino GOSHIMA,"['2023', '2022']","['20', '19']","['33:20.38', '32:08.68']",JPN
Maria Lucineida DA SILVA,['2023'],['21'],['35:54.18'],BRA
Caroline Chepkoech KIPKIRUI,"['2023', '2022']","['', '7']","['DNF', '30:17.64']",KAZ
Hellen OBIRI,['2022'],['2'],['30:10.02'],KEN
Margaret Chelimo KIPKEMBOI,['2022'],['3'],['30:10.07'],KEN
Rahel DANIEL,['2022'],['5'],['30:12.15'],ERI
Bosena MULATIE,['2022'],['8'],['30:17.77'],ETH
Karissa SCHWEIZER,['2022'],['9'],['30:18.05'],USA
Eilish MCCOLGAN,['2022'],['10'],['30:34.60'],GBR
Jessica JUDD,['2022'],['11'],['30:35.93'],GBR
Mercyline CHELANGAT,['2022'],['16'],['31:28.26'],UGA
Dominique SCOTT,['2022'],['17'],['31:40.73'],RSA
Dolshi TESFU,['2022'],['18'],['31:49.29'],ERI
Sheila Chepkirui KIPROTICH,['2022'],[''],['DNS'],KEN
Vivian Jepkemoi CHERUIYOT,['2011'],['1'],['30:48.98'],KEN
Sally KIPYEGO,['2011'],['2'],['30:50.04'],KEN
Linet Chepkwemoi Masai,"['2011', '2009']","['3', '1']","['30:53.59', '30:51.24']",KEN
Priscah Jepleting Cherono,['2011'],['4'],['30:56.43'],KEN
Meselech Melkamu,"['2011', '2009']","['5', '2']","['30:56.55', '30:51.34']",ETH
Shitaye ESHETE,['2011'],['6'],['31:21.57'],BRN
Shalane Flanagan,"['2011', '2009']","['7', '13']","['31:25.57', '31:32.19']",USA
