,years_competed,finish_placements,finish_marks,country
Karsten WARHOLM,"['2023', '2022']","['1', '7']","['46.89', '48.42']",NOR
Kyron MCMASTER,['2023'],['2'],['47.34'],IVB
Rai BENJAMIN,"['2023', '2022']","['3', '2']","['47.56', '46.89']",USA
Roshawn CLARKE,['2023'],['4'],['48.07'],JAM
Alison DOS SANTOS,"['2023', '2022']","['5', '1']","['48.10', '46.29']",BRA
Trevor BASSITT,"['2023', '2022']","['6', '3']","['48.22', '47.39']",USA
Rasmus MÄGI,"['2023', '2022']","['7', '8']","['48.33', '48.92']",EST
Joshua ABUAKU,['2023'],['8'],['48.53'],GER
Wilfried HAPPIO,['2022'],['4'],['47.41'],FRA
Khallifah ROSSER,['2022'],['5'],['47.88'],USA
Jaheel HYDE,['2022'],['6'],['48.03'],JAM
David Greene,"['2011', '2009']","['1', '7']","['48.26', '48.68']",GBR
Javier Culson,"['2011', '2009']","['2', '2']","['48.44', '48.09']",PUR
L.J. van Zyl,"['2011', '2005']","['3', '6']","['48.80', '48.54']",RSA
Felix Sánchez,"['2011', '2009', '2007', '2005', '2003', '2001']","['4', '8', '2', '', '1', '1']","['48.87', '50.11', '48.01', 'DNF', '47.25', '47.49']",DOM
Cornel Fredericks,['2011'],['5'],['49.12'],RSA
Bershawn Jackson,"['2011', '2009', '2005']","['6', '3', '1']","['49.24', '48.23', '47.30']",USA
Angelo Taylor,['2011'],['7'],['49.31'],USA
Aleksandr Derevyagin,['2011'],['8'],['49.32'],RUS
Kerron Clement,"['2009', '2007', '2005']","['1', '1', '4']","['47.91', '47.61', '48.18']",USA
Jehue Gordon,['2009'],['4'],['48.26'],TTO
Periklís Iakovákis,"['2009', '2007', '2003']","['5', '6', '3']","['48.42', '49.25', '48.24']",GRE
Danny McFarlane,"['2009', '2007', '2003']","['6', '5', '4']","['48.65', '48.59', '48.30']",JAM
Marek Plawgo,['2007'],['3'],['48.12'],POL
James Carter,"['2007', '2005']","['4', '2']","['48.40', '47.43']",USA
Derrick Williams,['2007'],['7'],['52.97'],USA
Adam Kunkel,['2007'],[''],['DNF'],CAN
Dai Tamesue,"['2005', '2001']","['3', '3']","['48.10', '47.89']",JPN
Naman Keïta,['2005'],['5'],['48.28'],FRA
Bayano Kamani,['2005'],['7'],['50.18'],PAN
Joey Woody,"['2003', '1999']","['2', '6']","['48.18', '48.77']",USA
Kemel Thompson,['2003'],['5'],['48.51'],JAM
Christopher Rawlinson,"['2003', '2001']","['6', '5']","['48.90', '48.54']",GBR
Mubarak Faraj Al-Nubi,['2003'],['7'],['52.64'],QAT
Llewellyn Herbert,"['2003', '1997']","['8', '2']","['1:12.10', '47.86']",RSA
Fabrizio Mori,"['2001', '1999', '1997']","['2', '1', '4']","['47.54', '47.72', '48.05']",ITA
Hadi Soua'an Al-Somaily,['2001'],['4'],['47.99'],KSA
Pawel Januszewski,"['2001', '1999']","['6', '5']","['48.57', '48.19']",POL
Jirí Mužík,"['2001', '1997']","['7', '8']","['49.07', '49.51']",CZE
Boris Gorban,['2001'],[''],['DQ'],RUS
Stéphane Diagana,"['1999', '1997', '1995', '1993']","['2', '1', '3', '4']","['48.12', '47.70', '48.14', '47.64']",FRA
Marcel Schelbert,['1999'],['3'],['48.13'],SUI
Eronilde Nunes de Araújo,"['1999', '1995']","['4', '8']","['48.13', '49.86']",BRA
Dinsdale Morgan,"['1999', '1997']","['7', '7']","['48.92', '49.06']",JAM
Torrance Zellner,['1999'],['8'],['49.06'],USA
Bryan Bronson,['1997'],['3'],['47.88'],USA
Samuel Matete,"['1997', '1995', '1993', '1991']","['5', '2', '2', '1']","['48.11', '48.03', '47.60', '47.64']",ZAM
Ruslan Mashchenko,"['1997', '1995']","['6', '4']","['48.62', '48.83']",RUS
Derrick Adkins,"['1995', '1993', '1991']","['1', '7', '6']","['47.98', '49.07', '49.28']",USA
Sven Nylander,['1995'],['5'],['48.84'],SWE
Ken Harnden,['1995'],['6'],['48.89'],ZIM
Kazuhiko Yamazaki,['1995'],['7'],['49.22'],JPN
Kevin Young,"['1993', '1991']","['1', '4']","['47.18', '48.01']",USA
Winthrop Graham,"['1993', '1991']","['3', '2']","['47.62', '47.74']",JAM
Erick Keter,"['1993', '1991']","['5', '7']","['48.40', '49.99']",KEN
Oleg Tverdokhleb,['1993'],['6'],['48.71'],UKR
Barnabas Kinyor,['1993'],['8'],['49.23'],KEN
Kriss Akabusi,['1991'],['3'],['47.86'],GBR
Danny Harris,['1991'],['5'],['48.46'],USA
Niklas Wallenlind,['1991'],['8'],['50.28'],SWE
