,years_competed,classes_competed,finish_placements,finish_marks
Remona Burchell,[2014],['JR-3'],['1'],['11.25']
Morolake Akinosun,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['2', '2', '3']","['11.33', '10.97', '11.07']"
Jenna Prandini,"[2014, 2015]","['SO-2', 'JR-3']","['3', '1']","['11.42', '10.96']"
Shayla Sanders,[2014],['FR-1'],['4'],['11.42']
Olivia Ekpone,[2014],['JR-3'],['5'],['11.43']
Jennifer Madu,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['6', '8', '8']","['11.54', '11.45', '11.27']"
Mahagony Jones,[2014],['SR-4'],['7'],['11.57']
Tynia Gaither,"[2014, 2016]","['SO-2', 'SR-4']","['8', '4']","['11.73', '11.08']"
Dezerea Bryant,[2015],['SR-4'],['3'],['11.01']
Ky Westbrook,"[2015, 2017]","['FR-1', 'SO-2']","['4', '8']","['11.11', '11.29']"
Aaliyah Brown,"[2015, 2017]","['SO-2', 'SR-4']","['5', '7']","['11.14', '11.21']"
Aleia Hobbs,"[2015, 2017, 2018]","['FR-1', 'JR-3', 'SR-4']","['6', '5', '1']","['11.16', '11.12', '11.01']"
Keilah Tyson,[2015],['SR-4'],['7'],['11.21']
Ariana Washington,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['1', '4', '8']","['10.95', '11.09', '11.50']"
Ashley Henderson,"[2016, 2017]","['SO-2', 'JR-3']","['2', '6']","['10.96', '11.19']"
Mikiah Brisco,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['5', '1', '6']","['11.13', '10.96', '11.44']"
Deanna Hill,"[2016, 2018]","['SO-2', 'SR-4']","['6', '7']","['11.21', '11.45']"
Kianna Gray,[2016],['FR-1'],['7'],['11.24']
Deajah Stevens,[2017],['JR-3'],['2'],['11.04']
Teahna Daniels,"[2017, 2019]","['SO-2', 'SR-4']","['3', '4']","['11.06', '11.00']"
Natalliah Whyte,[2018],['SO-2'],['2'],['11.24']
Twanisha Terry,"[2018, 2019, 2021]","['FR-1', 'SO-2', 'SR-4']","['3', '3', '2']","['11.39', '10.98', '10.79']"
Jonielle Smith,[2018],['SR-4'],['4'],['11.40']
Shania Collins,[2018],['SR-4'],['5'],['11.41']
Sha'Carri Richardson,[2019],['FR-1'],['1'],['10.75']
Kayla White,[2019],['SR-4'],['2'],['10.95']
Kiara  Parker,[2019],['SR-4'],['5'],['11.02']
Kiara Grant,[2019],['SO-2'],['6'],['11.04']
Anglerne Annelus,[2019],['JR-3'],['7'],['11.12']
Ka'Tia Seymour,[2019],['SO-2'],['8'],['11.65']
Cambrea  Sturgis,[2021],['SO-2'],['1'],['10.74']
Tamara Clark,[2021],['JR-3'],['3'],['10.88']
Kemba Nelson,"[2021, 2022]","['JR-3', 'SR-4']","['4', '2']","['10.90', '11.02']"
Alfreda Steele,[2021],['SR-4'],['5'],['11.11']
Jayla Kirkland,[2021],['JR-3'],['6'],['11.22']
Lanae-Tava Thomas,[2021],['JR-3'],['7'],['11.24']
Celera Barnes,[2021],['SR-4'],['8'],['11.31']
Ackera Nugent,[2021],['FR-1'],['9'],['11.37']
Julien Alfred,"[2022, 2023]","['SO-2', 'JR-3']","['1', '1']","['11.02', '10.72']"
Abby Steiner,[2022],['JR-3'],['3'],['11.08']
Rosemary Chukwuma,"[2022, 2023]","['SO-2', 'JR-3']","['4', '6']","['11.14', '11.03']"
Favour Ofili,[2022],['SO-2'],['5'],['11.17']
Grace Nwokocha,[2022],['FR-1'],['6'],['11.21']
Kevona Davis,"[2022, 2023]","['SO-2', 'JR-3']","['7', '5']","['11.22', '10.98']"
Melissa Jefferson,[2022],['SO-2'],['8'],['11.24']
Joella Lloyd,[2022],['SO-2'],['9'],['11.29']
Kennedy Blackmon,[2023],['SR-4'],['2'],['10.87']
Jacious Sears,[2023],['SR-4'],['3'],['10.94']
Kaila Jackson,[2023],['FR-1'],['4'],['10.96']
Ezinne Abba,[2023],['SR-4'],['7'],['11.07']
Dajaz Defrand,[2023],['FR-1'],['8'],['11.08']
McKenzie Long,[2023],['SR-4'],['9'],['11.13']
