,years_competed,classes_competed,finish_placements,finish_marks
Trayvon Bromell,"[2014, 2015]","['FR-1', 'SO-2']","['1', '2']","['9.97', '9.88']"
Dentarius Locke,[2014],['SR-4'],['2'],['10.02']
Aaron Brown,[2014],['SR-4'],['3'],['10.07']
Justin Walker,[2014],['SR-4'],['4'],['10.12']
Shavez Hart,[2014],['JR-3'],['5'],['10.15']
Clayton Vaughn,"[2014, 2015]","['JR-3', 'SR-4']","['6', '8']","['10.19', '10.04']"
Desmond Lawrence,[2014],['SR-4'],['7'],['10.24']
Antwan Wright,[2014],['SO-2'],['8'],['10.24']
Andre De Grasse,[2015],['JR-3'],['1'],['9.75']
Jarrion Lawson,"[2015, 2016]","['JR-3', 'SR-4']","['3', '1']","['9.90', '10.22']"
Senoj-Jay Givans,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['4', '3', '7']","['9.97', '10.25', '10.29']"
Kendal Williams,[2015],['FR-1'],['5'],['9.98']
Tevin Hester,[2015],['JR-3'],['6'],['10.03']
Kolby Listenbee,[2015],['SO-2'],['7'],['10.03']
Christian  Coleman,"[2016, 2017]","['SO-2', 'JR-3']","['2', '1']","['10.23', '10.04']"
Cameron Burrell,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['4', '2', '1']","['10.26', '10.12', '10.13']"
John Teeters,[2016],['JR-3'],['5'],['10.26']
Markesh Woodson,[2016],['SR-4'],['6'],['10.32']
Kenzo Cotton,[2016],['SO-2'],['7'],['10.35']
Nethaneel Mitchell-Blake,"[2016, 2017]","['JR-3', 'SR-4']","['8', '6']","['12.05', '10.26']"
Christopher Belcher,[2017],['SR-4'],['3'],['10.19']
Kyree King,[2017],['SR-4'],['4'],['10.20']
Jaylen Bacon,[2017],['JR-3'],['5'],['10.25']
Odean Skeen,[2017],['JR-3'],['8'],['10.97']
Elijah Hall,[2018],['SR-4'],['2'],['10.17']
Andre Ewers,[2018],['JR-3'],['3'],['10.19']
Cravon Gillespie,"[2018, 2019]","['JR-3', 'SR-4']","['4', '2']","['10.27', '9.93']"
Raheem Chambers,[2018],['SO-2'],['5'],['10.33']
McKinely West,[2018],['JR-3'],['6'],['10.36']
Cejhae Greene,[2018],['SR-4'],['7'],['10.37']
Mario Burke,"[2018, 2019]","['JR-3', 'SR-4']","['8', '6']","['10.41', '10.06']"
Divine Oduduru,[2019],['JR-3'],['1'],['9.86']
Hakim Sani Brown,[2019],['SO-2'],['3'],['9.97']
Waseem Williams,[2019],['JR-3'],['4'],['10.04']
Bryand Rincher,[2019],['FR-1'],['5'],['10.06']
Devin Quinn,[2019],['SR-4'],['7'],['10.12']
Joseph Amoah,[2019],['JR-3'],['8'],['10.22']
Terrance Laird,[2021],['JR-3'],['1'],['10.05']
Shaun Maswanganyi,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['2', '9', '3']","['10.09', '10.26', '9.91']"
Micah Williams,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['3', '7', '7']","['10.11', '10.19', '9.99']"
JoVaughn Martin,"[2021, 2022]","['SO-2', 'JR-3']","['4', '4']","['10.12', '10.09']"
Davonte Burnett,[2021],['JR-3'],['5'],['10.19']
Matthew Boling,"[2021, 2022]","['FR-1', 'SO-2']","['6', '6']","['10.19', '10.18']"
Joseph Fahnbulleh,"[2021, 2022]","['FR-1', 'SO-2']","['7', '1']","['10.26', '10.00']"
Taylor Banks,[2021],['FR-1'],['8'],['10.35']
Favour Ashe,"[2022, 2023]","['FR-1', 'SO-2']","['2', '8']","['10.08', '10.02']"
Javonte Harding,[2022],['SO-2'],['3'],['10.08']
Dedrick Vanover,[2022],['SR-4'],['5'],['10.16']
Da'Marcus Fleming,"[2022, 2023]","['SO-2', 'JR-3']","['8', '4']","['10.20', '9.97']"
Courtney Lindsey,[2023],['SR-4'],['1'],['9.89']
Godson Oghenebrume,[2023],['SO-2'],['2'],['9.90']
PJ Austin,[2023],['SR-4'],['5'],['9.97']
Udodi Onwuzurike,[2023],['SO-2'],['6'],['9.98']
Cole Beck,[2023],['SR-4'],['9'],['10.05']
