,years_competed,classes_competed,finish_placements,finish_marks
Bria Matthews,"[2019, 2021]","['JR-3', 'SR-4']","['18', '6']","['12.92m', '13.90m']"
LaJarvia Brown,[2019],['JR-3'],['19'],['12.90m']
Georgia Wahl,[2019],['SR-4'],['21'],['12.84m']
Domonique Panton,[2019],['SR-4'],['22'],['12.76m']
Lexi Ellis,"[2019, 2022]","['FR-1', 'JR-3']","['23', '10']","['12.75m', '13.20m']"
Ruth Usoro,"[2021, 2022]","['JR-3', 'SR-4']","['1', '2']","['14.19m', '13.95m']"
Jasmine Moore,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['2', '1', '1']","['14.13m', '14.32m', '14.78m']"
Deborah Acquah,[2021],['JR-3'],['4'],['13.95m']
Ruta Lasmane,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['5', '3', '3']","['13.91m', '13.89m', '14.21m']"
Temitope Ojora,"[2021, 2023]","['FR-1', 'JR-3']","['8', '6']","['13.51m', '13.66m']"
Dominique Ruotolo,"[2021, 2022]","['FR-1', 'SO-2']","['9', '7']","['13.45m', '13.27m']"
Natricia Hooper,"[2021, 2022]","['JR-3', 'SR-4']","['10', '6']","['13.42m', '13.44m']"
Mikeisha Welcome,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['11', '9', '8']","['13.38m', '13.22m', '13.62m']"
Alex Madlock,[2021],['JR-3'],['14'],['13.23m']
Adja Sackor,[2021],['JR-3'],['15'],['13.19m']
Mara Hausler,[2021],['FR-1'],['16'],['13.18m']
Rhianna Phipps,"[2021, 2023]","['FR-1', 'SO-2']","['17', '13']","['13.14m', '13.35m']"
Charisma Taylor,"[2021, 2023]","['SO-2', 'SR-4']","['18', '4']","['13.14m', '13.93m']"
Arianna Fisher,"[2021, 2022]","['SO-2', 'JR-3']","['20', '11']","['13.11m', '13.17m']"
Harleigh White,[2021],['JR-3'],['21'],['13.11m']
Sophia Falco,[2021],['JR-3'],['22'],['12.95m']
Asherah Collins,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['23', '17', '10']","['12.81m', '12.88m', '13.48m']"
Ryann Porter,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['24', '19', '19']","['12.62m', '12.76m', '13.03m']"
Ackelia Smith,"[2022, 2023]","['FR-1', 'SO-2']","['4', '2']","['13.79m', '14.54m']"
Esther Isa,[2022],['JR-3'],['8'],['13.24m']
Jaimie  Robinson,"[2022, 2023]","['JR-3', 'SR-4']","['12', '9']","['13.14m', '13.50m']"
Koi Johnson,"[2022, 2023]","['SO-2', 'JR-3']","['13', '17']","['13.05m', '13.08m']"
Danielle Spence,[2022],['SR-4'],['14'],['13.00m']
Mara Haeusler,[2022],['SO-2'],['15'],['12.94m']
Grace Anigbata,[2022],['JR-3'],['16'],['12.92m']
Alissa Braxton,[2022],['SO-2'],['18'],['12.83m']
