,years_competed,classes_competed,finish_placements,finish_marks
Mac Fleet,[2014],['SR-4'],['1'],['3:39.09']
Lawi Lalang,[2014],['SR-4'],['2'],['3:39.13']
Sam Penzenstadler,[2014],['JR-3'],['3'],['3:39.77']
Peter Callahan,"[2014, 2015]","['JR-3', 'SR-4']","['4', '4']","['3:39.90', '3:55.22']"
Jordan Williamsz,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['5', '5', '9']","['3:40.25', '3:55.36', '3:47.61']"
Grant Pollock,[2014],['SR-4'],['6'],['3:40.41']
John  Simons,[2014],['SR-4'],['7'],['3:40.57']
Michael Atchoo,[2014],['SR-4'],['8'],['3:40.66']
Rorey Hunter,[2014],['JR-3'],['9'],['3:40.75']
Sam Prakel,"[2014, 2016, 2018]","['FR-1', 'SO-2', 'SR-4']","['10', '5', '6']","['3:41.04', '3:40.84', '3:45.73']"
Thomas Joyce,[2014],['SO-2'],['11'],['3:41.08']
Brannon Kidder,"[2014, 2016]","['SO-2', 'SR-4']","['12', '4']","['3:44.30', '3:40.67']"
Chad Noelle,[2015],['JR-3'],['1'],['3:54.96']
Zach Perkins,[2015],['SR-4'],['2'],['3:55.08']
Blake Haney,"[2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3']","['3', '11', '11']","['3:55.12', '3:53.80', '3:50.51']"
Kyle  Graves,[2015],['SR-4'],['6'],['3:55.39']
Cristian Soratos,[2015],['SR-4'],['7'],['3:55.60']
David Elliott,[2015],['JR-3'],['8'],['3:55.86']
Daniel Winn,[2015],['SR-4'],['9'],['3:55.93']
Graham Crawford,[2015],['JR-3'],['10'],['3:56.19']
Johnny Gregorek,[2015],['SR-4'],['11'],['3:56.30']
Robert Denault,[2015],['JR-3'],['12'],['3:56.42']
Izaic Yorks,"[2015, 2016]","['JR-3', 'SR-4']","['13', '2']","['3:56.76', '3:38.06']"
Clayton Murphy,[2016],['JR-3'],['1'],['3:36.38']
Henry Wynne,[2016],['JR-3'],['3'],['3:38.35']
Robert Domanic,"[2016, 2018]","['JR-3', 'SR-4']","['6', '4']","['3:41.71', '3:45.47']"
Craig Engels,"[2016, 2017]","['JR-3', 'SR-4']","['7', '3']","['3:43.23', '3:43.54']"
James Randon,[2016],['JR-3'],['8'],['3:43.84']
Josh Kerr,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['10', '1', '3']","['3:50.00', '3:43.03', '3:45.02']"
Adam Palamar,[2016],['JR-3'],['12'],['4:03.80']
Justine Kiprotich,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['2', '7', '2']","['3:43.50', '3:45.75', '3:41.39']"
Joshua Thompson,[2017],['SR-4'],['4'],['3:44.34']
Neil Gourley,[2017],['JR-3'],['5'],['3:44.39']
Andrew Dusing,[2017],['SR-4'],['6'],['3:44.56']
Jeff  Thies,[2017],['JR-3'],['7'],['3:44.59']
Ben Saarel,[2017],['JR-3'],['8'],['3:44.78']
Vincent Ciattei,"[2017, 2018]","['JR-3', 'SR-4']","['9', '2']","['3:44.83', '3:45.02']"
David  Timlin,[2017],['SR-4'],['10'],['3:45.41']
Craig Nowak,[2017],['SR-4'],['12'],['3:52.60']
Oliver Hoare,"[2018, 2019]","['SO-2', 'JR-3']","['1', '4']","['3:44.77', '3:42.29']"
Sam Worley,"[2018, 2019]","['FR-1', 'SO-2']","['5', '9']","['3:45.67', '3:42.81']"
Cameron  Griffith,"[2018, 2019]","['JR-3', 'SR-4']","['8', '3']","['3:45.75', '3:42.14']"
Amos Bartelsmeyer,[2018],['SR-4'],['9'],['3:46.54']
Diego Zarate,"[2018, 2021]","['JR-3', 'SR-4']","['10', '7']","['3:46.55', '3:40.12']"
Mike Marsella,[2018],['SR-4'],['11'],['3:52.39']
Mick Stanovsek,"[2018, 2019]","['SO-2', 'JR-3']","['12', '10']","['3:56.12', '3:45.64']"
Yared Nuguse,"[2019, 2021]","['SO-2', 'JR-3']","['1', '2']","['3:41.39', '3:35.60']"
William Paulson,[2019],['SR-4'],['5'],['3:42.32']
Kasey  Knevelbaard,[2019],['JR-3'],['6'],['3:42.43']
Jack Anstey,[2019],['JR-3'],['7'],['3:42.73']
Casey Comber,[2019],['JR-3'],['8'],['3:42.77']
Talem Franco,"[2019, 2021]","['JR-3', 'SR-4']","['11', '9']","['3:46.20', '3:40.61']"
Eduardo Herrera,[2019],['SO-2'],['12'],['3:46.27']
Cole Hocker,[2021],['FR-1'],['1'],['3:35.35']
Waleed Suliman,[2021],['JR-3'],['3'],['3:37.30']
Eliud Kipsang,[2021],['FR-1'],['4'],['3:38.18']
Mario Garcia Romo,"[2021, 2022]","['SO-2', 'JR-3']","['5', '2']","['3:38.66', '3:45.69']"
Jack Salisbury,[2021],['JR-3'],['6'],['3:40.06']
Paul  Ryan,[2021],['SR-4'],['8'],['3:40.50']
Sam Tanner,[2021],['FR-1'],['10'],['3:41.78']
AJ Ernst,[2021],['SR-4'],['11'],['3:43.14']
Isaac  Basten,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'JR-3']","['12', '10', '5']","['3:46.12', '3:46.67', '3:43.33']"
Joe Waskom,"[2022, 2023]","['SO-2', 'JR-3']","['1', '2']","['3:45.58', '3:42.93']"
Sam Ellis,[2022],['SR-4'],['3'],['3:45.82']
Thomas Vanoppen,[2022],['JR-3'],['4'],['3:46.03']
Luke  Houser,"[2022, 2023]","['SO-2', 'JR-3']","['5', '10']","['3:46.13', '3:44.61']"
Jonathan  Davis,[2022],['SR-4'],['6'],['3:46.15']
Nathan Green,"[2022, 2023]","['FR-1', 'SO-2']","['7', '1']","['3:46.26', '3:42.78']"
Adam Spencer,"[2022, 2023]","['FR-1', 'SO-2']","['8', '3']","['3:46.28', '3:42.98']"
John Petruno,[2022],['JR-3'],['9'],['3:46.56']
George Kusche,[2022],['SR-4'],['11'],['3:47.20']
Ryan Schoppe,[2022],['SO-2'],['12'],['3:47.68']
Anass  Essayi,[2023],['SO-2'],['4'],['3:43.31']
Jesse Hunt,[2023],['SR-4'],['6'],['3:43.40']
Ezekiel  Rop,[2023],['JR-3'],['7'],['3:43.59']
Evan Dorenkamp,[2023],['JR-3'],['8'],['3:44.20']
Fouad Messaoudi,[2023],['SO-2'],['9'],['3:44.41']
Liam Murphy,[2023],['SO-2'],['11'],['3:45.72']
Ethan Strand,[2023],['FR-1'],['12'],['3:47.01']
