,years_competed,classes_competed,finish_placements,finish_marks
Brandon McBride,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['1', '6', '2']","['1:46.26', '1:50.11', '1:44.50']"
Ryan Schnulle,[2014],['SO-2'],['2'],['1:46.29']
Keffri Neal,[2014],['JR-3'],['3'],['1:46.39']
Patrick  Rono,[2014],['JR-3'],['4'],['1:46.46']
Eliud Rutto,"[2014, 2016]","['SO-2', 'JR-3']","['5', '7']","['1:47.32', '1:48.54']"
Luke Lefebure,[2014],['JR-3'],['6'],['1:47.64']
Chris Low,[2014],['JR-3'],['7'],['1:48.28']
Derrick Daigre,[2014],['JR-3'],['8'],['1:50.83']
Edward Kemboi,[2015],['SR-4'],['1'],['1:49.26']
Brannon Kidder,[2015],['JR-3'],['2'],['1:49.36']
Clayton Murphy,[2015],['SO-2'],['3'],['1:49.52']
Jesse Garn,[2015],['JR-3'],['4'],['1:49.74']
Shaquille Walker,"[2015, 2016]","['SO-2', 'JR-3']","['5', '3']","['1:49.99', '1:45.17']"
Collins Kibet,[2015],['SO-2'],['7'],['1:50.35']
Andres Arroyo,"[2015, 2017]","['SO-2', 'SR-4']","['8', '5']","['1:50.67', '1:47.28']"
Donavan Brazier,[2016],['FR-1'],['1'],['1:43.55']
Isaiah  Harris,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['4', '2', '1']","['1:45.76', '1:45.40', '1:44.76']"
Sampson Laari,[2016],['JR-3'],['5'],['1:47.15']
Chris Sanders,[2016],['JR-3'],['6'],['1:47.50']
Robert  Heppenstall,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['8', '4', '8']","['1:51.14', '1:46.68', '1:47.14']"
Emmanuel Korir,[2017],['FR-1'],['1'],['1:45.03']
Joseph White,[2017],['JR-3'],['3'],['1:45.73']
Drew Piazza,[2017],['SR-4'],['6'],['1:47.58']
Devin Dixon,"[2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3']","['7', '5', '2']","['1:49.32', '1:45.86', '1:44.84']"
Michael Saruni,"[2017, 2018]","['FR-1', 'SO-2']","['8', '3']","['2:15.56', '1:45.31']"
Marco Arop,[2018],['FR-1'],['2'],['1:45.25']
Bryce Hoppel,"[2018, 2019]","['SO-2', 'JR-3']","['4', '1']","['1:45.67', '1:44.41']"
Jonah Koech,"[2018, 2019]","['JR-3', 'SR-4']","['6', '7']","['1:46.23', '1:47.28']"
Robert Ford,[2018],['SR-4'],['7'],['1:46.72']
Festus  Lagat,"[2019, 2021]","['JR-3', 'SR-4']","['3', '5']","['1:45.05', '1:46.33']"
Carlton Orange,[2019],['JR-3'],['4'],['1:46.40']
Cooper Williams,[2019],['JR-3'],['5'],['1:46.45']
Michael Rhoads,[2019],['JR-3'],['6'],['1:46.58']
Vincent Crisp,[2019],['SR-4'],['8'],['1:47.48']
Isaiah Jewett,[2021],['SR-4'],['1'],['1:44.68']
Brandon Miller,"[2021, 2022]","['FR-1', 'SO-2']","['2', '3']","['1:44.97', '1:45.09']"
Charlie Hunter,[2021],['SR-4'],['3'],['1:45.75']
Finley McLear,[2021],['SO-2'],['4'],['1:45.80']
Shane Streich,[2021],['SR-4'],['6'],['1:46.70']
Yusuf Bizimana,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['7', '9', '2']","['1:46.76', '1:47.17', '1:45.74']"
Eric Brown,[2021],['SR-4'],['8'],['1:46.76']
Crayton Carrozza,"[2021, 2023]","['FR-1', 'JR-3']","['9', '9']","['1:46.94', '1:47.23']"
Moad Zahafi,[2022],['SR-4'],['1'],['1:44.49']
Navasky Anderson,[2022],['JR-3'],['2'],['1:45.02']
Jason Gomez,[2022],['JR-3'],['4'],['1:46.34']
Sean Dolan,[2022],['SO-2'],['5'],['1:46.38']
Dayton  Carlson,[2022],['FR-1'],['6'],['1:46.72']
Samuel  Rodman,[2022],['FR-1'],['7'],['1:46.96']
Jonathan Schwind,[2022],['SR-4'],['8'],['1:47.12']
Will Sumner,[2023],['FR-1'],['1'],['1:44.26']
Handal Roban,[2023],['FR-1'],['3'],['1:45.95']
Abdullahi Hassan,[2023],['JR-3'],['4'],['1:46.30']
Conor  Murphy,[2023],['JR-3'],['5'],['1:46.43']
Mehdi Yanouri,[2023],['JR-3'],['6'],['1:46.50']
Aidan McCarthy,[2023],['SO-2'],['7'],['1:46.78']
Tiarnan Crorken,[2023],['SR-4'],['8'],['1:46.81']
