,years_competed,classes_competed,finish_placements,finish_marks
Miles Ukaoma,[2014],['SR-4'],['1'],['49.23']
Michael Stigler,"[2014, 2015]","['JR-3', 'SR-4']","['2', '1']","['49.90', '48.84']"
Quincy Downing,"[2014, 2015]","['JR-3', 'SR-4']","['3', '4']","['49.97', '49.79']"
Timothy Holmes,[2014],['FR-1'],['4'],['50.07']
Rilwan Alowonle,[2014],['SO-2'],['5'],['51.06']
Keyunta Hayes,[2014],['JR-3'],['6'],['51.65']
Josh Taylor,[2014],['JR-3'],['7'],['53.03']
Trevor Brown,[2014],['SR-4'],['8'],['1:04.02']
Jordin Andrade,[2015],['SR-4'],['2'],['49.24']
David Kendziera,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['3', '7', '3']","['49.56', '50.78', '48.42']"
Gregory Coleman,[2015],['SR-4'],['5'],['50.15']
Jussi Kanervo,"[2015, 2016]","['SO-2', 'JR-3']","['6', '8']","['50.20', '52.11']"
Eric  Futch,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['7', '1', '1']","['50.90', '48.91', '48.32']"
Desmond Palmer,"[2015, 2017]","['SO-2', 'SR-4']","['8', '5']","['51.57', '49.63']"
TJ Holmes,"[2016, 2017]","['JR-3', 'SR-4']","['2', '6']","['49.31', '49.98']"
Kenny Selmon,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['3', '4', '2']","['49.56', '48.60', '48.12']"
Robert Grant,"[2016, 2017]","['SO-2', 'JR-3']","['4', '8']","['49.62', '1:20.79']"
Taylor McLaughlin,"[2016, 2018, 2019]","['FR-1', 'JR-3', 'SR-4']","['5', '5', '4']","['49.74', '49.59', '48.85']"
Rai Benjamin,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['6', '2', '1']","['49.82', '48.33', '47.02']"
Mica-Jonathan Petit-Homme,[2016],['SR-4'],['7'],['50.71']
Kemar Mowatt,"[2017, 2018]","['JR-3', 'SR-4']","['3', '4']","['48.49', '48.83']"
Jacob Smith,[2018],['SO-2'],['6'],['50.60']
Maksims Sincukovs,[2018],['FR-1'],['7'],['50.63']
Infinite Tucker,[2018],['SO-2'],['8'],['50.76']
Quincy  Hall,[2019],['JR-3'],['1'],['48.48']
Norman Grimes,[2019],['SO-2'],['2'],['48.71']
Amere Lattin,[2019],['SR-4'],['3'],['48.72']
James Smith,"[2019, 2022]","['FR-1', 'JR-3']","['5', '8']","['49.72', '50.19']"
Cameron Samuel,"[2019, 2021]","['SO-2', 'SR-4']","['6', '3']","['49.83', '48.68']"
Martice Moore,[2019],['SR-4'],['7'],['50.14']
Sean Burrell,"[2021, 2022]","['FR-1', 'SO-2']","['1', '1']","['47.85', '48.70']"
Isaiah Levingston,"[2021, 2022]","['JR-3', 'SR-4']","['2', '3']","['48.49', '49.20']"
Moitalel Mpoke,[2021],['JR-3'],['4'],['48.70']
Malik Metivier,"[2021, 2022]","['SR-4', 'SR-4']","['5', '2']","['49.26', '49.13']"
Leonardo Ledgister,[2021],['SO-2'],['6'],['49.28']
Jonathan Harvey,[2021],['SR-4'],['7'],['49.64']
Charles Brockman III,[2021],['JR-3'],['8'],['49.92']
Quivell Jordan,[2021],['JR-3'],['9'],['50.54']
Nathaniel Ezekiel,"[2022, 2023]","['FR-1', 'SO-2']","['4', '3']","['49.24', '48.54']"
Quivell Jordan-Bacot,[2022],['SR-4'],['5'],['49.52']
Drake Schneider,[2022],['SR-4'],['6'],['49.75']
Colten Yardley,[2022],['SR-4'],['7'],['50.10']
Rivaldo Leacock,[2022],['SR-4'],['9'],['50.84']
Chris Robinson,[2023],['JR-3'],['1'],['48.12']
Corde Long,[2023],['JR-3'],['2'],['48.53']
Caleb Dean,[2023],['JR-3'],['4'],['48.56']
Rasheeme Griffith,[2023],['JR-3'],['5'],['49.17']
Caleb Cavanaugh,[2023],['JR-3'],['6'],['49.20']
Cass Elliott,[2023],['SR-4'],['7'],['49.21']
James Smith II,[2023],['JR-3'],['8'],['49.21']
Craig Saddler II,[2023],['JR-3'],['9'],['49.70']
