,years_competed,classes_competed,finish_placements,finish_marks
Jason Smith,[2022],['SR-4'],['13'],['15.91m']
Russell Robinson,"[2022, 2023]","['SO-2', 'JR-3']","['16', '2']","['15.84m', '16.94m']"
Daniel Falode,[2022],['FR-1'],['20'],['15.77m']
Stacy Brown Jr,[2022],['SO-2'],['21'],['15.70m']
James Carter,"[2022, 2023]","['JR-3', 'SR-4']","['22', '13']","['15.49m', '15.69m']"
Jaren Holmes,[2022],['JR-3'],['23'],['15.48m']
Jaydon Hibbert,[2023],['FR-1'],['1'],['17.56m']
Malik Cunningham,[2023],['SR-4'],['7'],['16.17m']
Astley Davis,[2023],['JR-3'],['8'],['16.17m']
Praise Aniamaka,[2023],['SO-2'],['9'],['16.10m']
Brandon Green,[2023],['FR-1'],['10'],['16.06m']
Ryan Brown,[2023],['SR-4'],['12'],['15.89m']
Garison Breeding,[2023],['SO-2'],['15'],['15.56m']
Chadrick Williams,[2023],['SR-4'],['16'],['15.51m']
Theophilus Mudzengerere,[2023],['FR-1'],['18'],['15.32m']
Kelvin Campbell,[2023],['SR-4'],['19'],['14.94m']
