,years_competed,classes_competed,finish_placements,finish_marks
Dedric Dukes,"[2014, 2015]","['JR-3', 'SR-4']","['1', '2']","['19.91', '19.86']"
Aaron Brown,[2014],['SR-4'],['2'],['20.02']
Justin Walker,[2014],['SR-4'],['3'],['20.13']
Aaron Ernest,"[2014, 2015]","['JR-3', 'SR-4']","['4', '5']","['20.31', '20.11']"
Everett Walker,[2014],['SR-4'],['5'],['20.42']
Khalil Henderson,[2014],['FR-1'],['6'],['20.61']
Arthur Delaney,[2014],['JR-3'],['7'],['20.79']
Clayton Vaughn,[2014],['JR-3'],['8'],['26.22']
Andre De Grasse,[2015],['JR-3'],['1'],['19.58']
Trayvon Bromell,[2015],['SO-2'],['3'],['19.86']
Tremayne Acy,[2015],['SO-2'],['4'],['20.04']
Tevin Hester,"[2015, 2016]","['JR-3', 'SR-4']","['6', '6']","['20.29', '20.68']"
Kahlil Henderson,[2015],['SO-2'],['7'],['20.38']
Kendal Williams,"[2015, 2018]","['FR-1', 'JR-3']","['8', '3']","['20.45', '20.32']"
Jarrion Lawson,[2016],['SR-4'],['1'],['20.19']
Christian  Coleman,"[2016, 2017]","['SO-2', 'JR-3']","['2', '1']","['20.26', '20.25']"
Brendon Rodney,[2016],['SR-4'],['3'],['20.39']
Renard  Howell,[2016],['JR-3'],['4'],['20.55']
Kenzo Cotton,"[2016, 2018]","['SO-2', 'SR-4']","['5', '7']","['20.55', '20.73']"
Nick Gray,[2016],['FR-1'],['7'],['20.93']
Nethaneel Mitchell-Blake,[2017],['SR-4'],['2'],['20.29']
Jereem Richards,[2017],['JR-3'],['3'],['20.55']
Kyree King,[2017],['SR-4'],['4'],['20.61']
Christopher Belcher,[2017],['SR-4'],['5'],['20.66']
Senoj-Jay Givans,[2017],['SR-4'],['6'],['20.76']
Teray Smith,[2017],['SR-4'],['7'],['20.77']
Jaylen Bacon,[2017],['JR-3'],['8'],['20.84']
Divine Oduduru,"[2018, 2019]","['SO-2', 'JR-3']","['1', '1']","['20.28', '19.73']"
Andre Ewers,[2018],['JR-3'],['2'],['20.29']
Jaron Flournoy,[2018],['JR-3'],['4'],['20.43']
Rodney Rowe,[2018],['JR-3'],['5'],['20.52']
Mustaqeem Williams,"[2018, 2019]","['JR-3', 'SR-4']","['6', '8']","['20.62', '20.56']"
McKinely West,[2018],['JR-3'],['8'],['20.84']
Cravon Gillespie,[2019],['SR-4'],['2'],['19.93']
Hakim Sani Brown,[2019],['SO-2'],['3'],['20.08']
Mario Burke,[2019],['SR-4'],['4'],['20.11']
Micaiah Harris,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['5', '4', '4']","['20.13', '20.26', '20.45']"
Joseph Amoah,[2019],['JR-3'],['6'],['20.19']
Andrew Hudson,[2019],['SR-4'],['7'],['20.25']
Joseph Fahnbulleh,"[2021, 2022]","['FR-1', 'SO-2']","['1', '1']","['19.91', '19.83']"
Terrance Laird,[2021],['JR-3'],['2'],['19.94']
Shaun Maswanganyi,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['3', '6', '6']","['20.10', '20.51', '20.07']"
Matthew Boling,"[2021, 2022]","['FR-1', 'SO-2']","['5', '2']","['20.48', '20.13']"
Davonte Burnett,[2021],['JR-3'],['6'],['20.55']
JoVaughn Martin,[2021],['SO-2'],['7'],['20.96']
Robert Gregory,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'SO-2']","['8', '7', '4']","['21.74', '20.54', '19.89']"
Javonte Harding,"[2021, 2023]","['FR-1', 'JR-3']","['9', '9']","['25.79', '20.90']"
Udodi Onwuzurike,"[2022, 2023]","['FR-1', 'SO-2']","['3', '1']","['20.15', '19.84']"
Tarsis Orogot,"[2022, 2023]","['FR-1', 'SO-2']","['5', '5']","['20.48', '20.03']"
Courtney Lindsey,"[2022, 2023]","['JR-3', 'SR-4']","['8', '2']","['20.67', '19.86']"
Eric Harrison,[2022],['SR-4'],['9'],['20.71']
Terrence Jones,[2023],['JR-3'],['3'],['19.87']
David Dunlap,[2023],['SR-4'],['7'],['20.16']
Cameron Miller,[2023],['SO-2'],['8'],['20.30']
