,years_competed,classes_competed,finish_placements,finish_marks
Maddy Denner,[2019],['FR-1'],['19'],['34:58.38']
Megan  Hasz,[2019],['SO-2'],['20'],['35:03.50']
Monica Hebner,"[2019, 2023]","['FR-1', 'JR-3']","['21', '21']","['35:28.28', '35:39.23']"
Ivine Chemutai,[2019],['SO-2'],['22'],['35:35.93']
Mercy Chelangat,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['2', '1', '3']","['32:22.11', '32:37.08', '32:49.62']"
Maria Mettler,[2021],['SR-4'],['3'],['32:34.05']
Katie Izzo,[2021],['JR-3'],['4'],['32:34.16']
Haley Herberg,"[2021, 2022]","['SR-4', 'JR-3']","['5', '7']","['32:35.59', '33:20.33']"
Grace Forbes,"[2021, 2022]","['FR-1', 'SO-2']","['7', '2']","['32:38.91', '32:48.07']"
Kelsey Chmiel,"[2021, 2023]","['FR-1', 'JR-3']","['8', '8']","['32:45.83', '33:14.09']"
Poppy Tank,[2021],['SR-4'],['9'],['32:50.57']
Jessa Hanson,"[2021, 2022]","['JR-3', 'SR-4']","['11', '11']","['32:55.24', '33:35.74']"
Abbey Wheeler,[2021],['SR-4'],['12'],['33:04.56']
Lexie Thompson,[2021],['SR-4'],['13'],['33:06.95']
Cailie Logue,"[2021, 2023]","['JR-3', 'SR-4']","['14', '6']","['33:07.63', '33:06.86']"
Stephanie Sherman,[2021],['SR-4'],['16'],['33:25.31']
Clio Ozanne-Jaques,[2021],['JR-3'],['17'],['33:26.86']
Lynsie Gram,[2021],['SR-4'],['18'],['33:28.33']
Chandler Horton,[2021],['SO-2'],['19'],['33:41.34']
India Johnson,"[2021, 2022]","['SR-4', 'JR-3']","['20', '10']","['33:44.88', '33:34.93']"
Jessi Larson,[2021],['SO-2'],['21'],['33:54.70']
Ashley Tutt,[2021],['SO-2'],['22'],['33:58.63']
Katie Rose Blachowicz,"[2021, 2022]","['SO-2', 'JR-3']","['23', '20']","['34:42.50', '34:09.40']"
Jenna Magness,[2022],['SR-4'],['3'],['32:59.96']
Emily Covert,[2022],['FR-1'],['4'],['33:14.64']
Alexandra Hays,"[2022, 2023]","['JR-3', 'SR-4']","['5', '12']","['33:16.16', '33:54.09']"
Gabby  Hentemann,[2022],['SO-2'],['6'],['33:18.04']
Charlotte Dannatt,[2022],['SR-4'],['8'],['33:26.78']
Amelia Mazza-Downie,"[2022, 2023]","['SO-2', 'JR-3']","['9', '4']","['33:31.99', '32:51.90']"
Everlyn Kemboi,"[2022, 2023]","['JR-3', 'JR-3']","['12', '1']","['33:41.50', '32:39.08']"
Maggie Donahue,[2022],['SO-2'],['13'],['33:42.99']
Emma Heckel,[2022],['FR-1'],['14'],['33:43.01']
Makayla Perez,[2022],['JR-3'],['15'],['33:43.76']
Gionna Quarzo,[2022],['SO-2'],['16'],['33:46.78']
Hannah Branch,[2022],['SR-4'],['17'],['33:49.23']
Louise Lounes,[2022],['SO-2'],['18'],['34:04.06']
Daisy  Liljegren,"[2022, 2023]","['FR-1', 'SO-2']","['19', '16']","['34:05.69', '34:13.36']"
Faith Linga,[2022],['SO-2'],['21'],['34:19.43']
Aubrey Frentheway,"[2022, 2023]","['JR-3', 'SR-4']","['22', '10']","['34:31.59', '33:45.29']"
Michaela Reinhart,[2022],['SR-4'],['23'],['34:52.50']
Emily Venters,[2023],['SR-4'],['2'],['32:47.70']
Hilda Olemomoi,[2023],['SO-2'],['5'],['32:58.81']
Annamaria Kostarellis,[2023],['SR-4'],['9'],['33:21.34']
Ava Nuttall,[2023],['JR-3'],['11'],['33:51.78']
Molly Born,[2023],['SO-2'],['13'],['33:54.16']
Gracelyn Larkin,[2023],['JR-3'],['14'],['34:00.22']
Camila Noe,[2023],['SR-4'],['15'],['34:06.64']
Kenzie Doyle,[2023],['SO-2'],['17'],['34:41.76']
Sophie Atkinson,[2023],['FR-1'],['18'],['34:51.58']
Eleanor Mancini,[2023],['SR-4'],['19'],['35:19.21']
Mariah Howlett,[2023],['JR-3'],['20'],['35:19.62']
