,years_competed,classes_competed,finish_placements,finish_marks
Alex Spyridonidis,[2021],['JR-3'],['5'],['7665']
Will Daniels,[2021],['SR-4'],['7'],['7635']
Heath Baldwin,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['11', '13', '5']","['7522', '7538', '7919']"
Joseph Keys,"[2021, 2023]","['JR-3', 'SR-4']","['12', '12']","['7479', '7646']"
Noah Swaby,[2021],['SO-2'],['13'],['7428']
Teddy Frid,[2021],['SR-4'],['14'],['7330']
Josh Farmer,"[2021, 2022]","['SO-2', 'JR-3']","['16', '14']","['7206', '7519']"
Dallin Vorkink,"[2021, 2022]","['SO-2', 'JR-3']","['17', '11']","['6388', '7592']"
Jordan  Torney,[2021],['JR-3'],['18'],['6230']
Ayden Owens-Delerme,[2022],['JR-3'],['1'],['8457']
Kyle Garland,"[2022, 2023]","['SO-2', 'SR-4']","['3', '2']","['8333', '8630']"
Lucas Van Klaveren,[2022],['SR-4'],['4'],['8015']
Austin West,"[2022, 2023]","['SO-2', 'JR-3']","['5', '3']","['7886', '8054']"
Asani Hylton,[2022],['SR-4'],['6'],['7748']
Daniel Spejcher,"[2022, 2023]","['JR-3', 'SR-4']","['7', '10']","['7744', '7688']"
JJ Ply,[2022],['SR-4'],['8'],['7739']
Yariel Soto,[2022],['SO-2'],['10'],['7668']
Emil Uhlin,[2022],['FR-1'],['12'],['7546']
Oliver Thorner,"[2022, 2023]","['SO-2', 'JR-3']","['15', '13']","['7473', '7641']"
Kristo Simulask,"[2022, 2023]","['JR-3', 'SR-4']","['16', '17']","['7457', '7410']"
Trpimir Siroki,[2022],['JR-3'],['17'],['7431']
Alexander Jung,"[2022, 2023]","['FR-1', 'SO-2']","['18', '19']","['7341', '6817']"
Hakim McMorris,[2022],['JR-3'],['19'],['6958']
Ryan Talbot,"[2022, 2023]","['SO-2', 'JR-3']","['20', '15']","['6863', '7488']"
Till Steinforth,[2023],['SO-2'],['4'],['7991']
Yariel Soto Torrado,[2023],['JR-3'],['6'],['7917']
Jack  Turner,[2023],['JR-3'],['7'],['7851']
Ben  Barton,[2023],['SO-2'],['8'],['7815']
Grant Levesque,[2023],['SO-2'],['9'],['7739']
Peyton  Bair,[2023],['FR-1'],['11'],['7653']
Rafael Raap,[2023],['FR-1'],['14'],['7607']
Aiden Ouimet,[2023],['JR-3'],['16'],['7468']
Joel  McFarlane,[2023],['JR-3'],['18'],['7311']
Tayton Klein,[2023],['FR-1'],['20'],['6753']
Marcus Weaver,[2023],['SO-2'],['21'],['4222']
