,years_competed,classes_competed,finish_placements,finish_marks
Aaron True,"[2018, 2019]","['JR-3', 'SR-4']","['8', '5']","['70.26m', '73.11m']"
Jesse Newman,[2018],['SO-2'],['9'],['69.81m']
Jonno Engelking,[2018],['SO-2'],['10'],['68.07m']
Adrian Williams,[2018],['JR-3'],['12'],['68.01m']
William Petersson,"[2018, 2019]","['SO-2', 'JR-3']","['13', '11']","['67.33m', '69.20m']"
Tony White,[2018],['SR-4'],['16'],['65.71m']
Denzel Pratt,"[2018, 2019]","['JR-3', 'SR-4']","['17', '14']","['65.19m', '67.40m']"
Richard Vinson,[2018],['SR-4'],['19'],['63.58m']
Rodrigo  Iglesias,[2018],['JR-3'],['21'],['63.23m']
Sean Richards,[2018],['SR-4'],['22'],['61.35m']
August Cook,"[2018, 2019, 2021]","['FR-1', 'SO-2', 'SR-4']","['23', '19', '13']","['61.10m', '65.82m', '68.48m']"
Cade Antonucci,"[2018, 2019, 2021]","['FR-1', 'SO-2', 'SR-4']","['24', '21', '3']","['59.30m', '63.89m', '76.14m']"
Tyriq Horsford,"[2019, 2021, 2023]","['FR-1', 'SO-2', 'JR-3']","['3', '4', '24']","['75.59m', '75.95m', '61.44m']"
Ethan Dabbs,"[2019, 2022, 2023]","['FR-1', 'JR-3', 'SR-4']","['7', '2', '2']","['72.23m', '79.68m', '79.27m']"
Denham Patricelli,[2019],['SR-4'],['8'],['70.98m']
Mark Porter,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['13', '12', '16']","['68.31m', '69.19m', '67.93m']"
Skyler Porcaro,[2019],['SR-4'],['16'],['66.68m']
Marc Minichello,"[2019, 2022, 2023]","['FR-1', 'SO-2', 'SR-4']","['17', '1', '4']","['66.67m', '81.17m', '77.27m']"
Jackson Van Vuren,[2019],['JR-3'],['18'],['66.00m']
Hayden Fox,[2019],['FR-1'],['20'],['64.60m']
Brendan  Artley,[2019],['FR-1'],['24'],['59.57m']
Tzuriel Pedigo,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['1', '3', '1']","['76.98m', '78.90m', '79.79m']"
DJ Jonsson,"[2021, 2022]","['FR-1', 'SO-2']","['2', '7']","['76.73m', '76.29m']"
Franck DiSanza,[2021],['FR-1'],['6'],['74.71m']
Cameron Bates,"[2021, 2023]","['SO-2', 'JR-3']","['7', '8']","['74.25m', '74.71m']"
Benji Phillips,"[2021, 2023]","['SO-2', 'JR-3']","['8', '16']","['71.40m', '69.26m']"
Scott Fuchs,[2021],['SR-4'],['9'],['70.91m']
Nils Fischer,[2021],['SR-4'],['10'],['69.69m']
Arthur Petersen,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['11', '6', '11']","['69.69m', '76.34m', '72.20m']"
Donavon Banks,[2021],['SR-4'],['14'],['68.07m']
Logan Wolfley,[2021],['SR-4'],['15'],['67.59m']
Chase Tarr,[2021],['SO-2'],['16'],['67.00m']
Cord Neal,"[2021, 2022]","['JR-3', 'SR-4']","['17', '13']","['65.86m', '68.62m']"
Sam Hankins,"[2021, 2023]","['FR-1', 'JR-3']","['18', '5']","['64.96m', '76.18m']"
Carlan  Naisant,[2021],['SO-2'],['19'],['64.83m']
James McNaney,"[2021, 2022]","['JR-3', 'SR-4']","['20', '23']","['63.96m', '64.60m']"
Dalton Rasmussen,[2021],['SO-2'],['21'],['62.81m']
Izac Canchola,"[2021, 2023]","['FR-1', 'JR-3']","['22', '23']","['62.44m', '62.12m']"
Hunter Longino,[2021],['FR-1'],['23'],['57.00m']
Brian Sagendorf,[2021],['SR-4'],['24'],['54.23m']
Taran Taylor,[2022],['JR-3'],['4'],['78.76m']
Chinecherem Prosper  Nnamdi,"[2022, 2023]","['FR-1', 'SO-2']","['5', '3']","['78.61m', '78.36m']"
Ahmed Magour,[2022],['JR-3'],['8'],['73.14m']
Markim Felix,[2022],['SR-4'],['9'],['72.30m']
Ty Hampton,[2022],['FR-1'],['10'],['72.12m']
Evan Niedrowski,"[2022, 2023]","['FR-1', 'SO-2']","['11', '12']","['70.22m', '71.85m']"
Eli Gaughan,[2022],['JR-3'],['12'],['69.53m']
Jackson Morris,"[2022, 2023]","['SO-2', 'SR-4']","['14', '10']","['68.03m', '73.21m']"
Ashton Domingue,[2022],['SO-2'],['15'],['67.98m']
