,years_competed,classes_competed,finish_placements,finish_marks
Kamaria Brown,"[2014, 2015]","['JR-3', 'SR-4']","['1', '3']","['22.63', '22.24']"
Jenna Prandini,"[2014, 2015]","['SO-2', 'JR-3']","['2', '2']","['22.63', '22.21']"
Olivia Ekpone,[2014],['JR-3'],['3'],['22.64']
Mahagony Jones,[2014],['SR-4'],['4'],['22.68']
Morolake Akinosun,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['5', '5', '4']","['22.89', '22.52', '22.54']"
Tynia Gaither,"[2014, 2016]","['SO-2', 'SR-4']","['6', '5']","['23.05', '22.54']"
Ashley Fields,[2014],['SO-2'],['7'],['23.20']
Cierra White,"[2014, 2015]","['JR-3', 'SR-4']","['8', '7']","['23.33', '22.94']"
Dezerea Bryant,[2015],['SR-4'],['1'],['22.18']
Kyra Jefferson,"[2015, 2017]","['SO-2', 'SR-4']","['4', '1']","['22.24', '22.02']"
Aaliyah Brown,"[2015, 2017]","['SO-2', 'SR-4']","['6', '4']","['22.76', '22.79']"
Jada Martin,"[2015, 2017]","['SO-2', 'SR-4']","['8', '5']","['22.97', '22.85']"
Ariana Washington,"[2016, 2017]","['FR-1', 'SO-2']","['1', '2']","['22.21', '22.39']"
Deajah Stevens,[2016],['SO-2'],['2'],['22.25']
Gabrielle Thomas,"[2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3']","['3', '3', '2']","['22.47', '22.61', '22.86']"
Felicia  Brown,[2016],['SR-4'],['6'],['22.67']
Deanna Hill,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['7', '6', '7']","['22.75', '23.00', '23.53']"
Jasmine Camacho-Quinn,[2016],['FR-1'],['8'],['23.07']
Brittany Brown,[2017],['JR-3'],['7'],['23.02']
Anglerne Annelus,"[2018, 2019, 2021]","['SO-2', 'JR-3', 'SR-4']","['1', '1', '6']","['22.76', '22.16', '22.72']"
Lynna Irby,[2018],['FR-1'],['3'],['22.92']
Ka'Tia Seymour,[2018],['FR-1'],['4'],['23.10']
Kortnei Johnson,[2018],['JR-3'],['5'],['23.20']
Ashley Henderson,[2018],['JR-3'],['6'],['23.34']
Shania Collins,[2018],['SR-4'],['8'],['24.01']
Sha'Carri Richardson,[2019],['FR-1'],['2'],['22.17']
Cambrea  Sturgis,"[2019, 2021]","['FR-1', 'SO-2']","['3', '1']","['22.40', '22.12']"
Janeek Brown,[2019],['SO-2'],['4'],['22.40']
Teahna Daniels,[2019],['SR-4'],['5'],['22.62']
Lanae-Tava Thomas,[2019],['FR-1'],['6'],['22.74']
Kayla White,[2019],['SR-4'],['7'],['22.81']
Tamara Clark,[2021],['JR-3'],['2'],['22.17']
Anavia Battle,"[2021, 2022]","['SR-4', 'SR-4']","['3', '3']","['22.42', '22.33']"
Favour Ofili,"[2021, 2022]","['FR-1', 'SO-2']","['4', '2']","['22.45', '22.05']"
Twanisha Terry,[2021],['SR-4'],['5'],['22.69']
Alfreda Steele,[2021],['SR-4'],['7'],['22.77']
Kevona Davis,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['8', '5', '3']","['22.78', '22.50', '22.02']"
Cassondra Hall,[2021],['SR-4'],['9'],['22.94']
Abby Steiner,[2022],['JR-3'],['1'],['21.80']
Kynnedy Flannel,[2022],['JR-3'],['4'],['22.35']
Grace Nwokocha,[2022],['FR-1'],['6'],['22.52']
Edidiong Odiong,[2022],['SR-4'],['7'],['22.70']
Joella Lloyd,[2022],['SO-2'],['8'],['22.80']
Melissa Jefferson,[2022],['SO-2'],['9'],['22.90']
Julien Alfred,[2023],['JR-3'],['1'],['21.73']
McKenzie Long,[2023],['SR-4'],['2'],['21.88']
Jacious Sears,[2023],['SR-4'],['4'],['22.04']
Lanae Thomas,[2023],['SR-4'],['5'],['22.36']
Caisja Chandler,[2023],['SR-4'],['6'],['22.37']
Talitha  Diggs,[2023],['JR-3'],['7'],['22.45']
Karimah Davis,[2023],['SR-4'],['8'],['22.48']
Kennedy Blackmon,[2023],['SR-4'],['9'],['22.53']
