,years_competed,classes_competed,finish_placements,finish_marks
Lawi Lalang,[2014],['SR-4'],['1'],['13:18.36']
Edward Cheserek,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['2', '1', '1']","['13:18.71', '13:48.67', '13:25.59']"
Trevor Dunbar,[2014],['SR-4'],['3'],['13:26.90']
Eric Jenkins,"[2014, 2015]","['JR-3', 'SR-4']","['4', '2']","['13:27.41', '13:48.92']"
Mohammed Ahmed,[2014],['SR-4'],['5'],['13:28.45']
Patrick Tiernan,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'SR-4']","['6', '10', '3']","['13:31.25', '13:55.81', '13:27.07']"
Joe Rosa,[2014],['JR-3'],['7'],['13:31.69']
Kennedy Kithuka,[2014],['SR-4'],['8'],['13:34.91']
Shadrack Kipchirchir,[2014],['SR-4'],['9'],['13:47.18']
Weston Strum,"[2014, 2015]","['JR-3', 'SR-4']","['10', '11']","['13:47.19', '13:55.93']"
Andrew Colley,[2014],['SR-4'],['11'],['13:51.06']
Nick Happe,[2014],['SR-4'],['12'],['13:54.93']
Isaac Presson,[2014],['SR-4'],['13'],['13:55.55']
Parker Stinson,[2014],['SR-4'],['14'],['13:59.18']
Soufiane Bouchikhi,[2014],['SR-4'],['15'],['14:01.48']
Stanley Kebenei,[2014],['JR-3'],['16'],['14:03.02']
Matthew Schwartzer,[2014],['FR-1'],['17'],['14:08.38']
Kirubel Erassa,[2014],['JR-3'],['18'],['14:12.98']
Leoule Degfae,[2014],['SR-4'],['19'],['14:13.17']
Tom Purnell,[2014],['SO-2'],['20'],['14:14.07']
Curtis King,[2014],['SO-2'],['21'],['14:24.80']
Matthew Gillespie,[2014],['SR-4'],['22'],['14:30.20']
Wesley Gallagher,[2014],['SO-2'],['23'],['14:34.79']
John Bleday,[2014],['JR-3'],['24'],['14:36.49']
Matt Fischer,[2014],['JR-3'],['25'],['15:05.99']
Kemoy Campbell,[2015],['SR-4'],['3'],['13:49.23']
Will Geoghegan,[2015],['SR-4'],['4'],['13:49.35']
William  Kincaid,"[2015, 2016]","['JR-3', 'SR-4']","['5', '9']","['13:49.54', '13:32.49']"
Justyn Knight,"[2015, 2016, 2017, 2018]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['6', '10', '3', '2']","['13:50.96', '13:40.40', '14:36.23', '13:55.03']"
Thomas Curtin,"[2015, 2016]","['JR-3', 'SR-4']","['7', '4']","['13:52.11', '13:27.64']"
Sean McGorty,"[2015, 2016, 2018]","['FR-1', 'SO-2', 'SR-4']","['8', '2', '1']","['13:53.63', '13:26.10', '13:54.81']"
Erik Olson,[2015],['SR-4'],['9'],['13:55.74']
Jake Leingang,"[2015, 2016]","['FR-1', 'SO-2']","['12', '18']","['14:00.35', '14:01.30']"
Collin Leibold,[2015],['JR-3'],['13'],['14:10.21']
Colin  Bennie,[2015],['FR-1'],['14'],['14:12.88']
Michael Clevenger,[2015],['JR-3'],['15'],['14:13.44']
Lane Werley,[2015],['JR-3'],['16'],['14:15.63']
Morgan Pearson,"[2015, 2016]","['JR-3', 'SR-4']","['17', '14']","['14:21.10', '13:54.99']"
Ty McCormack,[2015],['SR-4'],['18'],['14:26.63']
Willy Fink,[2015],['SO-2'],['19'],['14:30.54']
Morgan  McDonald,"[2016, 2019]","['FR-1', 'SR-4']","['5', '1']","['13:29.79', '14:06.01']"
Grant Fisher,"[2016, 2017, 2018, 2019]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['6', '1', '3', '2']","['13:30.13', '14:35.60', '13:55.04', '14:06.63']"
Ryan Walling,[2016],['SR-4'],['7'],['13:31.30']
Patrick Corona,[2016],['SR-4'],['8'],['13:31.66']
Cerake  Geberkidane,[2016],['FR-1'],['11'],['13:53.70']
Arse'ne Guillorel,[2016],['SO-2'],['12'],['13:53.85']
Colby Gilbert,"[2016, 2018]","['SO-2', 'SR-4']","['13', '22']","['13:54.45', '14:27.22']"
Tony Smoragiewicz,[2016],['JR-3'],['15'],['13:55.19']
Vegard Oelstad,[2016],['SR-4'],['16'],['13:55.66']
Lawrence Kipkoech,"[2016, 2018]","['SO-2', 'JR-3']","['17', '18']","['14:00.90', '14:11.95']"
Rory Linkletter,"[2016, 2018]","['FR-1', 'JR-3']","['19', '8']","['14:06.62', '13:58.20']"
Chartt Miller,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['20', '6', '21']","['14:09.84', '14:36.79', '14:20.90']"
