,years_competed,classes_competed,finish_placements,finish_marks
Courtney Okolo,"[2014, 2016]","['SO-2', 'SR-4']","['1', '1']","['50.23', '50.36']"
Phyllis Francis,[2014],['SR-4'],['2'],['50.59']
Kendall Baisden,"[2014, 2015]","['FR-1', 'SO-2']","['3', '2']","['51.32', '51.74']"
Briana Nelson,[2014],['SR-4'],['4'],['51.59']
Michelle Brown,[2014],['SR-4'],['5'],['51.70']
Margaret Bamgbose,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['6', '6', '4']","['51.72', '52.13', '51.57']"
Robin Reynolds,"[2014, 2016]","['SO-2', 'SR-4']","['7', '6']","['52.02', '51.84']"
Kiara Porter,"[2014, 2015]","['JR-3', 'SR-4']","['8', '8']","['52.80', '52.67']"
Kala Funderburk,[2015],['JR-3'],['1'],['51.67']
Daye Shon Roberson,[2015],['SO-2'],['3'],['51.74']
Taylor Ellis-Watson,"[2015, 2016]","['JR-3', 'SR-4']","['4', '2']","['52.01', '50.86']"
Shakima Wimbley,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['5', '3', '2']","['52.08', '51.43', '50.68']"
Ashley Spencer,[2015],['SR-4'],['7'],['52.65']
Chrisann Gordon,"[2016, 2017]","['JR-3', 'SR-4']","['5', '1']","['51.72', '50.51']"
Jasmine Blocker,[2016],['SR-4'],['7'],['53.14']
Felecia  Majors,[2016],['JR-3'],['8'],['59.68']
Kendall Ellis,"[2017, 2018]","['JR-3', 'SR-4']","['3', '2']","['51.06', '50.19']"
Daina Harper,[2017],['SR-4'],['4'],['51.42']
Sharrika Barnett,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['5', '4', '3']","['51.84', '51.16', '51.00']"
Elexis Guster,[2017],['SR-4'],['6'],['52.25']
Cameron Pettigrew,[2017],['SR-4'],['7'],['52.52']
Jaevin Reed,[2017],['FR-1'],['8'],['52.61']
Lynna Irby,[2018],['FR-1'],['1'],['49.80']
Brionna Thomas,[2018],['SR-4'],['3'],['50.78']
Chloe Abbott,"[2018, 2019]","['SO-2', 'JR-3']","['5', '2']","['51.87', '50.98']"
Briyahna DesRosiers,[2018],['JR-3'],['6'],['52.10']
Rachel Misher,[2018],['JR-3'],['7'],['52.23']
Makenzie Dunmore,[2018],['SO-2'],['8'],['1:49.13']
Wadeline Jonathas,[2019],['JR-3'],['1'],['50.60']
Kethlin Campbell,[2019],['SO-2'],['4'],['51.09']
Aliyah  Abrams,[2019],['JR-3'],['5'],['51.13']
Kyra Constantine,"[2019, 2021]","['JR-3', 'SR-4']","['6', '3']","['51.47', '50.87']"
Syaira Richardson,[2019],['SO-2'],['7'],['51.98']
Hannah Waller,[2019],['JR-3'],['8'],['52.47']
Athing Mu,[2021],['FR-1'],['1'],['49.57']
Talitha  Diggs,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['2', '1', '5']","['50.74', '49.99', '50.93']"
Nicole  Yeargin,[2021],['SR-4'],['4'],['51.02']
Charokee Young,"[2021, 2022]","['FR-1', 'SO-2']","['5', '2']","['51.13', '50.65']"
Stacey Ann Williams,"[2021, 2022]","['SO-2', 'JR-3']","['6', '5']","['51.34', '51.13']"
Bailey Lear,[2021],['JR-3'],['7'],['51.36']
Taylor Manson,[2021],['JR-3'],['8'],['51.55']
Brittany Aveni,[2021],['SR-4'],['9'],['51.77']
Kennedy Simon,[2022],['JR-3'],['3'],['50.69']
Alexis Holmes,[2022],['JR-3'],['4'],['50.71']
Shae Anderson,[2022],['SR-4'],['6'],['51.50']
Rosey Effiong,"[2022, 2023]","['FR-1', 'SO-2']","['7', '4']","['51.55', '50.77']"
Kavia Francis,[2022],['FR-1'],['8'],['52.16']
Makenzie  Dunmore,[2022],['SR-4'],['9'],['54.73']
Rhasidat Adeleke,[2023],['JR-3'],['1'],['49.20']
Britton Wilson,[2023],['JR-3'],['2'],['49.64']
Nickisha Pryce,[2023],['SO-2'],['3'],['50.23']
Ziyah Holman,[2023],['JR-3'],['6'],['51.04']
Jermaisha Arnold,[2023],['SO-2'],['7'],['51.05']
Tierra Robinson-Jones,[2023],['SR-4'],['8'],['51.12']
Jan'Taijah Jones,[2023],['JR-3'],['9'],['51.15']
