,years_competed,classes_competed,finish_placements,finish_marks
Laura Roesler,[2014],['SR-4'],['1'],['2:01.22']
Claudia Saunders,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['2', '2', '4']","['2:02.92', '2:00.63', '2:02.99']"
Ejiroghene Okoro,[2014],['SR-4'],['3'],['2:03.37']
Megan Malasarte,[2014],['SR-4'],['4'],['2:03.42']
Megan Krumpoch,[2014],['SR-4'],['5'],['2:03.82']
Amy Weissenbach,[2014],['SO-2'],['6'],['2:04.16']
Sonia Gaskin,[2014],['SO-2'],['7'],['2:04.55']
Alexis  Panisse,[2014],['SO-2'],['8'],['2:06.63']
Raevyn Rogers,"[2015, 2016, 2017]","['FR-1', 'SO-2', 'JR-3']","['1', '1', '1']","['1:59.71', '2:00.75', '2:00.02']"
Hanna Green,"[2015, 2017]","['SO-2', 'SR-4']","['3', '2']","['2:01.17', '2:01.32']"
Chrishuna Williams,[2015],['SR-4'],['4'],['2:01.67']
Alethia Marrero,[2015],['SO-2'],['5'],['2:03.86']
Natoya Goule,[2015],['SR-4'],['6'],['2:05.19']
Claudia Francis,[2015],['JR-3'],['7'],['2:07.72']
Savannah Camacho,[2015],['SO-2'],['8'],['2:09.07']
Olivia Baker,"[2016, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['2', '8', '5']","['2:02.65', '2:04.21', '2:06.18']"
Shea Collinsworth,"[2016, 2017]","['JR-3', 'SR-4']","['3', '4']","['2:02.83', '2:02.30']"
Cecilia Barowski,[2016],['SR-4'],['5'],['2:03.09']
Anima Banks,[2016],['SR-4'],['6'],['2:03.09']
Morgan Schuetz,[2016],['JR-3'],['7'],['2:03.72']
Baylee Mires,[2016],['SR-4'],['8'],['2:03.92']
Brooke Feldmeier,[2017],['JR-3'],['3'],['2:01.54']
Kaylee Dodd,[2017],['JR-3'],['5'],['2:03.38']
Rianna Goins,[2017],['SR-4'],['6'],['2:03.86']
Courtney Clayton,[2017],['JR-3'],['7'],['2:04.02']
Sammy Watson,[2018],['FR-1'],['1'],['2:04.21']
Abike Egbeniyi,[2018],['JR-3'],['2'],['2:04.33']
Ashley Taylor,[2018],['SR-4'],['3'],['2:05.01']
Siofra Cleirigh Buttner,[2018],['SR-4'],['4'],['2:05.73']
Martha Bissah,[2018],['SO-2'],['6'],['2:06.79']
Sabrina Southerland,[2018],['SR-4'],['7'],['2:06.99']
Jazmine Fray,"[2018, 2019]","['JR-3', 'SR-4']","['8', '1']","['2:07.34', '2:01.31']"
Nia Akins,[2019],['JR-3'],['2'],['2:01.67']
Avi' Tal Wilson-Perteete,"[2019, 2021]","['SO-2', 'JR-3']","['3', '7']","['2:02.20', '2:02.85']"
Susan Ejore,[2019],['SR-4'],['4'],['2:02.26']
Allie Wilson,[2019],['SR-4'],['5'],['2:02.56']
Kristie Schoffield,"[2019, 2022]","['SO-2', 'SR-4']","['6', '1']","['2:03.86', '2:01.09']"
Ersula Farrow,[2019],['SR-4'],['7'],['2:04.80']
Anna  Camp,[2019],['JR-3'],['8'],['2:05.93']
Michaela Meyer,[2021],['SR-4'],['1'],['2:00.28']
Laurie Barton,[2021],['JR-3'],['2'],['2:00.65']
Gabrielle Wilkinson,"[2021, 2022]","['SO-2', 'JR-3']","['3', '9']","['2:01.20', '2:06.40']"
Claire Seymour,"[2021, 2023]","['SO-2', 'SR-4']","['4', '3']","['2:01.91', '2:00.55']"
Sarah Hendrick,"[2021, 2022]","['SO-2', 'JR-3']","['5', '5']","['2:02.59', '2:02.19']"
Lindsey Butler,[2021],['SO-2'],['6'],['2:02.83']
Brooke  Fazio,[2021],['JR-3'],['8'],['2:02.97']
Shafiqua Maloney,[2021],['SR-4'],['9'],['2:04.09']
Amber Tanner,[2021],['SR-4'],['10'],['2:04.27']
McKenna Keegan,[2022],['SR-4'],['2'],['2:01.71']
Gabija Galvydyte,"[2022, 2023]","['FR-1', 'SO-2']","['3', '2']","['2:01.76', '2:00.47']"
Imogen Barrett,[2022],['JR-3'],['4'],['2:02.05']
Valery Tobias,"[2022, 2023]","['JR-3', 'SR-4']","['6', '6']","['2:02.74', '2:02.39']"
Aaliyah Miller,[2022],['SR-4'],['7'],['2:03.05']
Katy-Ann McDonald,[2022],['JR-3'],['8'],['2:03.57']
Michaela Rose,[2023],['SO-2'],['1'],['1:59.83']
Roisin Willis,[2023],['FR-1'],['4'],['2:00.91']
Dorcus Ewoi,[2023],['SR-4'],['5'],['2:02.13']
Aurora Rynda,[2023],['SR-4'],['7'],['2:03.15']
Meghan Hunter,[2023],['JR-3'],['8'],['2:04.05']
Katherine Mitchell,[2023],['SR-4'],['9'],['2:05.66']
