,years_competed,classes_competed,finish_placements,finish_marks
Georgios Korakidis,"[2019, 2021]","['SO-2', 'JR-3']","['13', '16']","['67.65m', '69.45m']"
Bobby Colantonio,"[2019, 2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['16', '15', '4', '19']","['66.47m', '69.53m', '71.97m', '67.27m']"
Vlad Pavlenko,"[2019, 2021]","['SR-4', 'SR-4']","['17', '4']","['66.39m', '71.12m']"
Nathan Bultman,"[2019, 2021]","['SR-4', 'SR-4']","['18', '11']","['65.80m', '70.09m']"
Alexios Prodanas,"[2019, 2021]","['JR-3', 'SR-4']","['19', '5']","['65.66m', '71.08m']"
Erick Loomis,[2019],['SR-4'],['20'],['65.57m']
Erich Sullins,[2019],['SR-4'],['21'],['65.47m']
Alex  Talley,"[2019, 2021]","['SO-2', 'JR-3']","['22', '6']","['65.47m', '70.99m']"
Max Lydum,[2019],['JR-3'],['23'],['61.26m']
Logan Blomquist,"[2019, 2022]","['JR-3', 'SR-4']","['24', '1']","['60.45m', '73.37m']"
Kostas Zaltos,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['3', '3', '2']","['71.21m', '72.51m', '76.33m']"
Jon Nerdal,[2021],['SR-4'],['7'],['70.88m']
Jordan Geist,"[2021, 2023]","['JR-3', 'SR-4']","['8', '3']","['70.53m', '75.97m']"
Manning Plater,[2021],['SR-4'],['10'],['70.15m']
Michael Bryan,"[2021, 2022]","['JR-3', 'SR-4']","['12', '5']","['70.08m', '71.56m']"
Israel Oloyede,[2021],['JR-3'],['13'],['69.99m']
Ryan Davis,[2021],['SR-4'],['18'],['68.79m']
Alencar Pereira,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['20', '14', '9']","['67.83m', '67.66m', '70.20m']"
Taige Bryant,[2021],['SR-4'],['21'],['67.43m']
Bayley Campbell,"[2021, 2022]","['SO-2', 'JR-3']","['23', '11']","['65.86m', '68.71m']"
Jayden White,"[2021, 2022, 2023]","['FR-1', 'FR-1', 'JR-3']","['24', '9', '10']","['63.04m', '69.99m', '70.07m']"
Alexander Talley,[2022],['SR-4'],['6'],['71.52m']
Decio Andrade,"[2022, 2023]","['JR-3', 'SR-4']","['7', '4']","['70.86m', '73.73m']"
Trey Knight,[2022],['SO-2'],['8'],['70.73m']
Edward Jeans,[2022],['SR-4'],['12'],['68.10m']
Kade McCall,"[2022, 2023]","['SO-2', 'JR-3']","['13', '14']","['67.71m', '68.72m']"
James Joycey,"[2022, 2023]","['JR-3', 'SR-4']","['15', '23']","['67.43m', '65.10m']"
Sean Mockler,[2022],['FR-1'],['16'],['67.20m']
Khalil Bedoui,[2022],['SO-2'],['17'],['66.76m']
Kelly Cook Jr.,[2022],['SR-4'],['18'],['66.64m']
Kyle Brown,"[2022, 2023]","['SO-2', 'JR-3']","['19', '21']","['66.59m', '66.17m']"
Ivar Moisander,"[2022, 2023]","['SO-2', 'JR-3']","['20', '15']","['65.70m', '68.47m']"
Anthony  Barmes,"[2022, 2023]","['FR-1', 'SO-2']","['21', '12']","['65.57m', '69.67m']"
Evan Stork,[2022],['SR-4'],['22'],['65.56m']
Robert Watson,[2022],['SR-4'],['23'],['65.24m']
Kenneth Ikeji,[2023],['SO-2'],['1'],['77.92m']
Nikolaos Polychroniou,[2023],['SO-2'],['5'],['72.65m']
Jake Kubiatowicz,[2023],['SR-4'],['6'],['72.40m']
Tarik Robinson-O'Hagan,[2023],['FR-1'],['8'],['71.38m']
Isaiah Rogers,[2023],['SR-4'],['11'],['69.77m']
Parker Feuerborn,[2023],['SR-4'],['13'],['68.91m']
William Gross,[2023],['JR-3'],['16'],['67.45m']
Kyle Moison,[2023],['JR-3'],['17'],['67.38m']
Trevor Otterdahl,[2023],['SR-4'],['18'],['67.34m']
Aimar Palma Simo,[2023],['JR-3'],['20'],['67.20m']
Erik Ebel,[2023],['SR-4'],['22'],['65.95m']
