,years_competed,classes_competed,finish_placements,finish_marks
Deon Lendore,[2014],['JR-3'],['1'],['45.02']
Mike Berry,[2014],['SR-4'],['2'],['45.07']
Vernon Norwood,"[2014, 2015]","['JR-3', 'SR-4']","['3', '1']","['45.45', '45.10']"
Brycen Spratling,[2014],['SR-4'],['4'],['45.49']
Najee Glass,"[2014, 2015]","['SO-2', 'JR-3']","['5', '4']","['45.63', '46.31']"
James Harris,[2014],['SR-4'],['6'],['45.64']
Christopher Giesting,[2014],['JR-3'],['7'],['46.10']
"Hugh Graham, Jr",[2014],['JR-3'],['8'],['46.65']
Marcus Chambers,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['2', '4', '6']","['45.59', '45.27', '45.28']"
DJ Zahn,[2015],['SR-4'],['3'],['45.97']
Steven Gayle,"[2015, 2017]","['JR-3', 'SR-4']","['5', '7']","['46.32', '45.59']"
Zack  Bilderback,[2015],['JR-3'],['6'],['46.50']
Ceo Ways,[2015],['SO-2'],['7'],['46.52']
Arman Hall,[2016],['SR-4'],['1'],['44.82']
Fitzroy Dunkley,[2016],['SR-4'],['2'],['45.06']
Michael  Cherry,"[2016, 2017]","['JR-3', 'SR-4']","['3', '3']","['45.11', '44.77']"
Nathan Strother,[2016],['SO-2'],['5'],['45.72']
Kunle Fasasi,[2016],['FR-1'],['6'],['46.10']
Ricky Morgan Jr,[2016],['SO-2'],['7'],['46.63']
Fred Kerley,[2017],['SR-4'],['1'],['44.10']
Nathon Allen,"[2017, 2018]","['FR-1', 'SO-2']","['2', '3']","['44.69', '44.13']"
Michael Norman,"[2017, 2018]","['FR-1', 'SO-2']","['4', '1']","['44.88', '43.61']"
Akeem  Bloomfield,"[2017, 2018]","['FR-1', 'SO-2']","['5', '2']","['45.13', '43.94']"
Wil London,"[2017, 2018, 2019]","['SO-2', 'JR-3', 'SR-4']","['8', '8', '3']","['45.72', '46.20', '44.63']"
Mar'yea Harris,[2018],['JR-3'],['4'],['45.00']
Tyrell Richard,[2018],['JR-3'],['5'],['45.10']
Obi Igbokwe,[2018],['JR-3'],['6'],['45.16']
Kahmari Montgomery,"[2018, 2019]","['JR-3', 'SR-4']","['7', '1']","['45.75', '44.23']"
Trevor Stewart,"[2019, 2021]","['JR-3', 'SR-4']","['2', '4']","['44.25', '44.96']"
Jonathan Jones,"[2019, 2022]","['FR-1', 'JR-3']","['4', '4']","['44.64', '44.93']"
Alejandro Zapata,[2019],['SR-4'],['5'],['45.02']
Bryce Deadmon,"[2019, 2021]","['JR-3', 'SR-4']","['6', '2']","['45.18', '44.44']"
Chantz Sawyers,[2019],['SO-2'],['7'],['45.24']
Randolph Ross,"[2021, 2022]","['SO-2', 'JR-3']","['1', '1']","['43.85', '44.13']"
Noah Williams,[2021],['SO-2'],['3'],['44.93']
Dwight St Hillaire,[2021],['JR-3'],['5'],['45.20']
Ryan Willie,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['6', '5', '2']","['45.36', '45.00', '44.25']"
Tyler Johnson,"[2021, 2022]","['SR-4', 'SR-4']","['7', '8']","['45.40', '45.83']"
Michael Bluth,[2021],['JR-3'],['8'],['45.91']
Champion Allison,[2022],['JR-3'],['2'],['44.41']
Elija Godwin,[2022],['JR-3'],['3'],['44.50']
Richard Kuykendoll,[2022],['SO-2'],['6'],['45.73']
Jevaughn Powell,[2022],['SO-2'],['7'],['45.81']
Emmanuel Bamidele,[2023],['SO-2'],['1'],['44.24']
Emmanuel Bynum,[2023],['JR-3'],['3'],['44.49']
Justin  Robinson,[2023],['SO-2'],['4'],['44.51']
Dubem Nwachukwu,[2023],['SR-4'],['5'],['44.92']
Reheem Hayles,[2023],['SO-2'],['6'],['45.22']
JeVaughn Powell,[2023],['JR-3'],['7'],['45.32']
Gamali Felix,[2023],['JR-3'],['8'],['45.34']
