,years_competed,classes_competed,finish_placements,finish_marks
Tommi Hintnaus,[2022],['SR-4'],['12'],['4.20m']
Chloe Timberg,[2022],['FR-1'],['12'],['4.20m']
Filippa Miller,"[2022, 2023]","['SO-2', 'JR-3']","['14', '19']","['4.20m', '4.00m']"
Makenna Barton,[2022],['SR-4'],['15'],['4.05m']
Marleen Mulla,"[2022, 2023]","['FR-1', 'SO-2']","['16', '6']","['4.05m', '4.30m']"
Olivia Lueking,"[2022, 2023]","['FR-1', 'SO-2']","['17', '9']","['4.05m', '4.15m']"
Kasey Staley,[2022],['JR-3'],['18'],['4.05m']
Erica  Ellis,[2022],['SO-2'],['18'],['4.05m']
Brittany Bishop,[2022],['SO-2'],['21'],['4.05m']
Jaidyn Garrett,[2022],['SO-2'],['22'],['3.90m']
Alyson Schwartz,[2022],['SR-4'],['23'],['3.90m']
Sevanna Hanson,[2023],['SR-4'],['4'],['4.30m']
Sara Borton,[2023],['SO-2'],['6'],['4.30m']
Kenna Stimmel,[2023],['FR-1'],['8'],['4.30m']
Amari Turner,[2023],['JR-3'],['9'],['4.15m']
Rachel Vesper,[2023],['JR-3'],['9'],['4.15m']
Journey Gurley,[2023],['JR-3'],['13'],['4.15m']
Hayley Horvath,[2023],['SR-4'],['15'],['4.15m']
Kaitlyn Banas,[2023],['JR-3'],['16'],['4.00m']
Tori Thomas,[2023],['SO-2'],['16'],['4.00m']
Riley Felts,[2023],['JR-3'],['16'],['4.00m']
Erin  Bogard,[2023],['JR-3'],['19'],['4.00m']
