,years_competed,classes_competed,finish_placements,finish_marks
Shamier Little,"[2014, 2015, 2016]","['FR-1', 'SO-2', 'JR-3']","['1', '1', '1']","['55.07', '53.74', '53.51']"
Kendra Harrison,"[2014, 2015]","['JR-3', 'SR-4']","['2', '2']","['55.55', '54.09']"
Janeil Bellille,[2014],['SR-4'],['3'],['56.14']
Nikita Tracey,[2014],['SR-4'],['4'],['56.35']
Chanice Chase,"[2014, 2016]","['SO-2', 'SR-4']","['5', '5']","['56.51', '54.94']"
Kiah Seymour,[2014],['SO-2'],['6'],['56.77']
Leah Nugent,"[2014, 2015]","['JR-3', 'SR-4']","['7', '3']","['58.25', '55.82']"
Sage Watson,"[2015, 2016, 2017]","['SO-2', 'JR-3', 'SR-4']","['4', '3', '1']","['55.97', '54.85', '54.52']"
Jade Miller,"[2015, 2017]","['SO-2', 'SR-4']","['5', '6']","['56.68', '56.61']"
Nnenya Hailey,[2015],['SO-2'],['6'],['56.98']
Amalie Iuel,"[2015, 2017]","['SO-2', 'SR-4']","['7', '3']","['56.99', '55.82']"
Jaide Stepter,"[2015, 2016]","['JR-3', 'SR-4']","['8', '6']","['57.12', '55.30']"
Kiah  Seymour,[2016],['JR-3'],['2'],['54.67']
Autumne Franklin,[2016],['SR-4'],['4'],['54.91']
Claudia Francis,[2016],['SR-4'],['7'],['56.39']
Kaila Barber,[2016],['SR-4'],['8'],['56.54']
Anna Cockrell,"[2017, 2018, 2019, 2021]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['2', '2', '1', '1']","['55.36', '55.71', '55.23', '54.68']"
Ariel Jones,"[2017, 2018]","['JR-3', 'SR-4']","['4', '8']","['56.52', '59.92']"
Kymber Payne,"[2017, 2018]","['JR-3', 'SR-4']","['5', '3']","['56.60', '56.88']"
Symone Black,"[2017, 2018]","['JR-3', 'SR-4']","['7', '4']","['57.15', '57.22']"
Katrina Seymour,[2017],['SR-4'],['8'],['59.68']
Sydney McLaughlin,[2018],['FR-1'],['1'],['53.96']
Ranae McKenzie,[2018],['JR-3'],['5'],['57.67']
Nikki Stephens,[2018],['FR-1'],['6'],['57.80']
Emma  Spagnola,[2018],['SR-4'],['7'],['58.61']
Gabby Scott,[2019],['SR-4'],['2'],['56.04']
Brittley Humphrey,"[2019, 2021]","['JR-3', 'SR-4']","['3', '9']","['56.11', '57.51']"
Reanda Richards,[2019],['FR-1'],['4'],['56.42']
Brenna Porter,[2019],['SR-4'],['5'],['57.26']
Jurnee Woodward,[2019],['SO-2'],['6'],['57.48']
Darhian Mills,[2019],['JR-3'],['7'],['57.76']
Samantha Gonzalez,[2019],['SR-4'],['8'],['58.43']
Shannon Meisberger,"[2021, 2022]","['JR-3', 'SR-4']","['2', '8']","['55.70', '56.83']"
Andrenette Knight,[2021],['SR-4'],['3'],['55.81']
Masai Russell,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['4', '4', '2']","['56.18', '55.83', '54.66']"
Milan Young,[2021],['JR-3'],['5'],['56.23']
Faith Ross,[2021],['SR-4'],['6'],['56.49']
Ashton Lindley,[2021],['FR-1'],['7'],['56.74']
Stephanie Cho,[2021],['SR-4'],['8'],['57.48']
Britton Wilson,"[2022, 2023]","['SO-2', 'JR-3']","['1', '7']","['53.86', '55.92']"
Anna Hall,[2022],['SO-2'],['2'],['54.76']
Lauren Hoffman,[2022],['SR-4'],['3'],['55.58']
Deshae Wise,[2022],['SR-4'],['5'],['55.99']
Bianca Stubler,[2022],['SR-4'],['6'],['56.49']
Vanessa Watson,[2022],['SO-2'],['7'],['56.83']
Jessica Wright,[2022],['JR-3'],['9'],['58.12']
Savannah Sutherland,[2023],['SO-2'],['1'],['54.45']
Chastity Pickett,[2023],['JR-3'],['3'],['54.86']
Brooke Overholt,[2023],['SR-4'],['4'],['55.50']
Shani'a Bellamy,[2023],['JR-3'],['5'],['55.58']
Lashanna Graham,[2023],['JR-3'],['6'],['55.59']
Abbey Glynn,[2023],['JR-3'],['8'],['56.01']
Sydni Townsend,[2023],['JR-3'],['9'],['56.27']
