,years_competed,classes_competed,finish_placements,finish_marks
Yann  Randrianasolo,"[2018, 2019]","['JR-3', 'SR-4']","['13', '3']","['7.73m', '8.12m']"
Jonathan Wells,"[2018, 2021]","['JR-3', 'SR-4']","['15', '15']","['7.65m', '7.46m']"
Saladin Nasser,[2018],['SR-4'],['18'],['7.48m']
JuVaughn Blake,[2018],['FR-1'],['19'],['7.48m']
Jason Smith,"[2018, 2021, 2022]","['SO-2', 'SR-4', 'SR-4']","['20', '9', '13']","['7.42m', '7.68m', '7.52m']"
Marcus Flannigan,[2018],['SR-4'],['21'],['7.38m']
Carter Shell,"[2018, 2019]","['FR-1', 'SO-2']","['23', '14']","['7.30m', '7.67m']"
JuVaughn Harrison,"[2019, 2021]","['SO-2', 'JR-3']","['1', '1']","['8.20m', '8.27m']"
Trumaine Jefferson,[2019],['SR-4'],['2'],['8.18m']
Kemonie Briggs,[2019],['SR-4'],['7'],['7.87m']
R'Lazon Brumfield,[2019],['SO-2'],['16'],['7.62m']
Allen Gordon,"[2019, 2021]","['SO-2', 'JR-3']","['17', '11']","['7.61m', '7.64m']"
Kenan Jones,[2019],['FR-1'],['18'],['7.54m']
Jullane Walker,"[2019, 2021]","['JR-3', 'SR-4']","['19', '18']","['7.44m', '7.34m']"
DaJuan Seward,[2019],['SR-4'],['20'],['7.38m']
Isaac Grimes,"[2021, 2022]","['JR-3', 'SR-4']","['2', '3']","['8.05m', '7.97m']"
Carey McLeod,"[2021, 2022, 2023]","['JR-3', 'SR-4', 'SR-4']","['3', '4', '1']","['7.94m', '7.90m', '8.26m']"
Brandon  Hicklin,"[2021, 2022]","['JR-3', 'SR-4']","['4', '5']","['7.91m', '7.86m']"
Harrison  Schrage,[2021],['SR-4'],['6'],['7.83m']
Rayvon Allen,[2021],['JR-3'],['8'],['7.69m']
James Carter,"[2021, 2022]","['SO-2', 'JR-3']","['10', '10']","['7.65m', '7.60m']"
A'Nan Bridgett,"[2021, 2022]","['SO-2', 'JR-3']","['12', '6']","['7.58m', '7.85m']"
Cameron Crump,"[2021, 2022, 2023]","['SO-2', 'SR-4', 'SR-4']","['13', '9', '5']","['7.53m', '7.65m', '7.91m']"
"Ronnie Briscoe, Jr.",[2021],['JR-3'],['16'],['7.46m']
Safir Scott,[2021],['JR-3'],['17'],['7.40m']
Kenneth  Pree,[2021],['SO-2'],['19'],['7.33m']
Michael Hoffer,[2021],['JR-3'],['20'],['7.28m']
David Ejumeta,[2021],['JR-3'],['21'],['7.27m']
Anthony Riley,"[2021, 2022]","['FR-1', 'SO-2']","['22', '8']","['7.22m', '7.80m']"
Benjamin Okafor,[2021],['SO-2'],['23'],['7.18m']
Trey  Causey III,[2021],['SO-2'],['24'],['6.92m']
Wayne Pinnock,"[2022, 2023]","['FR-1', 'SO-2']","['1', '2']","['8.00m', '8.15m']"
Jeremiah Davis,"[2022, 2023]","['SO-2', 'SR-4']","['2', '7']","['8.00m', '7.88m']"
Stacy Brown Jr,[2022],['SO-2'],['7'],['7.81m']
Jeremiah Willis,[2022],['SO-2'],['11'],['7.54m']
Kenson Tate,[2022],['FR-1'],['12'],['7.53m']
Treyshon Malone,[2022],['SR-4'],['14'],['7.50m']
Isaiah Holmes,[2022],['SR-4'],['15'],['7.48m']
Kareem Mersal,"[2022, 2023]","['SO-2', 'JR-3']","['16', '20']","['7.48m', '7.44m']"
Johnny Brackins,[2022],['FR-1'],['17'],['7.47m']
Reinaldo Rodrigues,[2022],['FR-1'],['18'],['7.43m']
Gabriel  Binion,[2022],['SO-2'],['19'],['7.38m']
Safin Wills,[2022],['SR-4'],['20'],['7.35m']
Aaron Johnson,[2022],['JR-3'],['21'],['7.32m']
Christiaan Le Roux,[2022],['SO-2'],['22'],['7.31m']
Russell Robinson,"[2022, 2023]","['SO-2', 'JR-3']","['23', '13']","['7.06m', '7.70m']"
Ryan Brown,[2022],['JR-3'],['24'],['6.80m']
Jordan Turner,[2023],['FR-1'],['3'],['8.13m']
Malcolm Clemons,[2023],['SO-2'],['4'],['8.07m']
Nikaoli Williams,[2023],['SO-2'],['6'],['7.90m']
Brandon Hicklin,[2023],['SR-4'],['8'],['7.86m']
Sincere Robinson,[2023],['SO-2'],['9'],['7.83m']
Chrstyn John (JC) Stevenson,[2023],['FR-1'],['10'],['7.79m']
Louis Gordon,[2023],['JR-3'],['11'],['7.77m']
Till Steinforth,[2023],['SO-2'],['12'],['7.73m']
Chris Preddie,[2023],['FR-1'],['14'],['7.70m']
Lokesh Sathyanathan,[2023],['FR-1'],['15'],['7.66m']
Robbie Springfield,[2023],['JR-3'],['16'],['7.60m']
Ajamu Reed,[2023],['FR-1'],['17'],['7.59m']
Jake Burkey,[2023],['JR-3'],['18'],['7.54m']
Marc Morrison,[2023],['SO-2'],['19'],['7.52m']
Queshun Watson-Riggins,[2023],['SR-4'],['21'],['7.42m']
Cedar English,[2023],['SO-2'],['22'],['7.36m']
Zachary Love,[2023],['JR-3'],['23'],['7.10m']
John Kroeger,[2023],['SO-2'],['24'],['7.00m']
