,years_competed,classes_competed,finish_placements,finish_marks
Marielle Hall,[2014],['SR-4'],['1'],['15:35.11']
Aisling Cuffe,"[2014, 2016]","['JR-3', 'SR-4']","['2', '9']","['15:37.74', '16:08.56']"
Abbey D'Agostino,[2014],['SR-4'],['3'],['15:43.54']
Emma Bates,"[2014, 2015]","['JR-3', 'SR-4']","['4', '9']","['15:51.87', '15:56.72']"
Juliet Bottorff,[2014],['SR-4'],['5'],['15:55.94']
Dominique Scott,"[2014, 2015, 2016]","['SO-2', 'JR-3', 'SR-4']","['6', '2', '1']","['15:57.79', '15:40.47', '15:57.07']"
Elinor Kirk,[2014],['SR-4'],['7'],['15:57.96']
Kate Avery,"[2014, 2015]","['SO-2', 'JR-3']","['8', '4']","['15:58.73', '15:41.95']"
Rachele Schulist,"[2014, 2015]","['FR-1', 'SO-2']","['9', '14']","['16:05.68', '16:10.89']"
Waverly Neer,[2014],['JR-3'],['10'],['16:06.23']
Laura Nagel,[2014],['JR-3'],['11'],['16:09.98']
Mara Olson,[2014],['JR-3'],['12'],['16:11.58']
Jessica Tonn,"[2014, 2015]","['JR-3', 'SR-4']","['13', '3']","['16:19.13', '15:41.72']"
Elvin Kibet,[2014],['JR-3'],['14'],['16:20.30']
Frida Berge,[2014],['FR-1'],['15'],['16:25.59']
Sarah Collins,[2014],['SO-2'],['16'],['16:25.97']
Carrie Verdon,[2014],['SO-2'],['17'],['16:28.60']
Rosa Moriello,[2014],['JR-3'],['18'],['16:31.13']
Cally Macumber,[2014],['SR-4'],['19'],['16:38.81']
Monika Juodeskaite,[2014],['JR-3'],['20'],['16:40.25']
Diane Robison,[2014],['JR-3'],['21'],['16:41.51']
Dana Giordano,"[2014, 2015]","['SO-2', 'JR-3']","['22', '23']","['16:47.81', '17:12.54']"
Katy Moen,[2014],['JR-3'],['23'],['16:55.02']
Emily Sisson,[2015],['SR-4'],['1'],['15:34.10']
Erin Finn,[2015],['SO-2'],['5'],['15:43.97']
Calli Thackery,[2015],['JR-3'],['6'],['15:47.15']
Shelby Houlihan,[2015],['SR-4'],['7'],['15:49.72']
Liv Westphal,[2015],['JR-3'],['8'],['15:52.17']
Tori Gerlach,[2015],['JR-3'],['10'],['16:00.28']
Molly Grabill,[2015],['JR-3'],['11'],['16:06.58']
Sandie  Raines,"[2015, 2016]","['SO-2', 'JR-3']","['12', '21']","['16:08.30', '17:04.70']"
Vanessa Fraser,"[2015, 2016, 2018]","['SO-2', 'JR-3', 'SR-4']","['13', '13', '4']","['16:10.20', '16:21.35', '15:43.77']"
Tessa Murray,[2015],['SR-4'],['15'],['16:14.95']
Bethan Knights,[2015],['FR-1'],['16'],['16:22.08']
Maria McDaniel,[2015],['FR-1'],['17'],['16:27.28']
Annie LeHardy,[2015],['SR-4'],['18'],['16:32.35']
Elizabeth Chikotas,[2015],['FR-1'],['19'],['16:34.43']
Madeline Chambers,[2015],['SR-4'],['20'],['16:43.99']
Maddie Meyers,[2015],['SO-2'],['21'],['16:44.94']
Erika Kemp,"[2015, 2017, 2018]","['SO-2', 'JR-3', 'SR-4']","['22', '13', '10']","['16:55.59', '15:59.26', '15:48.62']"
Tansey Lystad,[2015],['JR-3'],['24'],['17:13.37']
