,years_competed,classes_competed,finish_placements,finish_marks
Kevin Nedrick,"[2022, 2023]","['JR-3', 'SR-4']","['11', '5']","['58.28m', '61.93m']"
Tanner Watson,[2022],['SO-2'],['12'],['57.53m']
Tom Yezek,[2022],['SR-4'],['14'],['56.82m']
Zorawar Otal,"[2022, 2023]","['SR-4', 'SR-4']","['16', '10']","['55.92m', '60.07m']"
Sean Stavinoha,[2022],['SO-2'],['17'],['55.73m']
Jamir Gibson,"[2022, 2023]","['SR-4', 'SR-4']","['18', '18']","['55.14m', '56.75m']"
Kevin Sakson,[2022],['SO-2'],['20'],['54.68m']
Jackson Morris,[2022],['SO-2'],['21'],['53.12m']
Djimon Gumbs,[2022],['SO-2'],['22'],['53.00m']
Nathan Reid,[2022],['SO-2'],['23'],['49.80m']
Alan de Falchi,[2023],['JR-3'],['9'],['60.44m']
Youssef  Koudssi,[2023],['SR-4'],['11'],['59.73m']
Maxwell Otterdahl,[2023],['JR-3'],['13'],['58.60m']
Carlos Aviles,[2023],['JR-3'],['14'],['58.50m']
Jeremiah Nubbe,[2023],['FR-1'],['15'],['57.94m']
Zach Gehm,[2023],['SR-4'],['17'],['57.12m']
Devin Roberson,[2023],['JR-3'],['19'],['56.46m']
Noah Koch,[2023],['JR-3'],['21'],['55.40m']
Anthony  Harrison,[2023],['JR-3'],['22'],['55.37m']
Dimitrios Pavlidis,[2023],['SO-2'],['23'],['54.27m']
Zane Forist,[2023],['FR-1'],['24'],['54.17m']
