,years_competed,classes_competed,finish_placements,finish_marks
Shelby Houlihan,"[2014, 2015]","['JR-3', 'SR-4']","['1', '2']","['4:18.10', '4:09.67']"
Cory McGee,[2014],['SR-4'],['2'],['4:19.19']
Linden Hall,"[2014, 2015]","['JR-3', 'SR-4']","['3', '8']","['4:19.33', '4:16.58']"
Emily Lipari,[2014],['SR-4'],['4'],['4:19.60']
Allison Peare,[2014],['SR-4'],['5'],['4:19.68']
Brook Handler,"[2014, 2015]","['JR-3', 'SR-4']","['6', '7']","['4:20.45', '4:16.19']"
Agata Strausa,[2014],['SR-4'],['7'],['4:20.60']
Stephanie  Brown,[2014],['SR-4'],['8'],['4:20.85']
Rachel Schneider,[2014],['SR-4'],['9'],['4:21.15']
Sarah Penney,[2014],['SR-4'],['10'],['4:22.60']
Molly Hanson,"[2014, 2015]","['SO-2', 'JR-3']","['11', '9']","['4:23.85', '4:17.06']"
Angel Piccirillo,[2014],['SO-2'],['12'],['4:27.66']
Rhianwedd Price,"[2015, 2017]","['SO-2', 'JR-3']","['1', '9']","['4:09.56', '4:15.35']"
Sara Sutherland,[2015],['SR-4'],['3'],['4:13.48']
Natalja Piliusina,[2015],['SR-4'],['4'],['4:15.01']
Raquel Lambdin,[2015],['SR-4'],['5'],['4:15.28']
Stephanie Schappert,[2015],['SR-4'],['6'],['4:16.01']
Elise Cranny,"[2015, 2016, 2018]","['FR-1', 'SO-2', 'SR-4']","['10', '2', '3']","['4:24.40', '4:09.54', '4:09.49']"
Nikki Hiltz,"[2015, 2017, 2018]","['FR-1', 'JR-3', 'SR-4']","['11', '2', '2']","['4:31.26', '4:13.80', '4:09.14']"
Marta Freitas,"[2015, 2016]","['JR-3', 'SR-4']","['12', '1']","['4:41.03', '4:09.53']"
Dana Giordano,[2016],['SR-4'],['3'],['4:11.86']
Shannon Osika,[2016],['SR-4'],['4'],['4:12.23']
Annie Leblanc,[2016],['SR-4'],['5'],['4:14.80']
Kaela Edwards,[2016],['SO-2'],['6'],['4:15.14']
Annemarie Schwanz,"[2016, 2017]","['JR-3', 'SR-4']","['7', '11']","['4:15.19', '4:17.10']"
Jaimie Phelan,"[2016, 2017]","['JR-3', 'JR-3']","['8', '1']","['4:15.61', '4:13.78']"
Dani Jones,"[2016, 2017]","['FR-1', 'SO-2']","['9', '5']","['4:15.86', '4:14.35']"
Amy-Eloise Neale,"[2016, 2017]","['SO-2', 'JR-3']","['10', '8']","['4:16.19', '4:14.89']"
Sophie Connor,[2016],['SR-4'],['11'],['4:17.27']
Maddie Alm,[2016],['SR-4'],['12'],['4:20.22']
Karisa Nelson,[2017],['JR-3'],['3'],['4:13.96']
Katie Rainsberger,[2017],['FR-1'],['4'],['4:14.20']
Rebecca Mehra,[2017],['SR-4'],['6'],['4:14.52']
Christina Aragon,"[2017, 2018, 2021, 2022]","['FR-1', 'SO-2', 'JR-3', 'SR-4']","['7', '4', '8', '3']","['4:14.79', '4:09.59', '4:12.63', '4:10.00']"
Jessica Harris,"[2017, 2019]","['SO-2', 'SR-4']","['10', '3']","['4:15.41', '4:11.96']"
Danielle Aragon,[2017],['SR-4'],['12'],['4:17.24']
Jessica Hull,"[2018, 2019]","['SO-2', 'JR-3']","['1', '2']","['4:08.75', '4:06.27']"
Rachel  Pocratsky,[2018],['JR-3'],['5'],['4:10.84']
Taryn Rawlings,"[2018, 2019]","['JR-3', 'SR-4']","['6', '9']","['4:11.37', '4:15.03']"
