,years_competed,classes_competed,finish_placements,finish_marks
Erin Marsh,"[2019, 2021, 2022]","['SO-2', 'JR-3', 'SR-4']","['10', '4', '3']","['5707', '5924', '5929']"
Sterling Lester,"[2019, 2022]","['FR-1', 'JR-3']","['11', '5']","['5694', '5751']"
Jestena Mattson,[2019],['SR-4'],['12'],['5576']
Nicola  Ader,"[2019, 2022]","['SO-2', 'SR-4']","['13', '9']","['5571', '5647']"
Carly Paul,[2019],['SR-4'],['14'],['5535']
Emilie Berge,[2019],['JR-3'],['15'],['5493']
Asya Reynolds,"[2019, 2021]","['JR-3', 'SR-4']","['16', '7']","['5487', '5754']"
Tria Simmons,[2019],['SR-4'],['17'],['5479']
Beatrice Juskeviciute,"[2019, 2021, 2022, 2023]","['FR-1', 'SO-2', 'SR-4', 'SR-4']","['19', '8', '7', '2']","['5438', '5694', '5721', '6117']"
Christina  Chenault,[2019],['JR-3'],['20'],['5386']
Amanda Levin,[2019],['SR-4'],['21'],['5332']
Michaela Wenning,[2019],['SR-4'],['22'],['5274']
Jenny Kimbro,"[2019, 2021]","['JR-3', 'SR-4']","['23', '18']","['5023', '5381']"
Maja  Wichhart-Donzo,[2019],['SR-4'],['24'],['4554']
Kristine Blazevica,"[2021, 2022, 2023]","['FR-1', 'SO-2', 'JR-3']","['3', '21', '3']","['5984', '4756', '6058']"
Ida Eikeng,"[2021, 2022]","['JR-3', 'JR-3']","['5', '2']","['5920', '5939']"
Madeline Nickal,[2021],['SR-4'],['6'],['5864']
Shayla Broughton,[2021],['SR-4'],['9'],['5652']
Allie Jones,"[2021, 2022, 2023]","['SO-2', 'JR-3', 'SR-4']","['10', '4', '4']","['5623', '5823', '6052']"
Jadin O'Brien,"[2021, 2023]","['FR-1', 'SO-2']","['11', '7']","['5545', '5940']"
Kaitlin Smith,"[2021, 2022]","['SR-4', 'SR-4']","['13', '11']","['5520', '5617']"
Zoe Hughes,[2021],['JR-3'],['17'],['5385']
Callie Jones,"[2021, 2022]","['JR-3', 'SR-4']","['19', '14']","['5270', '5436']"
Emma  Nwofor,[2021],['SR-4'],['20'],['5208']
Skylar  Sieben,[2021],['SO-2'],['21'],['4736']
Anna Hall,[2022],['SO-2'],['1'],['6385']
Lexie Keller,[2022],['JR-3'],['6'],['5722']
Halley Folsom,[2022],['SR-4'],['8'],['5692']
Safiya  John,[2022],['JR-3'],['10'],['5626']
Avery McMullen,"[2022, 2023]","['SO-2', 'JR-3']","['12', '10']","['5600', '5752']"
Alexus Pyles,[2022],['SR-4'],['13'],['5491']
Bailey Golden,"[2022, 2023]","['SO-2', 'JR-3']","['15', '13']","['5415', '5656']"
Brittany  Floyd,[2022],['SR-4'],['16'],['5410']
Elise Ulseth,"[2022, 2023]","['SO-2', 'JR-3']","['17', '19']","['5362', '5274']"
Anna Bush,[2022],['JR-3'],['18'],['5361']
Jade Bontke,[2022],['SR-4'],['19'],['5300']
Olivija Vaitaityte,[2022],['FR-1'],['20'],['5287']
Urte Bacianskaite,"[2022, 2023]","['SO-2', 'JR-3']","['22', '9']","['4608', '5790']"
Pippi Lotta Enok,[2023],['FR-1'],['1'],['6165']
Jenelle Rogers,[2023],['JR-3'],['5'],['6018']
Joniar Thomas,[2023],['SO-2'],['6'],['5967']
Camryn Newton-Smith,[2023],['JR-3'],['8'],['5887']
Jenna Fee Feyerabend,[2023],['SO-2'],['11'],['5742']
Alaina Brady,[2023],['SO-2'],['12'],['5739']
Angel Richmore,[2023],['SO-2'],['14'],['5636']
Kristen O'Handley,[2023],['SR-4'],['15'],['5598']
Timara Chapman,[2023],['SR-4'],['16'],['5576']
Taylor Chocek,[2023],['JR-3'],['17'],['5540']
Izzy Goudros,[2023],['SO-2'],['18'],['5460']
Tionna Tobias,[2023],['JR-3'],['20'],['5269']
Alix Still,[2023],['JR-3'],['21'],['4488']
